query_id,slice_family,slice_name
Q101,overall,All queries
Q102,overall,All queries
Q103,overall,All queries
Q104,overall,All queries
Q105,overall,All queries
Q106,overall,All queries
Q107,overall,All queries
Q108,overall,All queries
Q109,overall,All queries
Q110,overall,All queries
Q111,overall,All queries
Q112,overall,All queries
Q113,overall,All queries
Q114,overall,All queries
Q115,overall,All queries
Q116,overall,All queries
Q117,overall,All queries
Q118,overall,All queries
Q119,overall,All queries
Q120,overall,All queries
Q121,overall,All queries
Q122,overall,All queries
Q123,overall,All queries
Q124,overall,All queries
Q125,overall,All queries
Q126,overall,All queries
Q127,overall,All queries
Q128,overall,All queries
Q129,overall,All queries
Q130,overall,All queries
Q131,overall,All queries
Q132,overall,All queries
Q133,overall,All queries
Q134,overall,All queries
Q135,overall,All queries
Q136,overall,All queries
Q137,overall,All queries
Q138,overall,All queries
Q139,overall,All queries
Q140,overall,All queries
Q141,overall,All queries
Q142,overall,All queries
Q143,overall,All queries
Q144,overall,All queries
Q145,overall,All queries
Q146,overall,All queries
Q147,overall,All queries
Q148,overall,All queries
Q149,overall,All queries
Q150,overall,All queries
Q151,overall,All queries
Q152,overall,All queries
Q153,overall,All queries
Q154,overall,All queries
Q155,overall,All queries
Q156,overall,All queries
Q157,overall,All queries
Q158,overall,All queries
Q159,overall,All queries
Q160,overall,All queries
Q161,overall,All queries
Q162,overall,All queries
Q163,overall,All queries
Q164,overall,All queries
Q165,overall,All queries
Q166,overall,All queries
Q167,overall,All queries
Q168,overall,All queries
Q169,overall,All queries
Q170,overall,All queries
Q171,overall,All queries
Q172,overall,All queries
Q173,overall,All queries
Q174,overall,All queries
Q175,overall,All queries
Q176,overall,All queries
Q177,overall,All queries
Q178,overall,All queries
Q179,overall,All queries
Q180,overall,All queries
Q181,overall,All queries
Q182,overall,All queries
Q183,overall,All queries
Q184,overall,All queries
Q185,overall,All queries
Q186,overall,All queries
Q187,overall,All queries
Q188,overall,All queries
Q189,overall,All queries
Q190,overall,All queries
Q191,overall,All queries
Q192,overall,All queries
Q193,overall,All queries
Q194,overall,All queries
Q195,overall,All queries
Q196,overall,All queries
Q197,overall,All queries
Q198,overall,All queries
Q199,overall,All queries
Q200,overall,All queries
Q201,overall,All queries
Q202,overall,All queries
Q203,overall,All queries
Q204,overall,All queries
Q205,overall,All queries
Q206,overall,All queries
Q207,overall,All queries
Q208,overall,All queries
Q209,overall,All queries
Q210,overall,All queries
Q211,overall,All queries
Q212,overall,All queries
Q213,overall,All queries
Q214,overall,All queries
Q215,overall,All queries
Q216,overall,All queries
Q217,overall,All queries
Q218,overall,All queries
Q219,overall,All queries
Q220,overall,All queries
Q221,overall,All queries
Q222,overall,All queries
Q223,overall,All queries
Q224,overall,All queries
Q225,overall,All queries
Q226,overall,All queries
Q227,overall,All queries
Q228,overall,All queries
Q229,overall,All queries
Q230,overall,All queries
Q231,overall,All queries
Q232,overall,All queries
Q233,overall,All queries
Q234,overall,All queries
Q235,overall,All queries
Q236,overall,All queries
Q237,overall,All queries
Q238,overall,All queries
Q239,overall,All queries
Q240,overall,All queries
Q241,overall,All queries
Q242,overall,All queries
Q243,overall,All queries
Q244,overall,All queries
Q245,overall,All queries
Q246,overall,All queries
Q247,overall,All queries
Q248,overall,All queries
Q249,overall,All queries
Q250,overall,All queries
Q251,overall,All queries
Q252,overall,All queries
Q253,overall,All queries
Q254,overall,All queries
Q255,overall,All queries
Q256,overall,All queries
Q257,overall,All queries
Q258,overall,All queries
Q259,overall,All queries
Q260,overall,All queries
Q261,overall,All queries
Q262,overall,All queries
Q263,overall,All queries
Q264,overall,All queries
Q265,overall,All queries
Q266,overall,All queries
Q267,overall,All queries
Q268,overall,All queries
Q269,overall,All queries
Q270,overall,All queries
Q271,overall,All queries
Q272,overall,All queries
Q273,overall,All queries
Q274,overall,All queries
Q275,overall,All queries
Q276,overall,All queries
Q277,overall,All queries
Q278,overall,All queries
Q279,overall,All queries
Q280,overall,All queries
Q281,overall,All queries
Q282,overall,All queries
Q283,overall,All queries
Q284,overall,All queries
Q285,overall,All queries
Q286,overall,All queries
Q287,overall,All queries
Q288,overall,All queries
Q289,overall,All queries
Q290,overall,All queries
Q291,overall,All queries
Q292,overall,All queries
Q293,overall,All queries
Q294,overall,All queries
Q295,overall,All queries
Q296,overall,All queries
Q297,overall,All queries
Q298,overall,All queries
Q299,overall,All queries
Q300,overall,All queries
Q301,overall,All queries
Q302,overall,All queries
Q303,overall,All queries
Q304,overall,All queries
Q305,overall,All queries
Q306,overall,All queries
Q307,overall,All queries
Q308,overall,All queries
Q309,overall,All queries
Q310,overall,All queries
Q311,overall,All queries
Q312,overall,All queries
Q313,overall,All queries
Q314,overall,All queries
Q315,overall,All queries
Q316,overall,All queries
Q317,overall,All queries
Q318,overall,All queries
Q319,overall,All queries
Q320,overall,All queries
Q321,overall,All queries
Q322,overall,All queries
Q323,overall,All queries
Q324,overall,All queries
Q325,overall,All queries
Q326,overall,All queries
Q327,overall,All queries
Q328,overall,All queries
Q329,overall,All queries
Q330,overall,All queries
Q331,overall,All queries
Q332,overall,All queries
Q333,overall,All queries
Q334,overall,All queries
Q335,overall,All queries
Q336,overall,All queries
Q337,overall,All queries
Q338,overall,All queries
Q339,overall,All queries
Q340,overall,All queries
Q341,overall,All queries
Q342,overall,All queries
Q343,overall,All queries
Q344,overall,All queries
Q345,overall,All queries
Q346,overall,All queries
Q347,overall,All queries
Q348,overall,All queries
Q349,overall,All queries
Q350,overall,All queries
Q351,overall,All queries
Q352,overall,All queries
Q353,overall,All queries
Q354,overall,All queries
Q355,overall,All queries
Q356,overall,All queries
Q357,overall,All queries
Q358,overall,All queries
Q359,overall,All queries
Q360,overall,All queries
Q361,overall,All queries
Q362,overall,All queries
Q363,overall,All queries
Q364,overall,All queries
Q365,overall,All queries
Q366,overall,All queries
Q367,overall,All queries
Q368,overall,All queries
Q369,overall,All queries
Q370,overall,All queries
Q371,overall,All queries
Q372,overall,All queries
Q373,overall,All queries
Q374,overall,All queries
Q375,overall,All queries
Q376,overall,All queries
Q377,overall,All queries
Q378,overall,All queries
Q379,overall,All queries
Q380,overall,All queries
Q381,overall,All queries
Q382,overall,All queries
Q383,overall,All queries
Q384,overall,All queries
Q385,overall,All queries
Q386,overall,All queries
Q387,overall,All queries
Q388,overall,All queries
Q389,overall,All queries
Q390,overall,All queries
Q391,overall,All queries
Q392,overall,All queries
Q393,overall,All queries
Q394,overall,All queries
Q395,overall,All queries
Q396,overall,All queries
Q397,overall,All queries
Q398,overall,All queries
Q399,overall,All queries
Q400,overall,All queries
Q401,overall,All queries
Q402,overall,All queries
Q403,overall,All queries
Q404,overall,All queries
Q405,overall,All queries
Q406,overall,All queries
Q407,overall,All queries
Q408,overall,All queries
Q409,overall,All queries
Q410,overall,All queries
Q411,overall,All queries
Q412,overall,All queries
Q413,overall,All queries
Q414,overall,All queries
Q415,overall,All queries
Q416,overall,All queries
Q417,overall,All queries
Q418,overall,All queries
Q419,overall,All queries
Q420,overall,All queries
Q421,overall,All queries
Q422,overall,All queries
Q423,overall,All queries
Q424,overall,All queries
Q425,overall,All queries
Q426,overall,All queries
Q427,overall,All queries
Q428,overall,All queries
Q429,overall,All queries
Q430,overall,All queries
Q431,overall,All queries
Q432,overall,All queries
Q433,overall,All queries
Q434,overall,All queries
Q435,overall,All queries
Q436,overall,All queries
Q437,overall,All queries
Q438,overall,All queries
Q439,overall,All queries
Q440,overall,All queries
Q441,overall,All queries
Q442,overall,All queries
Q443,overall,All queries
Q444,overall,All queries
Q445,overall,All queries
Q446,overall,All queries
Q447,overall,All queries
Q448,overall,All queries
Q449,overall,All queries
Q450,overall,All queries
Q451,overall,All queries
Q452,overall,All queries
Q453,overall,All queries
Q454,overall,All queries
Q455,overall,All queries
Q456,overall,All queries
Q457,overall,All queries
Q458,overall,All queries
Q459,overall,All queries
Q460,overall,All queries
Q461,overall,All queries
Q462,overall,All queries
Q463,overall,All queries
Q464,overall,All queries
Q465,overall,All queries
Q466,overall,All queries
Q467,overall,All queries
Q468,overall,All queries
Q469,overall,All queries
Q470,overall,All queries
Q471,overall,All queries
Q472,overall,All queries
Q473,overall,All queries
Q474,overall,All queries
Q475,overall,All queries
Q476,overall,All queries
Q477,overall,All queries
Q478,overall,All queries
Q479,overall,All queries
Q480,overall,All queries
Q481,overall,All queries
Q482,overall,All queries
Q483,overall,All queries
Q484,overall,All queries
Q485,overall,All queries
Q486,overall,All queries
Q487,overall,All queries
Q488,overall,All queries
Q489,overall,All queries
Q490,overall,All queries
Q491,overall,All queries
Q492,overall,All queries
Q493,overall,All queries
Q494,overall,All queries
Q495,overall,All queries
Q496,overall,All queries
Q497,overall,All queries
Q498,overall,All queries
Q499,overall,All queries
Q500,overall,All queries
Q001,language,English
Q002,language,English
Q005,language,English
Q007,language,English
Q008,language,English
Q009,language,English
Q010,language,English
Q014,language,English
Q015,language,English
Q016,language,English
Q020,language,English
Q025,language,English
Q027,language,English
Q028,language,English
Q030,language,English
Q034,language,English
Q036,language,English
Q037,language,English
Q041,language,English
Q042,language,English
Q044,language,English
Q045,language,English
Q047,language,English
Q048,language,English
Q050,language,English
Q051,language,English
Q053,language,English
Q054,language,English
Q058,language,English
Q060,language,English
Q062,language,English
Q064,language,English
Q066,language,English
Q068,language,English
Q070,language,English
Q071,language,English
Q073,language,English
Q074,language,English
Q075,language,English
Q079,language,English
Q082,language,English
Q083,language,English
Q085,language,English
Q088,language,English
Q089,language,English
Q095,language,English
Q096,language,English
Q101,language,English
Q103,language,English
Q104,language,English
Q106,language,English
Q108,language,English
Q111,language,English
Q112,language,English
Q113,language,English
Q114,language,English
Q120,language,English
Q121,language,English
Q126,language,English
Q127,language,English
Q130,language,English
Q132,language,English
Q133,language,English
Q134,language,English
Q135,language,English
Q136,language,English
Q140,language,English
Q144,language,English
Q145,language,English
Q149,language,English
Q153,language,English
Q154,language,English
Q157,language,English
Q158,language,English
Q159,language,English
Q162,language,English
Q163,language,English
Q166,language,English
Q169,language,English
Q170,language,English
Q171,language,English
Q175,language,English
Q177,language,English
Q179,language,English
Q183,language,English
Q184,language,English
Q185,language,English
Q189,language,English
Q190,language,English
Q194,language,English
Q195,language,English
Q196,language,English
Q198,language,English
Q199,language,English
Q200,language,English
Q202,language,English
Q203,language,English
Q207,language,English
Q209,language,English
Q212,language,English
Q214,language,English
Q215,language,English
Q216,language,English
Q221,language,English
Q222,language,English
Q224,language,English
Q227,language,English
Q228,language,English
Q229,language,English
Q230,language,English
Q236,language,English
Q238,language,English
Q243,language,English
Q246,language,English
Q251,language,English
Q254,language,English
Q256,language,English
Q257,language,English
Q258,language,English
Q261,language,English
Q263,language,English
Q265,language,English
Q268,language,English
Q272,language,English
Q276,language,English
Q277,language,English
Q281,language,English
Q284,language,English
Q285,language,English
Q292,language,English
Q295,language,English
Q297,language,English
Q299,language,English
Q301,language,English
Q303,language,English
Q305,language,English
Q306,language,English
Q307,language,English
Q309,language,English
Q311,language,English
Q312,language,English
Q318,language,English
Q320,language,English
Q321,language,English
Q322,language,English
Q324,language,English
Q326,language,English
Q334,language,English
Q336,language,English
Q337,language,English
Q338,language,English
Q339,language,English
Q341,language,English
Q345,language,English
Q347,language,English
Q350,language,English
Q357,language,English
Q358,language,English
Q360,language,English
Q364,language,English
Q365,language,English
Q366,language,English
Q367,language,English
Q373,language,English
Q376,language,English
Q377,language,English
Q378,language,English
Q381,language,English
Q382,language,English
Q384,language,English
Q387,language,English
Q388,language,English
Q391,language,English
Q392,language,English
Q394,language,English
Q395,language,English
Q396,language,English
Q397,language,English
Q401,language,English
Q404,language,English
Q406,language,English
Q409,language,English
Q412,language,English
Q415,language,English
Q416,language,English
Q419,language,English
Q421,language,English
Q424,language,English
Q432,language,English
Q433,language,English
Q434,language,English
Q435,language,English
Q437,language,English
Q439,language,English
Q440,language,English
Q441,language,English
Q444,language,English
Q449,language,English
Q451,language,English
Q452,language,English
Q457,language,English
Q458,language,English
Q460,language,English
Q461,language,English
Q462,language,English
Q463,language,English
Q465,language,English
Q468,language,English
Q477,language,English
Q479,language,English
Q480,language,English
Q481,language,English
Q482,language,English
Q484,language,English
Q485,language,English
Q486,language,English
Q489,language,English
Q491,language,English
Q492,language,English
Q493,language,English
Q495,language,English
Q497,language,English
Q003,language,Bahasa Indonesia
Q018,language,Bahasa Indonesia
Q022,language,Bahasa Indonesia
Q032,language,Bahasa Indonesia
Q035,language,Bahasa Indonesia
Q039,language,Bahasa Indonesia
Q040,language,Bahasa Indonesia
Q043,language,Bahasa Indonesia
Q046,language,Bahasa Indonesia
Q063,language,Bahasa Indonesia
Q077,language,Bahasa Indonesia
Q078,language,Bahasa Indonesia
Q084,language,Bahasa Indonesia
Q090,language,Bahasa Indonesia
Q093,language,Bahasa Indonesia
Q097,language,Bahasa Indonesia
Q102,language,Bahasa Indonesia
Q105,language,Bahasa Indonesia
Q107,language,Bahasa Indonesia
Q115,language,Bahasa Indonesia
Q123,language,Bahasa Indonesia
Q129,language,Bahasa Indonesia
Q138,language,Bahasa Indonesia
Q142,language,Bahasa Indonesia
Q150,language,Bahasa Indonesia
Q152,language,Bahasa Indonesia
Q160,language,Bahasa Indonesia
Q165,language,Bahasa Indonesia
Q167,language,Bahasa Indonesia
Q172,language,Bahasa Indonesia
Q180,language,Bahasa Indonesia
Q181,language,Bahasa Indonesia
Q182,language,Bahasa Indonesia
Q188,language,Bahasa Indonesia
Q193,language,Bahasa Indonesia
Q197,language,Bahasa Indonesia
Q201,language,Bahasa Indonesia
Q205,language,Bahasa Indonesia
Q206,language,Bahasa Indonesia
Q208,language,Bahasa Indonesia
Q211,language,Bahasa Indonesia
Q217,language,Bahasa Indonesia
Q218,language,Bahasa Indonesia
Q235,language,Bahasa Indonesia
Q241,language,Bahasa Indonesia
Q242,language,Bahasa Indonesia
Q244,language,Bahasa Indonesia
Q245,language,Bahasa Indonesia
Q247,language,Bahasa Indonesia
Q250,language,Bahasa Indonesia
Q260,language,Bahasa Indonesia
Q264,language,Bahasa Indonesia
Q266,language,Bahasa Indonesia
Q274,language,Bahasa Indonesia
Q275,language,Bahasa Indonesia
Q280,language,Bahasa Indonesia
Q282,language,Bahasa Indonesia
Q287,language,Bahasa Indonesia
Q288,language,Bahasa Indonesia
Q289,language,Bahasa Indonesia
Q291,language,Bahasa Indonesia
Q293,language,Bahasa Indonesia
Q296,language,Bahasa Indonesia
Q298,language,Bahasa Indonesia
Q310,language,Bahasa Indonesia
Q323,language,Bahasa Indonesia
Q329,language,Bahasa Indonesia
Q332,language,Bahasa Indonesia
Q343,language,Bahasa Indonesia
Q344,language,Bahasa Indonesia
Q349,language,Bahasa Indonesia
Q352,language,Bahasa Indonesia
Q354,language,Bahasa Indonesia
Q355,language,Bahasa Indonesia
Q356,language,Bahasa Indonesia
Q359,language,Bahasa Indonesia
Q361,language,Bahasa Indonesia
Q362,language,Bahasa Indonesia
Q369,language,Bahasa Indonesia
Q370,language,Bahasa Indonesia
Q375,language,Bahasa Indonesia
Q385,language,Bahasa Indonesia
Q389,language,Bahasa Indonesia
Q390,language,Bahasa Indonesia
Q400,language,Bahasa Indonesia
Q403,language,Bahasa Indonesia
Q405,language,Bahasa Indonesia
Q407,language,Bahasa Indonesia
Q410,language,Bahasa Indonesia
Q417,language,Bahasa Indonesia
Q420,language,Bahasa Indonesia
Q428,language,Bahasa Indonesia
Q429,language,Bahasa Indonesia
Q431,language,Bahasa Indonesia
Q446,language,Bahasa Indonesia
Q447,language,Bahasa Indonesia
Q455,language,Bahasa Indonesia
Q466,language,Bahasa Indonesia
Q470,language,Bahasa Indonesia
Q471,language,Bahasa Indonesia
Q475,language,Bahasa Indonesia
Q476,language,Bahasa Indonesia
Q488,language,Bahasa Indonesia
Q490,language,Bahasa Indonesia
Q499,language,Bahasa Indonesia
Q004,language,Mixed language
Q006,language,Mixed language
Q011,language,Mixed language
Q012,language,Mixed language
Q013,language,Mixed language
Q017,language,Mixed language
Q019,language,Mixed language
Q021,language,Mixed language
Q023,language,Mixed language
Q024,language,Mixed language
Q026,language,Mixed language
Q029,language,Mixed language
Q031,language,Mixed language
Q033,language,Mixed language
Q038,language,Mixed language
Q049,language,Mixed language
Q052,language,Mixed language
Q055,language,Mixed language
Q056,language,Mixed language
Q057,language,Mixed language
Q059,language,Mixed language
Q061,language,Mixed language
Q065,language,Mixed language
Q067,language,Mixed language
Q069,language,Mixed language
Q072,language,Mixed language
Q076,language,Mixed language
Q080,language,Mixed language
Q081,language,Mixed language
Q086,language,Mixed language
Q087,language,Mixed language
Q091,language,Mixed language
Q092,language,Mixed language
Q094,language,Mixed language
Q098,language,Mixed language
Q099,language,Mixed language
Q100,language,Mixed language
Q109,language,Mixed language
Q110,language,Mixed language
Q116,language,Mixed language
Q117,language,Mixed language
Q118,language,Mixed language
Q119,language,Mixed language
Q122,language,Mixed language
Q124,language,Mixed language
Q125,language,Mixed language
Q128,language,Mixed language
Q131,language,Mixed language
Q137,language,Mixed language
Q139,language,Mixed language
Q141,language,Mixed language
Q143,language,Mixed language
Q146,language,Mixed language
Q147,language,Mixed language
Q148,language,Mixed language
Q151,language,Mixed language
Q155,language,Mixed language
Q156,language,Mixed language
Q161,language,Mixed language
Q164,language,Mixed language
Q168,language,Mixed language
Q173,language,Mixed language
Q174,language,Mixed language
Q176,language,Mixed language
Q178,language,Mixed language
Q186,language,Mixed language
Q187,language,Mixed language
Q191,language,Mixed language
Q192,language,Mixed language
Q204,language,Mixed language
Q210,language,Mixed language
Q213,language,Mixed language
Q219,language,Mixed language
Q220,language,Mixed language
Q223,language,Mixed language
Q225,language,Mixed language
Q226,language,Mixed language
Q231,language,Mixed language
Q232,language,Mixed language
Q233,language,Mixed language
Q234,language,Mixed language
Q237,language,Mixed language
Q239,language,Mixed language
Q240,language,Mixed language
Q248,language,Mixed language
Q249,language,Mixed language
Q252,language,Mixed language
Q253,language,Mixed language
Q255,language,Mixed language
Q259,language,Mixed language
Q262,language,Mixed language
Q267,language,Mixed language
Q269,language,Mixed language
Q270,language,Mixed language
Q271,language,Mixed language
Q273,language,Mixed language
Q278,language,Mixed language
Q279,language,Mixed language
Q283,language,Mixed language
Q286,language,Mixed language
Q290,language,Mixed language
Q294,language,Mixed language
Q300,language,Mixed language
Q302,language,Mixed language
Q304,language,Mixed language
Q308,language,Mixed language
Q313,language,Mixed language
Q314,language,Mixed language
Q315,language,Mixed language
Q316,language,Mixed language
Q317,language,Mixed language
Q319,language,Mixed language
Q325,language,Mixed language
Q327,language,Mixed language
Q328,language,Mixed language
Q330,language,Mixed language
Q331,language,Mixed language
Q333,language,Mixed language
Q335,language,Mixed language
Q340,language,Mixed language
Q342,language,Mixed language
Q346,language,Mixed language
Q348,language,Mixed language
Q351,language,Mixed language
Q353,language,Mixed language
Q363,language,Mixed language
Q368,language,Mixed language
Q371,language,Mixed language
Q372,language,Mixed language
Q374,language,Mixed language
Q379,language,Mixed language
Q380,language,Mixed language
Q383,language,Mixed language
Q386,language,Mixed language
Q393,language,Mixed language
Q398,language,Mixed language
Q399,language,Mixed language
Q402,language,Mixed language
Q408,language,Mixed language
Q411,language,Mixed language
Q413,language,Mixed language
Q414,language,Mixed language
Q418,language,Mixed language
Q422,language,Mixed language
Q423,language,Mixed language
Q425,language,Mixed language
Q426,language,Mixed language
Q427,language,Mixed language
Q430,language,Mixed language
Q436,language,Mixed language
Q438,language,Mixed language
Q442,language,Mixed language
Q443,language,Mixed language
Q445,language,Mixed language
Q448,language,Mixed language
Q450,language,Mixed language
Q453,language,Mixed language
Q454,language,Mixed language
Q456,language,Mixed language
Q459,language,Mixed language
Q464,language,Mixed language
Q467,language,Mixed language
Q469,language,Mixed language
Q472,language,Mixed language
Q473,language,Mixed language
Q474,language,Mixed language
Q478,language,Mixed language
Q483,language,Mixed language
Q487,language,Mixed language
Q494,language,Mixed language
Q496,language,Mixed language
Q498,language,Mixed language
Q500,language,Mixed language
Q001,entity_count,Two or more recognized entities
Q002,entity_count,Two or more recognized entities
Q003,entity_count,Two or more recognized entities
Q004,entity_count,Two or more recognized entities
Q005,entity_count,Two or more recognized entities
Q006,entity_count,Two or more recognized entities
Q007,entity_count,Two or more recognized entities
Q008,entity_count,Two or more recognized entities
Q009,entity_count,Two or more recognized entities
Q010,entity_count,Two or more recognized entities
Q011,entity_count,Two or more recognized entities
Q012,entity_count,Two or more recognized entities
Q013,entity_count,Two or more recognized entities
Q014,entity_count,Two or more recognized entities
Q015,entity_count,Two or more recognized entities
Q016,entity_count,Two or more recognized entities
Q017,entity_count,Two or more recognized entities
Q018,entity_count,Two or more recognized entities
Q019,entity_count,Two or more recognized entities
Q020,entity_count,Two or more recognized entities
Q021,entity_count,Two or more recognized entities
Q022,entity_count,Two or more recognized entities
Q023,entity_count,Two or more recognized entities
Q024,entity_count,Two or more recognized entities
Q025,entity_count,Two or more recognized entities
Q026,entity_count,Two or more recognized entities
Q027,entity_count,Two or more recognized entities
Q028,entity_count,Two or more recognized entities
Q029,entity_count,Two or more recognized entities
Q030,entity_count,Two or more recognized entities
Q031,entity_count,Two or more recognized entities
Q032,entity_count,Two or more recognized entities
Q033,entity_count,Two or more recognized entities
Q034,entity_count,Two or more recognized entities
Q035,entity_count,Two or more recognized entities
Q036,entity_count,Two or more recognized entities
Q037,entity_count,Two or more recognized entities
Q038,entity_count,Two or more recognized entities
Q039,entity_count,Two or more recognized entities
Q040,entity_count,Two or more recognized entities
Q041,entity_count,Two or more recognized entities
Q042,entity_count,Two or more recognized entities
Q043,entity_count,Two or more recognized entities
Q044,entity_count,Two or more recognized entities
Q045,entity_count,Two or more recognized entities
Q046,entity_count,Two or more recognized entities
Q047,entity_count,Two or more recognized entities
Q048,entity_count,Two or more recognized entities
Q049,entity_count,Two or more recognized entities
Q050,entity_count,Two or more recognized entities
Q051,entity_count,Two or more recognized entities
Q052,entity_count,Two or more recognized entities
Q053,entity_count,Two or more recognized entities
Q054,entity_count,Two or more recognized entities
Q055,entity_count,Two or more recognized entities
Q056,entity_count,Two or more recognized entities
Q057,entity_count,Two or more recognized entities
Q058,entity_count,Two or more recognized entities
Q059,entity_count,Two or more recognized entities
Q060,entity_count,Two or more recognized entities
Q061,entity_count,Two or more recognized entities
Q062,entity_count,Two or more recognized entities
Q063,entity_count,Two or more recognized entities
Q064,entity_count,Two or more recognized entities
Q065,entity_count,Two or more recognized entities
Q066,entity_count,Two or more recognized entities
Q067,entity_count,Two or more recognized entities
Q068,entity_count,Two or more recognized entities
Q069,entity_count,Two or more recognized entities
Q070,entity_count,Two or more recognized entities
Q071,entity_count,Two or more recognized entities
Q072,entity_count,Two or more recognized entities
Q073,entity_count,Two or more recognized entities
Q074,entity_count,Two or more recognized entities
Q075,entity_count,Two or more recognized entities
Q076,entity_count,Two or more recognized entities
Q077,entity_count,Two or more recognized entities
Q078,entity_count,Two or more recognized entities
Q079,entity_count,Two or more recognized entities
Q080,entity_count,Two or more recognized entities
Q081,entity_count,Two or more recognized entities
Q082,entity_count,Two or more recognized entities
Q083,entity_count,Two or more recognized entities
Q084,entity_count,Two or more recognized entities
Q085,entity_count,Two or more recognized entities
Q086,entity_count,Two or more recognized entities
Q087,entity_count,Two or more recognized entities
Q088,entity_count,Two or more recognized entities
Q089,entity_count,Two or more recognized entities
Q090,entity_count,Two or more recognized entities
Q091,entity_count,Two or more recognized entities
Q092,entity_count,Two or more recognized entities
Q093,entity_count,Two or more recognized entities
Q094,entity_count,Two or more recognized entities
Q095,entity_count,Two or more recognized entities
Q096,entity_count,Two or more recognized entities
Q097,entity_count,Two or more recognized entities
Q098,entity_count,Two or more recognized entities
Q099,entity_count,Two or more recognized entities
Q100,entity_count,Two or more recognized entities
Q101,entity_count,Two or more recognized entities
Q102,entity_count,Two or more recognized entities
Q103,entity_count,Two or more recognized entities
Q104,entity_count,Two or more recognized entities
Q105,entity_count,Two or more recognized entities
Q106,entity_count,Two or more recognized entities
Q107,entity_count,Two or more recognized entities
Q108,entity_count,Two or more recognized entities
Q109,entity_count,Two or more recognized entities
Q110,entity_count,Two or more recognized entities
Q111,entity_count,Two or more recognized entities
Q112,entity_count,Two or more recognized entities
Q113,entity_count,Two or more recognized entities
Q114,entity_count,Two or more recognized entities
Q115,entity_count,Two or more recognized entities
Q116,entity_count,Two or more recognized entities
Q117,entity_count,Two or more recognized entities
Q118,entity_count,Two or more recognized entities
Q119,entity_count,Two or more recognized entities
Q120,entity_count,Two or more recognized entities
Q121,entity_count,Two or more recognized entities
Q122,entity_count,Two or more recognized entities
Q123,entity_count,Two or more recognized entities
Q124,entity_count,Two or more recognized entities
Q125,entity_count,Two or more recognized entities
Q126,entity_count,Two or more recognized entities
Q127,entity_count,Two or more recognized entities
Q128,entity_count,Two or more recognized entities
Q129,entity_count,Two or more recognized entities
Q130,entity_count,Two or more recognized entities
Q131,entity_count,Two or more recognized entities
Q132,entity_count,Two or more recognized entities
Q133,entity_count,Two or more recognized entities
Q134,entity_count,Two or more recognized entities
Q135,entity_count,Two or more recognized entities
Q136,entity_count,Two or more recognized entities
Q137,entity_count,Two or more recognized entities
Q138,entity_count,Two or more recognized entities
Q139,entity_count,Two or more recognized entities
Q140,entity_count,Two or more recognized entities
Q141,entity_count,Two or more recognized entities
Q142,entity_count,Two or more recognized entities
Q143,entity_count,Two or more recognized entities
Q144,entity_count,Two or more recognized entities
Q145,entity_count,Two or more recognized entities
Q146,entity_count,Two or more recognized entities
Q147,entity_count,Two or more recognized entities
Q148,entity_count,Two or more recognized entities
Q149,entity_count,Two or more recognized entities
