doctor_id,impressions,sessions,unique_queries,engaged,engagement_rate,engagement_ci95_low,engagement_ci95_high
D103,21,3,3,5,0.23809523809523808,0.10627856389112261,0.45091581972345923
D029,75,8,8,18,0.24,0.15754748728758244,0.3477897965828615
D114,29,3,3,7,0.2413793103448276,0.12218268185062131,0.4210795221832869
D062,53,6,6,13,0.24528301886792453,0.14932762711854577,0.3756681506217008
D006,154,19,18,38,0.24675324675324675,0.18537679419928935,0.3204569023673952
D120,16,2,2,4,0.25,0.10181901984237346,0.49498768929398645
D047,28,3,3,7,0.25,0.12676334942200781,0.433560252407046
D064,56,6,6,14,0.25,0.15516915222973843,0.37692892001431927
D057,59,6,6,15,0.2542372881355932,0.1605583829520582,0.3779638698231735
D031,50,6,6,13,0.26,0.15871379651367384,0.3955342198899992
D085,83,9,9,22,0.26506024096385544,0.18204284443216528,0.36886363356916135
D094,52,6,6,14,0.2692307692307692,0.1676881003582587,0.4025247875246099
D015,106,11,11,30,0.2830188679245283,0.20602338401321438,0.37519174759448237
D067,59,7,7,17,0.288135593220339,0.1883634728582083,0.4138108829825087
D117,38,4,4,11,0.2894736842105263,0.17003106263656131,0.44757438266189764
D025,76,9,9,22,0.2894736842105263,0.19960875564331393,0.39959767308556926
D066,44,6,6,13,0.29545454545454547,0.18155360887243294,0.4422047938565727
D007,91,10,10,27,0.2967032967032967,0.212633552714673,0.39724228236191794
D050,47,6,6,14,0.2978723404255319,0.18651084151016262,0.439779440463654
D100,20,2,2,6,0.3,0.14547527396899385,0.5189767762289793
D021,66,8,8,20,0.30303030303030304,0.20553868699544753,0.4221903455582168
D079,52,6,6,16,0.3076923076923077,0.19914562391353519,0.4426984493221887
D091,55,5,5,17,0.3090909090909091,0.20282124520577244,0.4402883915138273
D078,25,3,3,8,0.32,0.17204987516891143,0.5159008626542329
D086,49,5,5,16,0.32653061224489793,0.21207321329264214,0.4662105631259371
D012,106,12,12,35,0.330188679245283,0.2479785534130129,0.42427676697561933
D074,63,7,7,21,0.3333333333333333,0.22949449812708317,0.4563298986557586
D109,29,4,4,10,0.3448275862068966,0.19940508749190483,0.5265522349284402
D089,49,6,6,17,0.3469387755102041,0.2292420960931444,0.4868906478056021
D071,43,5,5,15,0.3488372093023256,0.22418398748963103,0.49828492902901905
D118,59,7,7,21,0.3559322033898305,0.2460311586943476,0.48344740327733987
D013,40,4,4,15,0.375,0.2422277353579172,0.529678399454681
D020,56,7,7,21,0.375,0.26010029646692184,0.505948739655107
D045,55,6,6,21,0.38181818181818183,0.26515766317415235,0.513910207176076
D098,84,9,9,33,0.39285714285714285,0.2953018006281275,0.49978389908590315
D097,37,4,4,16,0.43243243243243246,0.2867148684035131,0.5908609366579929
D069,29,4,4,13,0.4482758620689655,0.2841291114874579,0.6245233293193238
D101,20,2,2,9,0.45,0.25819502085709295,0.6579179916924003
D090,10,1,1,7,0.7,0.39677321997956516,0.892210712513788
D044,30,4,4,24,0.8,0.6269395261897256,0.9049502189759876
