query_id,query_intent,query_language,sessions,impression_rows,observed_content,engaged_rows,judgment_coverage,has_observed_positive
Q230,Safety / Contraindication,EN,1,7,7,0,0.020289855072463767,False
Q236,Monitoring / Response / Risk Assessment,EN,1,7,7,0,0.020289855072463767,False
Q296,Treatment Change / Escalation,ID,1,7,7,0,0.020289855072463767,False
Q299,Dosing / Administration,EN,1,7,7,0,0.020289855072463767,False
Q350,Treatment Change / Escalation,EN,1,7,7,0,0.020289855072463767,False
Q387,Monitoring / Response / Risk Assessment,EN,1,7,7,0,0.020289855072463767,False
Q389,Management / Treatment Selection,ID,1,7,7,0,0.020289855072463767,False
Q415,Guideline / Evidence Lookup,EN,1,7,7,0,0.020289855072463767,False
Q442,Treatment Change / Escalation,MIXED,1,7,7,0,0.020289855072463767,False
Q483,Management / Treatment Selection,MIXED,1,7,7,0,0.020289855072463767,False
Q500,Guideline / Evidence Lookup,MIXED,1,7,7,0,0.020289855072463767,False
Q037,Safety / Contraindication,EN,1,8,8,0,0.02318840579710145,False
Q053,Mechanism / Background Knowledge,EN,1,8,8,0,0.02318840579710145,False
Q099,Dosing / Administration,MIXED,1,8,8,0,0.02318840579710145,False
Q118,Dosing / Administration,MIXED,1,8,8,0,0.02318840579710145,False
Q137,Mechanism / Background Knowledge,MIXED,1,8,8,0,0.02318840579710145,False
Q138,Safety / Contraindication,ID,1,8,8,0,0.02318840579710145,False
Q139,Dosing / Administration,MIXED,1,8,8,0,0.02318840579710145,False
Q184,Mechanism / Background Knowledge,EN,1,8,8,0,0.02318840579710145,False
Q194,Prophylaxis / Maintenance,EN,1,8,8,0,0.02318840579710145,False
Q256,Mechanism / Background Knowledge,EN,1,8,8,0,0.02318840579710145,False
Q283,Monitoring / Response / Risk Assessment,MIXED,1,8,8,0,0.02318840579710145,False
Q302,Dosing / Administration,MIXED,1,8,8,0,0.02318840579710145,False
Q303,Management / Treatment Selection,EN,1,8,8,0,0.02318840579710145,False
Q339,Comparative Treatment Choice,EN,1,8,8,0,0.02318840579710145,False
Q380,Dosing / Administration,MIXED,1,8,8,0,0.02318840579710145,False
Q391,Management / Treatment Selection,EN,1,8,8,0,0.02318840579710145,False
Q396,Dosing / Administration,EN,1,8,8,0,0.02318840579710145,False
Q413,Guideline / Evidence Lookup,MIXED,1,8,8,0,0.02318840579710145,False
Q425,Prophylaxis / Maintenance,MIXED,1,8,8,0,0.02318840579710145,False
Q455,Management / Treatment Selection,ID,1,8,8,0,0.02318840579710145,False
Q487,Guideline / Evidence Lookup,MIXED,1,8,8,0,0.02318840579710145,False
Q491,Efficacy / Outcomes,EN,1,8,8,0,0.02318840579710145,False
Q497,Safety / Contraindication,EN,1,8,8,0,0.02318840579710145,False
Q014,Dosing / Administration,EN,1,9,9,0,0.02608695652173913,False
Q024,Dosing / Administration,MIXED,1,9,9,0,0.02608695652173913,False
Q071,Comparative Treatment Choice,EN,1,9,9,0,0.02608695652173913,False
Q080,Management / Treatment Selection,MIXED,1,9,9,0,0.02608695652173913,False
Q108,Safety / Contraindication,EN,1,9,9,0,0.02608695652173913,False
Q111,Safety / Contraindication,EN,1,9,9,0,0.02608695652173913,False
Q112,Comparative Treatment Choice,EN,1,9,9,0,0.02608695652173913,False
Q115,Dosing / Administration,ID,1,9,9,0,0.02608695652173913,False
Q136,Treatment Change / Escalation,EN,1,9,9,0,0.02608695652173913,False
Q141,Prophylaxis / Maintenance,MIXED,1,9,9,0,0.02608695652173913,False
Q151,Guideline / Evidence Lookup,MIXED,1,9,9,0,0.02608695652173913,False
Q175,Dosing / Administration,EN,1,9,9,0,0.02608695652173913,False
Q190,Mechanism / Background Knowledge,EN,1,9,9,0,0.02608695652173913,False
Q195,Treatment Change / Escalation,EN,1,9,9,0,0.02608695652173913,False
Q220,Dosing / Administration,MIXED,1,9,9,0,0.02608695652173913,False
Q253,Safety / Contraindication,MIXED,1,9,9,0,0.02608695652173913,False
Q259,Monitoring / Response / Risk Assessment,MIXED,1,9,9,0,0.02608695652173913,False
Q261,Mechanism / Background Knowledge,EN,1,9,9,0,0.02608695652173913,False
Q276,Monitoring / Response / Risk Assessment,EN,1,9,9,0,0.02608695652173913,False
Q309,Efficacy / Outcomes,EN,1,9,9,0,0.02608695652173913,False
Q312,Prophylaxis / Maintenance,EN,1,9,9,0,0.02608695652173913,False
Q322,Dosing / Administration,EN,1,9,9,0,0.02608695652173913,False
Q332,Management / Treatment Selection,ID,1,9,9,0,0.02608695652173913,False
Q336,Safety / Contraindication,EN,1,9,9,0,0.02608695652173913,False
Q344,Guideline / Evidence Lookup,ID,1,9,9,0,0.02608695652173913,False
Q367,Safety / Contraindication,EN,1,9,9,0,0.02608695652173913,False
Q374,Safety / Contraindication,MIXED,1,9,9,0,0.02608695652173913,False
Q378,Treatment Change / Escalation,EN,1,9,9,0,0.02608695652173913,False
Q414,Dosing / Administration,MIXED,1,9,9,0,0.02608695652173913,False
Q446,Management / Treatment Selection,ID,1,9,9,0,0.02608695652173913,False
Q448,Comparative Treatment Choice,MIXED,1,9,9,0,0.02608695652173913,False
Q004,Efficacy / Outcomes,MIXED,1,10,10,0,0.028985507246376812,False
Q058,Mechanism / Background Knowledge,EN,1,10,10,0,0.028985507246376812,False
Q064,Monitoring / Response / Risk Assessment,EN,1,10,10,0,0.028985507246376812,False
Q088,Dosing / Administration,EN,1,10,10,0,0.028985507246376812,False
Q109,Guideline / Evidence Lookup,MIXED,1,10,10,0,0.028985507246376812,False
Q143,Treatment Change / Escalation,MIXED,1,10,10,0,0.028985507246376812,False
Q187,Safety / Contraindication,MIXED,1,10,10,0,0.028985507246376812,False
Q203,Safety / Contraindication,EN,1,10,10,0,0.028985507246376812,False
Q205,Prophylaxis / Maintenance,ID,1,10,10,0,0.028985507246376812,False
Q286,Prophylaxis / Maintenance,MIXED,1,10,10,0,0.028985507246376812,False
Q291,Management / Treatment Selection,ID,1,10,10,0,0.028985507246376812,False
Q300,Safety / Contraindication,MIXED,1,10,10,0,0.028985507246376812,False
Q310,Management / Treatment Selection,ID,1,10,10,0,0.028985507246376812,False
Q317,Efficacy / Outcomes,MIXED,1,10,10,0,0.028985507246376812,False
Q330,Safety / Contraindication,MIXED,1,10,10,0,0.028985507246376812,False
Q358,Dosing / Administration,EN,1,10,10,0,0.028985507246376812,False
Q361,Guideline / Evidence Lookup,ID,1,10,10,0,0.028985507246376812,False
Q412,Efficacy / Outcomes,EN,1,10,10,0,0.028985507246376812,False
Q428,Treatment Change / Escalation,ID,1,10,10,0,0.028985507246376812,False
Q439,Dosing / Administration,EN,1,10,10,0,0.028985507246376812,False
Q457,Safety / Contraindication,EN,1,10,10,0,0.028985507246376812,False
Q464,Safety / Contraindication,MIXED,1,10,10,0,0.028985507246376812,False
Q468,Prophylaxis / Maintenance,EN,1,10,10,0,0.028985507246376812,False
Q471,Monitoring / Response / Risk Assessment,ID,1,10,10,0,0.028985507246376812,False
Q475,Safety / Contraindication,ID,1,10,10,0,0.028985507246376812,False
Q481,Efficacy / Outcomes,EN,1,10,10,0,0.028985507246376812,False
Q493,Monitoring / Response / Risk Assessment,EN,1,10,10,0,0.028985507246376812,False
Q028,Safety / Contraindication,EN,1,6,6,1,0.017391304347826087,True
Q062,Guideline / Evidence Lookup,EN,1,6,6,1,0.017391304347826087,True
Q066,Monitoring / Response / Risk Assessment,EN,1,6,6,1,0.017391304347826087,True
Q092,Treatment Change / Escalation,MIXED,1,6,6,2,0.017391304347826087,True
Q098,Guideline / Evidence Lookup,MIXED,1,6,6,3,0.017391304347826087,True
Q160,Dosing / Administration,ID,1,6,6,1,0.017391304347826087,True
Q164,Guideline / Evidence Lookup,MIXED,1,6,6,6,0.017391304347826087,True
Q176,Guideline / Evidence Lookup,MIXED,1,6,6,6,0.017391304347826087,True
Q201,Interaction / Combination,ID,1,6,6,2,0.017391304347826087,True
Q222,Management / Treatment Selection,EN,1,6,6,2,0.017391304347826087,True
Q240,Guideline / Evidence Lookup,MIXED,1,6,6,1,0.017391304347826087,True
Q248,Guideline / Evidence Lookup,MIXED,1,6,6,1,0.017391304347826087,True
Q255,Safety / Contraindication,MIXED,1,6,6,2,0.017391304347826087,True
Q295,Treatment Change / Escalation,EN,1,6,6,2,0.017391304347826087,True
Q305,Management / Treatment Selection,EN,1,6,6,4,0.017391304347826087,True
Q308,Management / Treatment Selection,MIXED,1,6,6,2,0.017391304347826087,True
Q321,Interaction / Combination,EN,1,6,6,6,0.017391304347826087,True
Q343,Management / Treatment Selection,ID,1,6,6,1,0.017391304347826087,True
Q357,Efficacy / Outcomes,EN,1,6,6,2,0.017391304347826087,True
Q422,Guideline / Evidence Lookup,MIXED,1,6,6,1,0.017391304347826087,True
Q452,Interaction / Combination,EN,1,6,6,1,0.017391304347826087,True
Q460,Guideline / Evidence Lookup,EN,1,6,6,1,0.017391304347826087,True
Q496,Safety / Contraindication,MIXED,1,6,6,2,0.017391304347826087,True
Q010,Dosing / Administration,EN,1,7,7,2,0.020289855072463767,True
Q035,Management / Treatment Selection,ID,1,7,7,1,0.020289855072463767,True
Q081,Management / Treatment Selection,MIXED,1,7,7,2,0.020289855072463767,True
Q085,Comparative Treatment Choice,EN,1,7,7,1,0.020289855072463767,True
Q087,Management / Treatment Selection,MIXED,1,7,7,1,0.020289855072463767,True
Q114,Comparative Treatment Choice,EN,1,7,7,1,0.020289855072463767,True
Q123,Management / Treatment Selection,ID,1,7,7,1,0.020289855072463767,True
Q148,Dosing / Administration,MIXED,1,7,7,2,0.020289855072463767,True
Q163,Safety / Contraindication,EN,1,7,7,6,0.020289855072463767,True
Q171,Prophylaxis / Maintenance,EN,1,7,7,7,0.020289855072463767,True
Q226,Prophylaxis / Maintenance,MIXED,1,7,7,2,0.020289855072463767,True
Q249,Dosing / Administration,MIXED,1,7,7,1,0.020289855072463767,True
Q311,Treatment Change / Escalation,EN,1,7,7,2,0.020289855072463767,True
Q318,Comparative Treatment Choice,EN,1,7,7,4,0.020289855072463767,True
Q334,Prophylaxis / Maintenance,EN,1,7,7,7,0.020289855072463767,True
Q338,Comparative Treatment Choice,EN,1,7,7,1,0.020289855072463767,True
Q346,Dosing / Administration,MIXED,1,7,7,5,0.020289855072463767,True
Q348,Safety / Contraindication,MIXED,1,7,7,1,0.020289855072463767,True
Q386,Safety / Contraindication,MIXED,1,7,7,2,0.020289855072463767,True
Q403,Interaction / Combination,ID,1,7,7,2,0.020289855072463767,True
Q435,Dosing / Administration,EN,1,7,7,7,0.020289855072463767,True
Q438,Dosing / Administration,MIXED,1,7,7,2,0.020289855072463767,True
Q444,Dosing / Administration,EN,1,7,7,7,0.020289855072463767,True
Q449,Mechanism / Background Knowledge,EN,1,7,7,4,0.020289855072463767,True
Q476,Comparative Treatment Choice,ID,1,7,7,1,0.020289855072463767,True
Q478,Safety / Contraindication,MIXED,1,7,7,1,0.020289855072463767,True
Q488,Safety / Contraindication,ID,1,7,7,1,0.020289855072463767,True
Q494,Guideline / Evidence Lookup,MIXED,1,7,7,1,0.020289855072463767,True
Q002,Safety / Contraindication,EN,1,8,8,1,0.02318840579710145,True
Q011,Dosing / Administration,MIXED,1,8,8,2,0.02318840579710145,True
Q031,Safety / Contraindication,MIXED,1,8,8,2,0.02318840579710145,True
Q033,Safety / Contraindication,MIXED,1,8,8,2,0.02318840579710145,True
Q061,Guideline / Evidence Lookup,MIXED,1,8,8,5,0.02318840579710145,True
Q083,Guideline / Evidence Lookup,EN,1,8,8,1,0.02318840579710145,True
Q091,Dosing / Administration,MIXED,1,8,8,2,0.02318840579710145,True
Q103,Monitoring / Response / Risk Assessment,EN,1,8,8,1,0.02318840579710145,True
Q110,Dosing / Administration,MIXED,1,8,8,2,0.02318840579710145,True
Q147,Guideline / Evidence Lookup,MIXED,1,8,8,1,0.02318840579710145,True
Q165,Dosing / Administration,ID,1,8,8,8,0.02318840579710145,True
Q166,Mechanism / Background Knowledge,EN,1,8,8,2,0.02318840579710145,True
Q168,Guideline / Evidence Lookup,MIXED,1,8,8,1,0.02318840579710145,True
Q174,Monitoring / Response / Risk Assessment,MIXED,1,8,8,1,0.02318840579710145,True
Q207,Interaction / Combination,EN,1,8,8,1,0.02318840579710145,True
Q212,Safety / Contraindication,EN,1,8,8,8,0.02318840579710145,True
Q223,Efficacy / Outcomes,MIXED,1,8,8,1,0.02318840579710145,True
Q229,Management / Treatment Selection,EN,1,8,8,7,0.02318840579710145,True
Q257,Treatment Change / Escalation,EN,1,8,8,1,0.02318840579710145,True
Q269,Efficacy / Outcomes,MIXED,1,8,8,2,0.02318840579710145,True
Q315,Guideline / Evidence Lookup,MIXED,1,8,8,3,0.02318840579710145,True
Q320,Safety / Contraindication,EN,1,8,8,1,0.02318840579710145,True
Q329,Management / Treatment Selection,ID,1,8,8,1,0.02318840579710145,True
Q331,Dosing / Administration,MIXED,1,8,8,2,0.02318840579710145,True
Q356,Safety / Contraindication,ID,1,8,8,1,0.02318840579710145,True
Q370,Management / Treatment Selection,ID,1,8,8,8,0.02318840579710145,True
Q372,Guideline / Evidence Lookup,MIXED,1,8,8,2,0.02318840579710145,True
Q373,Treatment Change / Escalation,EN,1,8,8,1,0.02318840579710145,True
Q400,Dosing / Administration,ID,1,8,8,1,0.02318840579710145,True
Q459,Prophylaxis / Maintenance,MIXED,1,8,8,2,0.02318840579710145,True
Q462,Interaction / Combination,EN,1,8,8,2,0.02318840579710145,True
Q463,Management / Treatment Selection,EN,1,8,8,8,0.02318840579710145,True
Q030,Safety / Contraindication,EN,1,9,9,2,0.02608695652173913,True
Q042,Treatment Change / Escalation,EN,1,9,9,9,0.02608695652173913,True
Q054,Safety / Contraindication,EN,1,9,9,9,0.02608695652173913,True
Q057,Comparative Treatment Choice,MIXED,1,9,9,2,0.02608695652173913,True
Q059,Treatment Change / Escalation,MIXED,1,9,9,1,0.02608695652173913,True
Q060,Management / Treatment Selection,EN,1,9,9,7,0.02608695652173913,True
Q065,Efficacy / Outcomes,MIXED,1,9,9,2,0.02608695652173913,True
Q093,Treatment Change / Escalation,ID,1,9,9,8,0.02608695652173913,True
Q116,Management / Treatment Selection,MIXED,1,9,9,2,0.02608695652173913,True
Q119,Guideline / Evidence Lookup,MIXED,1,9,9,1,0.02608695652173913,True
Q122,Dosing / Administration,MIXED,1,9,9,2,0.02608695652173913,True
Q142,Safety / Contraindication,ID,1,9,9,6,0.02608695652173913,True
Q144,Dosing / Administration,EN,1,9,9,4,0.02608695652173913,True
Q155,Interaction / Combination,MIXED,1,9,9,8,0.02608695652173913,True
Q188,Interaction / Combination,ID,1,9,9,3,0.02608695652173913,True
Q192,Dosing / Administration,MIXED,1,9,9,2,0.02608695652173913,True
Q196,Monitoring / Response / Risk Assessment,EN,1,9,9,1,0.02608695652173913,True
Q198,Guideline / Evidence Lookup,EN,1,9,9,1,0.02608695652173913,True
Q211,Management / Treatment Selection,ID,1,9,9,9,0.02608695652173913,True
Q224,Dosing / Administration,EN,1,9,9,9,0.02608695652173913,True
Q227,Safety / Contraindication,EN,1,9,9,1,0.02608695652173913,True
Q242,Guideline / Evidence Lookup,ID,1,9,9,2,0.02608695652173913,True
Q250,Safety / Contraindication,ID,1,9,9,6,0.02608695652173913,True
Q252,Guideline / Evidence Lookup,MIXED,1,9,9,9,0.02608695652173913,True
Q267,Safety / Contraindication,MIXED,1,9,9,2,0.02608695652173913,True
Q284,Safety / Contraindication,EN,1,9,9,1,0.02608695652173913,True
Q290,Monitoring / Response / Risk Assessment,MIXED,1,9,9,9,0.02608695652173913,True
Q313,Guideline / Evidence Lookup,MIXED,1,9,9,1,0.02608695652173913,True
Q345,Monitoring / Response / Risk Assessment,EN,1,9,9,2,0.02608695652173913,True
Q359,Dosing / Administration,ID,1,9,9,4,0.02608695652173913,True
Q362,Guideline / Evidence Lookup,ID,1,9,9,1,0.02608695652173913,True
Q376,Mechanism / Background Knowledge,EN,1,9,9,1,0.02608695652173913,True
Q383,Guideline / Evidence Lookup,MIXED,1,9,9,1,0.02608695652173913,True
Q384,Safety / Contraindication,EN,1,9,9,8,0.02608695652173913,True
Q390,Guideline / Evidence Lookup,ID,1,9,9,9,0.02608695652173913,True
Q398,Guideline / Evidence Lookup,MIXED,1,9,9,8,0.02608695652173913,True
Q402,Prophylaxis / Maintenance,MIXED,1,9,9,3,0.02608695652173913,True
Q432,Interaction / Combination,EN,1,9,9,2,0.02608695652173913,True
Q447,Comparative Treatment Choice,ID,1,9,9,1,0.02608695652173913,True
Q474,Mechanism / Background Knowledge,MIXED,1,9,9,2,0.02608695652173913,True
Q485,Treatment Change / Escalation,EN,1,9,9,1,0.02608695652173913,True
Q022,Treatment Change / Escalation,ID,1,10,10,6,0.028985507246376812,True
Q025,Guideline / Evidence Lookup,EN,1,10,10,1,0.028985507246376812,True
Q026,Safety / Contraindication,MIXED,1,10,10,2,0.028985507246376812,True
Q044,Management / Treatment Selection,EN,1,10,10,2,0.028985507246376812,True
Q049,Mechanism / Background Knowledge,MIXED,1,10,10,1,0.028985507246376812,True
Q055,Safety / Contraindication,MIXED,1,10,10,1,0.028985507246376812,True
Q069,Dosing / Administration,MIXED,1,10,10,8,0.028985507246376812,True
Q075,Guideline / Evidence Lookup,EN,1,10,10,8,0.028985507246376812,True
Q105,Guideline / Evidence Lookup,ID,1,10,10,2,0.028985507246376812,True
Q124,Treatment Change / Escalation,MIXED,1,10,10,1,0.028985507246376812,True
Q153,Guideline / Evidence Lookup,EN,1,10,10,1,0.028985507246376812,True
Q218,Management / Treatment Selection,ID,1,10,10,7,0.028985507246376812,True
Q219,Management / Treatment Selection,MIXED,1,10,10,1,0.028985507246376812,True
Q221,Monitoring / Response / Risk Assessment,EN,1,10,10,2,0.028985507246376812,True
Q225,Management / Treatment Selection,MIXED,1,10,10,1,0.028985507246376812,True
Q228,Safety / Contraindication,EN,1,10,10,8,0.028985507246376812,True
Q232,Safety / Contraindication,MIXED,1,10,10,2,0.028985507246376812,True
Q265,Dosing / Administration,EN,1,10,10,1,0.028985507246376812,True
Q277,Dosing / Administration,EN,1,10,10,2,0.028985507246376812,True
Q306,Interaction / Combination,EN,1,10,10,2,0.028985507246376812,True
Q327,Interaction / Combination,MIXED,1,10,10,9,0.028985507246376812,True
Q355,Prophylaxis / Maintenance,ID,1,10,10,2,0.028985507246376812,True
Q364,Treatment Change / Escalation,EN,1,10,10,1,0.028985507246376812,True
Q365,Safety / Contraindication,EN,1,10,10,1,0.028985507246376812,True
Q369,Comparative Treatment Choice,ID,1,10,10,9,0.028985507246376812,True
Q405,Management / Treatment Selection,ID,1,10,10,1,0.028985507246376812,True
Q424,Monitoring / Response / Risk Assessment,EN,1,10,10,1,0.028985507246376812,True
Q436,Comparative Treatment Choice,MIXED,1,10,10,2,0.028985507246376812,True
Q437,Management / Treatment Selection,EN,1,10,10,1,0.028985507246376812,True
Q453,Dosing / Administration,MIXED,1,10,10,2,0.028985507246376812,True
Q456,Guideline / Evidence Lookup,MIXED,1,10,10,2,0.028985507246376812,True
Q480,Dosing / Administration,EN,1,10,10,8,0.028985507246376812,True
Q498,Monitoring / Response / Risk Assessment,MIXED,1,10,10,2,0.028985507246376812,True
Q008,Safety / Contraindication,EN,1,11,11,8,0.03188405797101449,True
Q046,Management / Treatment Selection,ID,1,11,11,7,0.03188405797101449,True
Q073,Safety / Contraindication,EN,1,11,11,6,0.03188405797101449,True
Q106,Dosing / Administration,EN,1,11,11,1,0.03188405797101449,True
Q129,Safety / Contraindication,ID,1,11,11,1,0.03188405797101449,True
Q158,Management / Treatment Selection,EN,1,11,11,1,0.03188405797101449,True
Q169,Mechanism / Background Knowledge,EN,1,11,11,2,0.03188405797101449,True
Q170,Comparative Treatment Choice,EN,1,11,11,2,0.03188405797101449,True
Q178,Treatment Change / Escalation,MIXED,1,11,11,8,0.03188405797101449,True
Q216,Guideline / Evidence Lookup,EN,1,11,11,7,0.03188405797101449,True
Q241,Dosing / Administration,ID,1,11,11,1,0.03188405797101449,True
Q251,Monitoring / Response / Risk Assessment,EN,1,11,11,1,0.03188405797101449,True
Q266,Monitoring / Response / Risk Assessment,ID,1,11,11,2,0.03188405797101449,True
Q271,Treatment Change / Escalation,MIXED,1,11,11,2,0.03188405797101449,True
Q272,Mechanism / Background Knowledge,EN,1,11,11,2,0.03188405797101449,True
Q273,Guideline / Evidence Lookup,MIXED,1,11,11,1,0.03188405797101449,True
Q279,Prophylaxis / Maintenance,MIXED,1,11,11,6,0.03188405797101449,True
Q282,Safety / Contraindication,ID,1,11,11,1,0.03188405797101449,True
Q307,Safety / Contraindication,EN,1,11,11,2,0.03188405797101449,True
Q385,Prophylaxis / Maintenance,ID,1,11,11,1,0.03188405797101449,True
Q388,Mechanism / Background Knowledge,EN,1,11,11,4,0.03188405797101449,True
Q411,Dosing / Administration,MIXED,1,11,11,2,0.03188405797101449,True
Q430,Dosing / Administration,MIXED,1,11,11,1,0.03188405797101449,True
Q431,Safety / Contraindication,ID,1,11,11,1,0.03188405797101449,True
Q441,Dosing / Administration,EN,1,11,11,1,0.03188405797101449,True
Q451,Prophylaxis / Maintenance,EN,1,11,11,2,0.03188405797101449,True
Q461,Safety / Contraindication,EN,1,11,11,4,0.03188405797101449,True
Q492,Dosing / Administration,EN,1,11,11,1,0.03188405797101449,True
Q499,Safety / Contraindication,ID,1,11,11,1,0.03188405797101449,True
Q001,Safety / Contraindication,EN,1,12,12,2,0.034782608695652174,True
Q006,Interaction / Combination,MIXED,1,12,12,2,0.034782608695652174,True
Q020,Guideline / Evidence Lookup,EN,1,12,12,1,0.034782608695652174,True
Q063,Dosing / Administration,ID,1,12,12,1,0.034782608695652174,True
Q079,Mechanism / Background Knowledge,EN,1,12,12,2,0.034782608695652174,True
Q104,Dosing / Administration,EN,1,12,12,1,0.034782608695652174,True
Q130,Dosing / Administration,EN,1,12,12,7,0.034782608695652174,True
Q140,Mechanism / Background Knowledge,EN,1,12,12,9,0.034782608695652174,True
Q152,Safety / Contraindication,ID,1,12,12,7,0.034782608695652174,True
Q157,Safety / Contraindication,EN,1,12,12,9,0.034782608695652174,True
Q210,Treatment Change / Escalation,MIXED,1,12,12,6,0.034782608695652174,True
Q244,Comparative Treatment Choice,ID,1,12,12,2,0.034782608695652174,True
Q246,Treatment Change / Escalation,EN,1,12,12,6,0.034782608695652174,True
Q254,Mechanism / Background Knowledge,EN,1,12,12,3,0.034782608695652174,True
Q260,Prophylaxis / Maintenance,ID,1,12,12,2,0.034782608695652174,True
Q294,Dosing / Administration,MIXED,1,12,12,1,0.034782608695652174,True
Q316,Comparative Treatment Choice,MIXED,1,12,12,8,0.034782608695652174,True
Q366,Efficacy / Outcomes,EN,1,12,12,1,0.034782608695652174,True
Q379,Safety / Contraindication,MIXED,1,12,12,1,0.034782608695652174,True
Q382,Management / Treatment Selection,EN,1,12,12,2,0.034782608695652174,True
Q399,Mechanism / Background Knowledge,MIXED,1,12,12,4,0.034782608695652174,True
Q401,Management / Treatment Selection,EN,1,12,12,2,0.034782608695652174,True
Q404,Dosing / Administration,EN,1,12,12,7,0.034782608695652174,True
Q406,Management / Treatment Selection,EN,1,12,12,2,0.034782608695652174,True
Q416,Monitoring / Response / Risk Assessment,EN,1,12,12,9,0.034782608695652174,True
Q417,Comparative Treatment Choice,ID,1,12,12,1,0.034782608695652174,True
