content_id,content_type,content_source_type,content_language,content_publication_year,impressions,unique_queries,rank1_impressions,engaged,engagement_rate,rank1_share
C049,article,research_paper,EN,2022,31,31,6,13,0.41935483870967744,0.1935483870967742
C190,case_report,case_report,EN,2024,31,30,3,12,0.3870967741935484,0.0967741935483871
C255,clinical_summary,hospital_protocol,EN,2025,31,29,3,12,0.3870967741935484,0.0967741935483871
C068,clinical_summary,hospital_protocol,ID,2020,31,29,2,9,0.2903225806451613,0.06451612903225806
C089,article,journal,ID,2024,31,30,2,9,0.2903225806451613,0.06451612903225806
C137,article,journal,MIXED,2024,31,31,1,9,0.2903225806451613,0.03225806451612903
C093,clinical_summary,clinical_practice,EN,2021,31,31,3,7,0.22580645161290322,0.0967741935483871
C217,drug_profile,drug_database,EN,2024,31,29,4,7,0.22580645161290322,0.12903225806451613
C310,clinical_summary,hospital_protocol,MIXED,2020,30,30,1,16,0.5333333333333333,0.03333333333333333
C019,guideline,professional_society,EN,2021,30,29,3,14,0.4666666666666667,0.1
C330,article,journal,EN,2023,30,30,6,14,0.4666666666666667,0.2
C342,drug_profile,drug_database,ID,2024,30,29,1,12,0.4,0.03333333333333333
C106,case_report,case_report,EN,2021,30,29,2,10,0.3333333333333333,0.06666666666666667
C290,article,journal,EN,2022,30,29,5,8,0.26666666666666666,0.16666666666666666
C318,clinical_summary,clinical_practice,EN,2025,30,28,5,8,0.26666666666666666,0.16666666666666666
C303,clinical_summary,hospital_protocol,EN,2023,30,30,3,7,0.23333333333333334,0.1
C058,case_report,case_report,EN,2024,30,27,3,6,0.2,0.1
C163,drug_profile,pharmacology_reference,EN,2025,30,30,4,4,0.13333333333333333,0.13333333333333333
C005,article,journal,EN,2022,29,27,4,12,0.41379310344827586,0.13793103448275862
C007,article,research_paper,EN,2020,29,29,7,12,0.41379310344827586,0.2413793103448276
C059,article,journal,EN,2022,29,29,6,12,0.41379310344827586,0.20689655172413793
C299,article,journal,EN,2022,29,28,2,12,0.41379310344827586,0.06896551724137931
C051,guideline,who,EN,2022,29,29,1,11,0.3793103448275862,0.034482758620689655
C031,guideline,ministry_of_health,EN,2021,29,26,3,10,0.3448275862068966,0.10344827586206896
C084,clinical_summary,hospital_protocol,MIXED,2023,29,27,5,9,0.3103448275862069,0.1724137931034483
C225,article,research_paper,MIXED,2021,28,28,4,12,0.42857142857142855,0.14285714285714285
C009,case_report,case_report,EN,2021,28,28,8,11,0.39285714285714285,0.2857142857142857
C199,guideline,who,ID,2020,28,25,1,11,0.39285714285714285,0.03571428571428571
C242,case_report,case_report,MIXED,2020,28,28,5,11,0.39285714285714285,0.17857142857142858
C029,drug_profile,drug_database,ID,2020,28,27,5,10,0.35714285714285715,0.17857142857142858
C176,drug_profile,pharmacology_reference,EN,2021,28,27,3,9,0.32142857142857145,0.10714285714285714
C237,drug_profile,drug_database,ID,2021,28,27,4,9,0.32142857142857145,0.14285714285714285
C335,guideline,who,EN,2025,28,24,4,9,0.32142857142857145,0.14285714285714285
C117,article,journal,EN,2025,28,27,2,8,0.2857142857142857,0.07142857142857142
C219,guideline,who,ID,2022,28,28,7,8,0.2857142857142857,0.25
C022,clinical_summary,clinical_practice,MIXED,2024,28,28,2,7,0.25,0.07142857142857142
C278,drug_profile,drug_database,EN,2022,28,27,2,7,0.25,0.07142857142857142
C079,article,journal,EN,2025,27,26,3,16,0.5925925925925926,0.1111111111111111
C088,article,research_paper,ID,2024,27,26,3,13,0.48148148148148145,0.1111111111111111
C103,article,research_paper,ID,2020,27,27,3,12,0.4444444444444444,0.1111111111111111
C135,article,journal,ID,2020,27,27,3,12,0.4444444444444444,0.1111111111111111
C327,article,research_paper,EN,2021,27,26,0,11,0.4074074074074074,0.0
C317,article,journal,ID,2020,27,26,6,10,0.37037037037037035,0.2222222222222222
C092,article,research_paper,ID,2025,27,27,1,9,0.3333333333333333,0.037037037037037035
C214,article,journal,EN,2024,27,26,2,9,0.3333333333333333,0.07407407407407407
C162,article,research_paper,MIXED,2024,27,26,3,7,0.25925925925925924,0.1111111111111111
C185,clinical_summary,hospital_protocol,ID,2024,27,25,2,0,0.0,0.07407407407407407
C010,clinical_summary,hospital_protocol,ID,2025,26,25,6,11,0.4230769230769231,0.23076923076923078
C027,guideline,ministry_of_health,MIXED,2023,26,26,5,11,0.4230769230769231,0.19230769230769232
C050,clinical_summary,hospital_protocol,ID,2025,26,26,2,10,0.38461538461538464,0.07692307692307693
C268,drug_profile,drug_database,EN,2022,26,25,2,10,0.38461538461538464,0.07692307692307693
C169,clinical_summary,hospital_protocol,EN,2020,26,26,1,8,0.3076923076923077,0.038461538461538464
C080,article,research_paper,EN,2025,26,26,3,7,0.2692307692307692,0.11538461538461539
C138,article,journal,EN,2024,26,26,1,6,0.23076923076923078,0.038461538461538464
C160,guideline,who,ID,2022,25,24,2,11,0.44,0.08
C072,guideline,professional_society,EN,2020,25,23,3,10,0.4,0.12
C151,clinical_summary,hospital_protocol,EN,2022,25,24,4,10,0.4,0.16
C184,article,research_paper,EN,2021,25,25,5,10,0.4,0.2
C266,drug_profile,pharmacology_reference,ID,2024,25,25,4,9,0.36,0.16
C081,article,journal,EN,2020,25,25,3,8,0.32,0.12
C166,clinical_summary,hospital_protocol,ID,2024,25,25,3,7,0.28,0.12
C012,case_report,case_report,EN,2025,25,25,3,6,0.24,0.12
C300,case_report,case_report,EN,2020,25,24,5,6,0.24,0.2
C325,case_report,case_report,EN,2021,25,24,5,5,0.2,0.2
C057,clinical_summary,hospital_protocol,EN,2024,25,25,2,4,0.16,0.08
C304,clinical_summary,hospital_protocol,ID,2024,25,22,2,4,0.16,0.08
C038,clinical_summary,clinical_practice,EN,2024,25,25,2,0,0.0,0.08
C139,review,meta_analysis,MIXED,2020,25,25,7,0,0.0,0.28
C198,clinical_summary,clinical_practice,ID,2022,25,24,3,0,0.0,0.12
C054,article,journal,ID,2024,24,24,2,10,0.4166666666666667,0.08333333333333333
C094,drug_profile,drug_database,EN,2021,24,24,2,10,0.4166666666666667,0.08333333333333333
C042,clinical_summary,hospital_protocol,EN,2022,24,22,2,9,0.375,0.08333333333333333
C142,guideline,who,MIXED,2023,24,23,4,9,0.375,0.16666666666666666
C215,review,meta_analysis,EN,2025,24,24,1,8,0.3333333333333333,0.041666666666666664
C256,article,journal,EN,2025,24,24,0,7,0.2916666666666667,0.0
C285,article,research_paper,ID,2025,24,24,1,7,0.2916666666666667,0.041666666666666664
C073,clinical_summary,hospital_protocol,MIXED,2021,24,24,4,6,0.25,0.16666666666666666
C259,guideline,ministry_of_health,ID,2020,24,23,4,6,0.25,0.16666666666666666
C032,guideline,professional_society,EN,2024,24,24,8,5,0.20833333333333334,0.3333333333333333
C133,clinical_summary,hospital_protocol,ID,2024,24,23,5,5,0.20833333333333334,0.20833333333333334
C048,guideline,professional_society,ID,2022,24,24,3,0,0.0,0.125
C213,article,research_paper,ID,2024,24,24,3,0,0.0,0.125
C345,clinical_summary,clinical_practice,ID,2021,24,24,4,0,0.0,0.16666666666666666
C127,article,research_paper,MIXED,2023,23,22,5,13,0.5652173913043478,0.21739130434782608
C129,clinical_summary,hospital_protocol,ID,2022,23,23,0,11,0.4782608695652174,0.0
C235,drug_profile,pharmacology_reference,EN,2021,23,22,1,9,0.391304347826087,0.043478260869565216
C258,drug_profile,drug_database,EN,2023,23,23,3,9,0.391304347826087,0.13043478260869565
C287,case_report,case_report,EN,2024,23,22,3,9,0.391304347826087,0.13043478260869565
C315,article,journal,ID,2025,23,23,1,9,0.391304347826087,0.043478260869565216
C096,clinical_summary,hospital_protocol,EN,2022,23,22,2,8,0.34782608695652173,0.08695652173913043
C046,article,journal,MIXED,2023,23,21,1,7,0.30434782608695654,0.043478260869565216
C326,article,research_paper,EN,2022,23,23,3,7,0.30434782608695654,0.13043478260869565
C344,article,journal,EN,2021,23,22,3,7,0.30434782608695654,0.13043478260869565
C104,drug_profile,pharmacology_reference,EN,2020,23,23,2,6,0.2608695652173913,0.08695652173913043
C174,article,journal,EN,2020,23,23,1,6,0.2608695652173913,0.043478260869565216
C265,drug_profile,drug_database,EN,2023,23,22,3,6,0.2608695652173913,0.13043478260869565
C196,review,meta_analysis,EN,2024,23,22,4,5,0.21739130434782608,0.17391304347826086
C289,case_report,case_report,EN,2025,23,23,4,5,0.21739130434782608,0.17391304347826086
C283,clinical_summary,clinical_practice,EN,2023,23,22,3,4,0.17391304347826086,0.13043478260869565
C312,case_report,case_report,EN,2023,23,23,4,3,0.13043478260869565,0.17391304347826086
C055,clinical_summary,clinical_practice,ID,2025,23,22,8,0,0.0,0.34782608695652173
C091,drug_profile,drug_database,ID,2021,23,23,1,0,0.0,0.043478260869565216
C193,review,systematic_review,EN,2021,23,22,2,0,0.0,0.08695652173913043
C286,review,meta_analysis,EN,2025,23,23,1,0,0.0,0.043478260869565216
C034,article,research_paper,MIXED,2021,22,22,5,10,0.45454545454545453,0.22727272727272727
C288,article,research_paper,MIXED,2025,22,22,1,9,0.4090909090909091,0.045454545454545456
C124,guideline,ministry_of_health,ID,2024,22,22,3,8,0.36363636363636365,0.13636363636363635
C158,clinical_summary,hospital_protocol,EN,2020,22,21,5,8,0.36363636363636365,0.22727272727272727
C188,article,research_paper,EN,2024,22,22,4,8,0.36363636363636365,0.18181818181818182
C241,guideline,professional_society,EN,2024,22,21,1,8,0.36363636363636365,0.045454545454545456
C030,article,research_paper,EN,2025,22,21,4,7,0.3181818181818182,0.18181818181818182
C140,drug_profile,pharmacology_reference,EN,2024,22,22,3,7,0.3181818181818182,0.13636363636363635
C018,case_report,case_report,ID,2024,22,22,1,6,0.2727272727272727,0.045454545454545456
C132,clinical_summary,hospital_protocol,MIXED,2021,22,21,1,4,0.18181818181818182,0.045454545454545456
C313,case_report,case_report,EN,2024,22,21,3,2,0.09090909090909091,0.13636363636363635
C023,article,research_paper,ID,2023,22,20,4,0,0.0,0.18181818181818182
C076,drug_profile,pharmacology_reference,MIXED,2024,22,22,2,0,0.0,0.09090909090909091
C141,article,research_paper,EN,2024,22,22,1,0,0.0,0.045454545454545456
C178,case_report,case_report,EN,2023,22,22,1,0,0.0,0.045454545454545456
C209,article,research_paper,EN,2020,22,22,4,0,0.0,0.18181818181818182
C316,article,research_paper,EN,2020,22,22,3,0,0.0,0.13636363636363635
C167,article,journal,EN,2023,21,21,3,12,0.5714285714285714,0.14285714285714285
C232,guideline,who,EN,2022,21,21,2,10,0.47619047619047616,0.09523809523809523
C280,article,journal,EN,2025,21,20,3,9,0.42857142857142855,0.14285714285714285
C182,drug_profile,drug_database,MIXED,2022,21,21,3,8,0.38095238095238093,0.14285714285714285
C251,case_report,case_report,EN,2024,21,21,6,8,0.38095238095238093,0.2857142857142857
C257,clinical_summary,clinical_practice,EN,2021,21,20,3,8,0.38095238095238093,0.14285714285714285
C033,drug_profile,drug_database,MIXED,2020,21,21,1,7,0.3333333333333333,0.047619047619047616
C025,article,research_paper,MIXED,2022,21,21,0,6,0.2857142857142857,0.0
C220,article,research_paper,ID,2025,21,20,3,6,0.2857142857142857,0.14285714285714285
C334,clinical_summary,clinical_practice,ID,2021,21,20,5,6,0.2857142857142857,0.23809523809523808
C118,clinical_summary,clinical_practice,EN,2021,21,20,3,4,0.19047619047619047,0.14285714285714285
C201,case_report,case_report,ID,2021,21,21,0,4,0.19047619047619047,0.0
C293,clinical_summary,hospital_protocol,MIXED,2021,21,19,2,4,0.19047619047619047,0.09523809523809523
C082,case_report,case_report,EN,2022,21,21,3,0,0.0,0.14285714285714285
C122,case_report,case_report,MIXED,2023,21,21,1,0,0.0,0.047619047619047616
C128,clinical_summary,clinical_practice,EN,2025,21,21,2,0,0.0,0.09523809523809523
C148,clinical_summary,clinical_practice,MIXED,2022,21,21,1,0,0.0,0.047619047619047616
C155,article,research_paper,MIXED,2021,21,21,2,0,0.0,0.09523809523809523
C200,article,journal,EN,2021,21,20,3,0,0.0,0.14285714285714285
C047,clinical_summary,hospital_protocol,EN,2025,20,20,1,8,0.4,0.05
C175,clinical_summary,clinical_practice,MIXED,2020,20,20,0,7,0.35,0.0
C250,article,research_paper,ID,2022,20,19,2,7,0.35,0.1
C331,article,journal,ID,2022,20,20,1,7,0.35,0.05
C231,clinical_summary,clinical_practice,EN,2021,20,20,3,6,0.3,0.15
C020,guideline,who,EN,2021,20,20,3,0,0.0,0.15
C066,clinical_summary,hospital_protocol,ID,2023,20,19,3,0,0.0,0.15
C114,article,research_paper,ID,2022,20,20,1,0,0.0,0.05
C134,review,systematic_review,EN,2025,20,20,6,0,0.0,0.3
C223,case_report,case_report,ID,2021,20,20,3,0,0.0,0.15
C227,guideline,who,EN,2021,20,20,1,0,0.0,0.05
C307,case_report,case_report,EN,2021,20,20,1,0,0.0,0.05
C311,article,research_paper,ID,2025,20,19,0,0,0.0,0.0
C083,case_report,case_report,ID,2020,19,19,0,8,0.42105263157894735,0.0
C247,clinical_summary,hospital_protocol,ID,2024,19,19,1,8,0.42105263157894735,0.05263157894736842
C011,guideline,professional_society,EN,2024,19,19,2,7,0.3684210526315789,0.10526315789473684
C145,drug_profile,drug_database,EN,2021,19,18,1,6,0.3157894736842105,0.05263157894736842
C043,drug_profile,drug_database,ID,2020,19,19,2,5,0.2631578947368421,0.10526315789473684
C202,clinical_summary,clinical_practice,EN,2020,19,19,1,4,0.21052631578947367,0.05263157894736842
C332,article,journal,EN,2022,19,19,1,4,0.21052631578947367,0.05263157894736842
C282,article,research_paper,MIXED,2020,19,19,3,3,0.15789473684210525,0.15789473684210525
C035,clinical_summary,hospital_protocol,EN,2022,19,18,2,0,0.0,0.10526315789473684
C053,article,journal,MIXED,2025,19,19,1,0,0.0,0.05263157894736842
C099,clinical_summary,clinical_practice,ID,2020,19,17,1,0,0.0,0.05263157894736842
C110,guideline,who,EN,2025,19,19,1,0,0.0,0.05263157894736842
C123,drug_profile,drug_database,ID,2022,19,19,1,0,0.0,0.05263157894736842
C125,article,journal,MIXED,2024,19,19,4,0,0.0,0.21052631578947367
C131,article,research_paper,MIXED,2024,19,19,4,0,0.0,0.21052631578947367
C159,article,research_paper,EN,2020,19,19,1,0,0.0,0.05263157894736842
C222,case_report,case_report,EN,2024,19,19,1,0,0.0,0.05263157894736842
C224,article,research_paper,EN,2025,19,17,0,0,0.0,0.0
C233,guideline,professional_society,EN,2023,19,19,0,0,0.0,0.0
C260,article,journal,EN,2024,19,19,1,0,0.0,0.05263157894736842
C270,article,journal,MIXED,2024,19,19,2,0,0.0,0.10526315789473684
C292,drug_profile,pharmacology_reference,EN,2024,19,19,2,0,0.0,0.10526315789473684
C298,guideline,who,EN,2020,19,19,1,0,0.0,0.05263157894736842
C336,case_report,case_report,EN,2020,19,19,3,0,0.0,0.15789473684210525
C028,clinical_summary,clinical_practice,MIXED,2024,18,18,1,8,0.4444444444444444,0.05555555555555555
C065,article,journal,ID,2025,18,18,2,6,0.3333333333333333,0.1111111111111111
C097,case_report,case_report,ID,2020,18,17,4,6,0.3333333333333333,0.2222222222222222
C004,case_report,case_report,EN,2021,18,18,2,4,0.2222222222222222,0.1111111111111111
C015,guideline,professional_society,ID,2021,18,17,1,4,0.2222222222222222,0.05555555555555555
C112,drug_profile,pharmacology_reference,EN,2025,18,17,0,3,0.16666666666666666,0.0
C021,clinical_summary,clinical_practice,MIXED,2022,18,18,1,0,0.0,0.05555555555555555
C061,article,journal,ID,2024,18,18,3,0,0.0,0.16666666666666666
C087,clinical_summary,clinical_practice,EN,2021,18,18,3,0,0.0,0.16666666666666666
C090,clinical_summary,hospital_protocol,EN,2025,18,18,2,0,0.0,0.1111111111111111
C126,drug_profile,pharmacology_reference,MIXED,2020,18,16,1,0,0.0,0.05555555555555555
C170,article,research_paper,EN,2023,18,18,2,0,0.0,0.1111111111111111
C229,clinical_summary,hospital_protocol,EN,2024,18,18,1,0,0.0,0.05555555555555555
C244,drug_profile,drug_database,MIXED,2022,18,18,0,0,0.0,0.0
C245,clinical_summary,clinical_practice,EN,2022,18,16,3,0,0.0,0.16666666666666666
C248,article,journal,EN,2020,18,17,1,0,0.0,0.05555555555555555
C262,article,research_paper,EN,2022,18,18,1,0,0.0,0.05555555555555555
C267,clinical_summary,hospital_protocol,EN,2025,18,18,2,0,0.0,0.1111111111111111
C269,clinical_summary,hospital_protocol,EN,2020,18,18,1,0,0.0,0.05555555555555555
C271,clinical_summary,clinical_practice,ID,2024,18,18,2,0,0.0,0.1111111111111111
C273,drug_profile,pharmacology_reference,ID,2025,18,18,3,0,0.0,0.16666666666666666
C275,article,journal,MIXED,2020,18,16,5,0,0.0,0.2777777777777778
C291,article,journal,ID,2021,18,17,3,0,0.0,0.16666666666666666
C296,review,meta_analysis,EN,2022,18,18,3,0,0.0,0.16666666666666666
C297,clinical_summary,clinical_practice,ID,2023,18,18,2,0,0.0,0.1111111111111111
C309,article,research_paper,ID,2023,18,18,3,0,0.0,0.16666666666666666
C236,clinical_summary,clinical_practice,EN,2025,17,17,2,10,0.5882352941176471,0.11764705882352941
C078,clinical_summary,clinical_practice,EN,2022,17,17,4,7,0.4117647058823529,0.23529411764705882
C338,case_report,case_report,ID,2022,17,16,2,7,0.4117647058823529,0.11764705882352941
C192,guideline,ministry_of_health,EN,2022,17,17,0,6,0.35294117647058826,0.0
C253,article,research_paper,ID,2025,17,16,2,5,0.29411764705882354,0.11764705882352941
C263,review,systematic_review,ID,2020,17,17,1,4,0.23529411764705882,0.058823529411764705
C343,clinical_summary,hospital_protocol,EN,2024,17,17,2,4,0.23529411764705882,0.11764705882352941
C173,article,research_paper,EN,2020,17,17,0,3,0.17647058823529413,0.0
C001,clinical_summary,hospital_protocol,ID,2021,17,17,4,0,0.0,0.23529411764705882
C002,guideline,ministry_of_health,MIXED,2023,17,17,1,0,0.0,0.058823529411764705
C003,case_report,case_report,EN,2021,17,16,2,0,0.0,0.11764705882352941
C016,clinical_summary,clinical_practice,MIXED,2024,17,17,2,0,0.0,0.11764705882352941
C036,clinical_summary,hospital_protocol,ID,2020,17,17,2,0,0.0,0.11764705882352941
C063,review,systematic_review,MIXED,2020,17,15,1,0,0.0,0.058823529411764705
C064,case_report,case_report,MIXED,2022,17,17,0,0,0.0,0.0
C102,article,journal,EN,2022,17,17,1,0,0.0,0.058823529411764705
C105,review,systematic_review,EN,2022,17,17,2,0,0.0,0.11764705882352941
C113,article,research_paper,EN,2021,17,17,1,0,0.0,0.058823529411764705
C153,guideline,professional_society,ID,2021,17,17,3,0,0.0,0.17647058823529413
C157,article,journal,ID,2024,17,17,2,0,0.0,0.11764705882352941
C161,guideline,professional_society,EN,2025,17,17,1,0,0.0,0.058823529411764705
C172,clinical_summary,hospital_protocol,EN,2025,17,16,5,0,0.0,0.29411764705882354
C177,case_report,case_report,EN,2021,17,17,2,0,0.0,0.11764705882352941
C187,guideline,who,EN,2022,17,17,4,0,0.0,0.23529411764705882
C234,article,research_paper,EN,2024,17,17,2,0,0.0,0.11764705882352941
C302,case_report,case_report,ID,2023,17,17,0,0,0.0,0.0
C305,drug_profile,pharmacology_reference,ID,2020,17,17,1,0,0.0,0.058823529411764705
C308,guideline,professional_society,MIXED,2025,17,17,2,0,0.0,0.11764705882352941
C319,article,research_paper,MIXED,2020,17,17,2,0,0.0,0.11764705882352941
C323,clinical_summary,hospital_protocol,EN,2025,17,17,4,0,0.0,0.23529411764705882
C328,clinical_summary,hospital_protocol,EN,2024,17,17,3,0,0.0,0.17647058823529413
C013,guideline,who,EN,2023,16,16,1,0,0.0,0.0625
C107,case_report,case_report,EN,2021,16,16,1,0,0.0,0.0625
C108,case_report,case_report,EN,2020,16,16,2,0,0.0,0.125
C115,case_report,case_report,MIXED,2024,16,15,3,0,0.0,0.1875
C116,clinical_summary,clinical_practice,EN,2022,16,16,2,0,0.0,0.125
C130,article,journal,ID,2024,16,15,3,0,0.0,0.1875
C136,clinical_summary,clinical_practice,ID,2021,16,16,0,0,0.0,0.0
C164,clinical_summary,clinical_practice,EN,2021,16,16,1,0,0.0,0.0625
C181,case_report,case_report,EN,2023,16,16,2,0,0.0,0.125
C191,article,research_paper,EN,2025,16,16,1,0,0.0,0.0625
C243,case_report,case_report,ID,2021,16,16,1,0,0.0,0.0625
C276,article,research_paper,ID,2024,16,16,0,0,0.0,0.0
C279,case_report,case_report,EN,2023,16,16,2,0,0.0,0.125
C281,article,journal,EN,2025,16,16,5,0,0.0,0.3125
C321,case_report,case_report,ID,2020,16,16,3,0,0.0,0.1875
C337,article,journal,EN,2022,16,15,0,0,0.0,0.0
C339,clinical_summary,clinical_practice,EN,2022,16,16,3,0,0.0,0.1875
C340,clinical_summary,clinical_practice,EN,2020,16,16,1,0,0.0,0.0625
C322,article,research_paper,EN,2025,15,15,4,5,0.3333333333333333,0.26666666666666666
C008,article,research_paper,EN,2025,15,15,1,4,0.26666666666666666,0.06666666666666667
C006,drug_profile,pharmacology_reference,EN,2023,15,15,1,0,0.0,0.06666666666666667
C017,clinical_summary,hospital_protocol,EN,2023,15,15,2,0,0.0,0.13333333333333333
C039,clinical_summary,clinical_practice,EN,2023,15,14,1,0,0.0,0.06666666666666667
C040,clinical_summary,clinical_practice,EN,2025,15,15,0,0,0.0,0.0
C101,drug_profile,drug_database,EN,2025,15,15,2,0,0.0,0.13333333333333333
C152,article,journal,ID,2024,15,15,1,0,0.0,0.06666666666666667
C156,clinical_summary,hospital_protocol,MIXED,2024,15,15,3,0,0.0,0.2
C168,case_report,case_report,EN,2020,15,15,1,0,0.0,0.06666666666666667
C171,article,research_paper,ID,2022,15,15,0,0,0.0,0.0
C186,guideline,who,ID,2022,15,15,1,0,0.0,0.06666666666666667
C221,review,meta_analysis,ID,2023,15,15,2,0,0.0,0.13333333333333333
C254,guideline,who,MIXED,2022,15,14,3,0,0.0,0.2
C045,article,journal,ID,2021,14,14,1,9,0.6428571428571429,0.07142857142857142
C246,review,meta_analysis,EN,2024,14,14,2,5,0.35714285714285715,0.14285714285714285
C252,case_report,case_report,EN,2020,14,13,4,5,0.35714285714285715,0.2857142857142857
C067,guideline,who,MIXED,2024,14,14,4,0,0.0,0.2857142857142857
C070,clinical_summary,clinical_practice,EN,2020,14,14,2,0,0.0,0.14285714285714285
C077,article,research_paper,ID,2021,14,14,0,0,0.0,0.0
C144,guideline,who,EN,2025,14,13,2,0,0.0,0.14285714285714285
C150,clinical_summary,hospital_protocol,MIXED,2022,14,13,1,0,0.0,0.07142857142857142
C154,clinical_summary,hospital_protocol,ID,2025,14,14,1,0,0.0,0.07142857142857142
C179,case_report,case_report,EN,2023,14,14,3,0,0.0,0.21428571428571427
C183,review,meta_analysis,MIXED,2022,14,14,0,0,0.0,0.0
C197,guideline,who,ID,2023,14,14,1,0,0.0,0.07142857142857142
C207,article,research_paper,EN,2025,14,13,3,0,0.0,0.21428571428571427
C239,guideline,who,EN,2024,14,14,1,0,0.0,0.07142857142857142
C261,clinical_summary,hospital_protocol,ID,2020,14,14,1,0,0.0,0.07142857142857142
C333,guideline,professional_society,EN,2023,14,14,1,0,0.0,0.07142857142857142
C240,clinical_summary,hospital_protocol,EN,2025,13,12,4,4,0.3076923076923077,0.3076923076923077
C024,case_report,case_report,ID,2021,13,13,1,0,0.0,0.07692307692307693
C056,article,research_paper,EN,2023,13,13,2,0,0.0,0.15384615384615385
C060,case_report,case_report,EN,2023,13,13,2,0,0.0,0.15384615384615385
C074,article,journal,MIXED,2023,13,13,1,0,0.0,0.07692307692307693
C119,guideline,professional_society,EN,2025,13,13,2,0,0.0,0.15384615384615385
C121,guideline,professional_society,EN,2025,13,13,0,0,0.0,0.0
C147,guideline,ministry_of_health,EN,2020,13,13,0,0,0.0,0.0
C208,case_report,case_report,ID,2024,13,12,2,0,0.0,0.15384615384615385
C264,clinical_summary,clinical_practice,EN,2022,13,13,1,0,0.0,0.07692307692307693
C272,guideline,ministry_of_health,EN,2023,13,13,4,0,0.0,0.3076923076923077
C329,drug_profile,drug_database,EN,2023,13,13,1,0,0.0,0.07692307692307693
C204,article,journal,ID,2020,12,12,3,7,0.5833333333333334,0.25
C041,case_report,case_report,ID,2022,12,12,1,0,0.0,0.08333333333333333
C044,article,journal,EN,2024,12,11,0,0,0.0,0.0
C071,guideline,professional_society,MIXED,2022,12,12,1,0,0.0,0.08333333333333333
C085,guideline,ministry_of_health,ID,2023,12,12,3,0,0.0,0.25
C098,article,research_paper,ID,2020,12,11,0,0,0.0,0.0
C146,clinical_summary,clinical_practice,MIXED,2024,12,11,0,0,0.0,0.0
C205,review,systematic_review,MIXED,2023,12,12,0,0,0.0,0.0
C238,case_report,case_report,EN,2022,12,12,3,0,0.0,0.25
C284,drug_profile,pharmacology_reference,ID,2023,12,12,2,0,0.0,0.16666666666666666
C294,article,journal,ID,2023,12,11,2,0,0.0,0.16666666666666666
C306,article,journal,EN,2023,12,12,2,0,0.0,0.16666666666666666
C014,clinical_summary,hospital_protocol,EN,2021,11,11,1,1,0.09090909090909091,0.09090909090909091
C026,article,research_paper,ID,2021,11,11,0,0,0.0,0.0
C120,article,research_paper,EN,2024,11,11,2,0,0.0,0.18181818181818182
C165,drug_profile,pharmacology_reference,ID,2024,11,11,3,0,0.0,0.2727272727272727
C195,article,research_paper,EN,2020,11,11,0,0,0.0,0.0
C320,article,research_paper,EN,2024,11,11,1,0,0.0,0.09090909090909091
C062,guideline,who,ID,2022,10,10,1,0,0.0,0.1
C086,article,journal,EN,2025,10,10,3,0,0.0,0.3
C206,clinical_summary,clinical_practice,ID,2020,10,10,1,0,0.0,0.1
C210,article,research_paper,EN,2022,10,10,1,0,0.0,0.1
C218,article,research_paper,ID,2021,10,10,2,0,0.0,0.2
