query_id,query_text,language,intent_text,cluster_id,liang_final_intent,liang_top_probability,liang_second_intent,liang_second_probability,liang_probability_margin,attention_semantic,attention_sentence_tfidf,attention_class_centroid_tfidf,anchor_rule_intent,matched_candidate_intents,n_anchor_matches,used_as_weak_anchor,prototype_top_intent,prototype_top_score,prototype_second_intent,prototype_second_score,ambiguity_margin,margin_is_calibrated_confidence,similarity_management_treatment,similarity_diagnosis_differential_diagnosis,similarity_work_up_test_selection,similarity_test_clinical_data_interpretation,similarity_pharmacotherapy,similarity_evidence_guideline_lookup,similarity_procedures_techniques,similarity_epidemiology_prognosis,similarity_patient_communication_education,similarity_other_ambiguous,review_status,interpretation
Q133,Omeprazole contraindication in Peptic Ulcer Disease with hypertension,EN,medicine contraindication in disease with hypertension,1,Dosing / Administration,0.40195975,Safety / Contraindication,0.39956948,0.0023902655,0.06935967,0.3404967,0.5901436,Safety / Contraindication,Safety / Contraindication,1,True,Evidence / Guideline Lookup,0.40671644,Epidemiology / Prognosis,0.33017316,0.07654327,False,0.326589,0.235629,0.115651,0.223868,0.330079,0.406716,0.307082,0.330173,0.295584,0.030778,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q227,Spironolactone contraindication in Heart Failure with hypertension,EN,medicine contraindication in disease with hypertension,1,Dosing / Administration,0.40195975,Safety / Contraindication,0.39956948,0.0023902655,0.06935967,0.3404967,0.5901436,Safety / Contraindication,Safety / Contraindication,1,True,Evidence / Guideline Lookup,0.40671644,Epidemiology / Prognosis,0.33017316,0.07654327,False,0.326589,0.235629,0.115651,0.223868,0.330079,0.406716,0.307082,0.330173,0.295584,0.030778,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q236,biomarkers Chronic Myeloid Leukaemia treatment response Imatinib,EN,biomarkers disease treatment response medicine,0,Safety / Contraindication,0.41025126,Dosing / Administration,0.38823476,0.022016495,0.08477539,0.33485648,0.5803681,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,1,True,Evidence / Guideline Lookup,0.42787552,Epidemiology / Prognosis,0.4103276,0.017547905,False,0.400153,0.384197,0.243361,0.368582,0.386112,0.427876,0.314677,0.410328,0.357468,0.015107,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q250,efek samping Vitamin K antagonists pada Atrial Fibrillation,ID,efek samping drugclass pada disease,0,Monitoring / Response / Risk Assessment,0.58801824,Mechanism / Background Knowledge,0.12828833,0.4597299,0.054819994,0.24465396,0.7005261,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.5257207,Epidemiology / Prognosis,0.3841007,0.14162001,False,0.275169,0.329945,0.156137,0.279362,0.525721,0.321147,0.155681,0.384101,0.297013,0.044336,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q284,Proton pump inhibitors adverse effects monitoring in Peptic Ulcer Disease,EN,drugclass adverse effects monitoring in disease,6,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,True,Pharmacotherapy,0.6137334,Diagnosis / Differential Diagnosis,0.46670735,0.14702606,False,0.335202,0.466707,0.287495,0.368173,0.613733,0.375557,0.22477,0.414124,0.334353,0.130501,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q323,efek samping Inhaled corticosteroids pada Asthma,ID,efek samping drugclass pada disease,0,Monitoring / Response / Risk Assessment,0.58801824,Mechanism / Background Knowledge,0.12828833,0.4597299,0.054819994,0.24465396,0.7005261,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.5257207,Epidemiology / Prognosis,0.3841007,0.14162001,False,0.275169,0.329945,0.156137,0.279362,0.525721,0.321147,0.155681,0.384101,0.297013,0.044336,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q336,Lithium contraindication in Bipolar Disorder with anaemia,EN,medicine contraindication in disease with anaemia,12,Dosing / Administration,0.40504202,Safety / Contraindication,0.40285012,0.0021919012,0.07290639,0.33919907,0.58789456,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.31550953,Evidence / Guideline Lookup,0.31430072,0.001208812,False,0.304468,0.289717,0.208535,0.296103,0.31551,0.314301,0.264803,0.309448,0.23835,0.034868,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q350,Valproate resistance in Epilepsy alternative therapy,EN,medicine resistance in disease alternative therapy,0,Interaction / Combination,0.40348408,Treatment Change / Escalation,0.21723941,0.18624467,0.06778472,0.18726723,0.744948,Treatment Change / Escalation,Treatment Change / Escalation,1,True,Pharmacotherapy,0.40112028,Evidence / Guideline Lookup,0.3830844,0.018035889,False,0.352638,0.221449,0.176431,0.249411,0.40112,0.383084,0.351894,0.318592,0.297085,0.05811,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q394,Topical calcineurin inhibitors adverse effects monitoring in Psoriasis,EN,drugclass adverse effects monitoring in disease,6,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,True,Pharmacotherapy,0.6137334,Diagnosis / Differential Diagnosis,0.46670735,0.14702606,False,0.335202,0.466707,0.287495,0.368173,0.613733,0.375557,0.22477,0.414124,0.334353,0.130501,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q434,Rosuvastatin contraindication in Acute Coronary Syndrome with anaemia,EN,medicine contraindication in disease with anaemia,12,Dosing / Administration,0.40504202,Safety / Contraindication,0.40285012,0.0021919012,0.07290639,0.33919907,0.58789456,Safety / Contraindication,Safety / Contraindication,1,True,Pharmacotherapy,0.31550953,Evidence / Guideline Lookup,0.31430072,0.001208812,False,0.304468,0.289717,0.208535,0.296103,0.31551,0.314301,0.264803,0.309448,0.23835,0.034868,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q480,Venlafaxine dosing in Major Depressive Disorder with atrial fibrillation,EN,medicine dosing in disease with atrial fibrillation,13,Safety / Contraindication,0.44479293,Dosing / Administration,0.38383994,0.06095299,0.18266825,0.29904008,0.51829165,Dosing / Administration,Dosing / Administration,1,True,Evidence / Guideline Lookup,0.25833976,Epidemiology / Prognosis,0.23939143,0.018948331,False,0.151338,0.149283,0.106265,0.210581,0.234044,0.25834,0.195287,0.239391,0.16011,-0.079708,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q485,Lansoprazole resistance in Peptic Ulcer Disease alternative therapy,EN,medicine resistance in disease alternative therapy,0,Interaction / Combination,0.40348408,Treatment Change / Escalation,0.21723941,0.18624467,0.06778472,0.18726723,0.744948,Treatment Change / Escalation,Treatment Change / Escalation,1,True,Pharmacotherapy,0.40112028,Evidence / Guideline Lookup,0.3830844,0.018035889,False,0.352638,0.221449,0.176431,0.249411,0.40112,0.383084,0.351894,0.318592,0.297085,0.05811,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
Q495,TNF inhibitors adverse effects monitoring in Systemic Lupus Erythematosus,EN,drugclass adverse effects monitoring in disease,6,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,Safety / Contraindication; Monitoring / Response / Risk Assessment,2,True,Pharmacotherapy,0.6137334,Diagnosis / Differential Diagnosis,0.46670735,0.14702606,False,0.335202,0.466707,0.287495,0.368173,0.613733,0.375557,0.22477,0.414124,0.334353,0.130501,requires Phase 3 adjudication,Liang-style model and weak anchor disagree; neither is a gold label
