query_id,liang_final_intent,liang_top_probability,liang_second_intent,liang_second_probability,liang_probability_margin,attention_semantic,attention_sentence_tfidf,attention_class_centroid_tfidf,weak_anchor_label,used_as_weak_anchor,probability_management___treatment_selection,probability_dosing___administration,probability_safety___contraindication,probability_interaction___combination,probability_comparative_treatment_choice,probability_monitoring___response___risk_assessment,probability_efficacy___outcomes,probability_guideline___evidence_lookup,probability_treatment_change___escalation,probability_prophylaxis___maintenance,probability_mechanism___background_knowledge
Q011,Dosing / Administration,0.93447703,Safety / Contraindication,0.026299171,0.90817785,0.12735051,0.38163197,0.49101758,Dosing / Administration,True,0.0008006031,0.93447703,0.026299171,0.0026559276,0.003138339,0.00023807125,0.001242675,0.00025766695,0.005222585,0.025038477,0.0006294292
Q012,Dosing / Administration,0.92477244,Safety / Contraindication,0.034303326,0.89046913,0.09765041,0.3836799,0.51866966,Dosing / Administration,True,0.00052305625,0.92477244,0.034303326,0.0033727584,0.0031130316,0.00027727074,0.0007957046,0.00021741739,0.008122877,0.02414709,0.00035511696
Q013,Safety / Contraindication,0.8616851,Dosing / Administration,0.034556855,0.82712823,0.05406603,0.2873255,0.6586085,Safety / Contraindication,True,0.006563477,0.034556855,0.8616851,0.021825211,0.016154157,0.007248508,0.013372398,0.0084392205,0.008381891,0.018982213,0.002790905
Q014,Dosing / Administration,0.46515778,Safety / Contraindication,0.36602956,0.09912822,0.13818632,0.31531486,0.54649884,Dosing / Administration,True,0.002984406,0.46515778,0.36602956,0.023220306,0.02027045,0.00352106,0.0082141915,0.0028694402,0.051322546,0.05498807,0.0014221744
Q015,Prophylaxis / Maintenance,0.98185766,Dosing / Administration,0.0056586284,0.97619903,0.10218652,0.6636613,0.23415214,Prophylaxis / Maintenance,True,0.00026789977,0.0056586284,0.0038981976,0.00013537068,0.0007915965,0.0014179507,0.00039673716,0.0003729436,0.00089366414,0.98185766,0.0043093925
Q016,Safety / Contraindication,0.88405836,Dosing / Administration,0.041609846,0.84244853,0.09786671,0.26063073,0.64150256,Safety / Contraindication,True,0.005092098,0.041609846,0.88405836,0.017500758,0.005848484,0.0029168404,0.021762542,0.0037000377,0.0027002732,0.0122628715,0.002547817
Q017,Mechanism / Background Knowledge,0.96171975,Prophylaxis / Maintenance,0.009412251,0.9523075,0.15438461,0.42697334,0.418642,Mechanism / Background Knowledge,True,0.003361197,0.0034955468,0.0037484686,0.0015181827,0.00101667,0.0052321088,0.0014139896,0.0025214988,0.0065603037,0.009412251,0.96171975
Q018,Interaction / Combination,0.9658287,Safety / Contraindication,0.0093598245,0.9564689,0.059179965,0.17512545,0.76569456,Interaction / Combination,True,0.0073426496,0.0067133796,0.0093598245,0.9658287,0.0008911213,0.0013587686,0.0004055369,0.0035923512,0.0017799377,0.0014922882,0.0012353742
Q019,Dosing / Administration,0.93447703,Safety / Contraindication,0.026299171,0.90817785,0.12735051,0.38163197,0.49101758,Dosing / Administration,True,0.0008006031,0.93447703,0.026299171,0.0026559276,0.003138339,0.00023807125,0.001242675,0.00025766695,0.005222585,0.025038477,0.0006294292
Q020,Guideline / Evidence Lookup,0.92699105,Management / Treatment Selection,0.03833121,0.88865983,0.21537267,0.2558986,0.5287287,Guideline / Evidence Lookup,True,0.03833121,0.0016593204,0.0030930375,0.0030428362,0.0015731389,0.012696883,0.0032239337,0.92699105,0.005289026,0.0034117822,0.0006877833
Q021,Dosing / Administration,0.91047275,Safety / Contraindication,0.041970864,0.8685019,0.11794164,0.30305544,0.5790029,Dosing / Administration,True,0.0007902704,0.91047275,0.041970864,0.004909365,0.0052201394,0.00039273326,0.0006085273,0.00031913552,0.011753359,0.023253744,0.0003091108
Q022,Treatment Change / Escalation,0.93789786,Dosing / Administration,0.030666366,0.9072315,0.051295042,0.22648612,0.7222189,Treatment Change / Escalation,True,0.0019218964,0.030666366,0.014545687,0.0023232459,0.0024792012,0.0025215242,0.00026023464,0.003023732,0.93789786,0.003906262,0.00045399406
Q023,Guideline / Evidence Lookup,0.9326238,Management / Treatment Selection,0.033688597,0.8989352,0.09947687,0.3768578,0.52366537,Guideline / Evidence Lookup,True,0.033688597,0.0019277667,0.0034863264,0.005157698,0.0019262672,0.009662211,0.0014769499,0.9326238,0.0064983875,0.0029824795,0.00056946
Q024,Dosing / Administration,0.93447703,Safety / Contraindication,0.026299171,0.90817785,0.12735051,0.38163197,0.49101758,Dosing / Administration,True,0.0008006031,0.93447703,0.026299171,0.0026559276,0.003138339,0.00023807125,0.001242675,0.00025766695,0.005222585,0.025038477,0.0006294292
Q025,Guideline / Evidence Lookup,0.8995319,Management / Treatment Selection,0.046889957,0.85264194,0.34313723,0.27667108,0.38019165,Guideline / Evidence Lookup,True,0.046889957,0.002213211,0.0040615587,0.0031670511,0.002007302,0.023734571,0.004376806,0.8995319,0.007774679,0.0049545546,0.0012884068
Q026,Safety / Contraindication,0.8575469,Dosing / Administration,0.02935046,0.82819647,0.17402212,0.25088906,0.5750888,Safety / Contraindication,True,0.006746737,0.02935046,0.8575469,0.017511114,0.016335798,0.010276254,0.019693956,0.00937719,0.008982293,0.021111812,0.00306757
Q027,Monitoring / Response / Risk Assessment,0.95744383,Safety / Contraindication,0.025715064,0.9317288,0.116592534,0.13519408,0.7482134,Safety / Contraindication,True,0.0007859507,0.00028169889,0.025715064,0.0011112427,0.002656752,0.95744383,0.0008431819,0.0049423245,0.001838235,0.0021310644,0.002250623
Q028,Monitoring / Response / Risk Assessment,0.890431,Safety / Contraindication,0.05327918,0.8371518,0.15212123,0.14367965,0.70419914,Safety / Contraindication,True,0.0068379124,0.00059416913,0.05327918,0.0024491253,0.0041898075,0.890431,0.0017557619,0.019456545,0.0018665736,0.0032776715,0.015862267
Q029,Efficacy / Outcomes,0.985386,Safety / Contraindication,0.007339046,0.97804695,0.25569043,0.34933466,0.39497498,Efficacy / Outcomes,True,0.00062200014,0.0010590008,0.007339046,0.0004650272,0.00034547818,0.0006852665,0.985386,0.0015773235,0.00031874055,0.0015134864,0.0006884901
Q030,Safety / Contraindication,0.8954512,Dosing / Administration,0.02418861,0.87126255,0.10168158,0.25574848,0.64256996,Safety / Contraindication,True,0.0061267517,0.02418861,0.8954512,0.018420387,0.005945842,0.004536995,0.022625646,0.005683256,0.0026619767,0.01096728,0.003392098
Q031,Safety / Contraindication,0.41915825,Dosing / Administration,0.3823942,0.036764055,0.075281054,0.3383302,0.5863887,Safety / Contraindication,True,0.0031189218,0.3823942,0.41915825,0.032759763,0.022015397,0.0047938107,0.009152789,0.0030827266,0.0646372,0.05715932,0.0017276556
Q032,Interaction / Combination,0.9658287,Safety / Contraindication,0.0093598245,0.9564689,0.059179965,0.17512545,0.76569456,Interaction / Combination,True,0.0073426496,0.0067133796,0.0093598245,0.9658287,0.0008911213,0.0013587686,0.0004055369,0.0035923512,0.0017799377,0.0014922882,0.0012353742
Q033,Safety / Contraindication,0.43469965,Dosing / Administration,0.26065686,0.17404279,0.108635366,0.22080563,0.6705589,Safety / Contraindication,True,0.008165965,0.26065686,0.43469965,0.23636624,0.012261621,0.0026449577,0.0078889225,0.0041008946,0.007974246,0.0232884,0.0019522384
Q034,Management / Treatment Selection,0.9139531,Guideline / Evidence Lookup,0.07021824,0.84373486,0.036884844,0.17585123,0.78726393,Management / Treatment Selection,True,0.9139531,0.0006008318,0.0025975087,0.0024557821,0.0013327209,0.0030144895,0.00078517833,0.07021824,0.0008576804,0.0012937404,0.0028907296
Q035,Management / Treatment Selection,0.984469,Guideline / Evidence Lookup,0.008368756,0.97610027,0.0488273,0.14333789,0.8078348,Management / Treatment Selection,True,0.984469,0.00045869395,0.00084554404,0.001505146,0.00046605823,0.0009946771,0.00046399934,0.008368756,0.00047666932,0.0008606629,0.0010907843
Q036,Dosing / Administration,0.46515778,Safety / Contraindication,0.36602956,0.09912822,0.13818632,0.31531486,0.54649884,Dosing / Administration,True,0.002984406,0.46515778,0.36602956,0.023220306,0.02027045,0.00352106,0.0082141915,0.0028694402,0.051322546,0.05498807,0.0014221744
Q037,Safety / Contraindication,0.73063,Efficacy / Outcomes,0.05275428,0.6778757,0.21928418,0.19392462,0.5867912,Safety / Contraindication,True,0.042467862,0.015543464,0.73063,0.036064792,0.015563455,0.022194685,0.05275428,0.03814801,0.005654433,0.01356263,0.02741628
Q038,Guideline / Evidence Lookup,0.8998325,Management / Treatment Selection,0.046918485,0.852914,0.06880169,0.46415398,0.4670443,Guideline / Evidence Lookup,True,0.046918485,0.0026425899,0.0058692,0.0062688678,0.0026363775,0.019536069,0.0025363287,0.8998325,0.0065889643,0.005398925,0.0017717036
Q039,Management / Treatment Selection,0.984469,Guideline / Evidence Lookup,0.008368756,0.97610027,0.0488273,0.14333789,0.8078348,Management / Treatment Selection,True,0.984469,0.00045869395,0.00084554404,0.001505146,0.00046605823,0.0009946771,0.00046399934,0.008368756,0.00047666932,0.0008606629,0.0010907843
Q040,Treatment Change / Escalation,0.93789786,Dosing / Administration,0.030666366,0.9072315,0.051295042,0.22648612,0.7222189,Treatment Change / Escalation,True,0.0019218964,0.030666366,0.014545687,0.0023232459,0.0024792012,0.0025215242,0.00026023464,0.003023732,0.93789786,0.003906262,0.00045399406
Q041,Mechanism / Background Knowledge,0.9610921,Prophylaxis / Maintenance,0.008824999,0.9522671,0.14974128,0.42445752,0.42580116,Mechanism / Background Knowledge,True,0.0034623244,0.0033220772,0.0039274776,0.0016313721,0.0010819362,0.006173529,0.0014241693,0.002710104,0.0063499655,0.008824999,0.9610921
Q042,Treatment Change / Escalation,0.9863862,Dosing / Administration,0.006705008,0.9796812,0.03939372,0.30122343,0.6593829,Treatment Change / Escalation,True,0.0005512554,0.006705008,0.002524249,0.00066998013,0.00034643078,0.00059008424,5.5899392e-05,0.0009023163,0.9863862,0.0010458053,0.00022271417
Q043,Safety / Contraindication,0.65628165,Efficacy / Outcomes,0.05371031,0.60257137,0.16496353,0.2933747,0.5416618,Safety / Contraindication,True,0.03137751,0.048519187,0.65628165,0.036885094,0.028877988,0.016388938,0.05371031,0.030487264,0.010222228,0.048823223,0.03842653
Q044,Management / Treatment Selection,0.98180884,Guideline / Evidence Lookup,0.0129710045,0.96883786,0.07745891,0.06796144,0.85457957,Management / Treatment Selection,True,0.98180884,0.0002494175,0.0009074252,0.0017276431,0.00030353194,0.00057336764,0.00026146133,0.0129710045,0.0002553771,0.00037652298,0.00056538323
Q045,Treatment Change / Escalation,0.9863862,Dosing / Administration,0.006705008,0.9796812,0.03939372,0.30122343,0.6593829,Treatment Change / Escalation,True,0.0005512554,0.006705008,0.002524249,0.00066998013,0.00034643078,0.00059008424,5.5899392e-05,0.0009023163,0.9863862,0.0010458053,0.00022271417
Q046,Management / Treatment Selection,0.9812088,Guideline / Evidence Lookup,0.009835744,0.9713731,0.025013724,0.12852103,0.8464653,Management / Treatment Selection,True,0.9812088,0.0006308346,0.0012609626,0.0020752833,0.00051879784,0.0015108364,0.00023764519,0.009835744,0.0006251403,0.0012888364,0.00080716953
Q047,Efficacy / Outcomes,0.9887477,Safety / Contraindication,0.0054166606,0.9833311,0.32741308,0.2560794,0.4165075,Efficacy / Outcomes,True,0.0004406123,0.0009160599,0.0054166606,0.00031277363,0.00017508688,0.000457426,0.9887477,0.0012014321,0.00025081233,0.0015783312,0.00050305855
Q048,Efficacy / Outcomes,0.9887477,Safety / Contraindication,0.0054166606,0.9833311,0.32741308,0.2560794,0.4165075,Efficacy / Outcomes,True,0.0004406123,0.0009160599,0.0054166606,0.00031277363,0.00017508688,0.000457426,0.9887477,0.0012014321,0.00025081233,0.0015783312,0.00050305855
Q049,Mechanism / Background Knowledge,0.96171975,Prophylaxis / Maintenance,0.009412251,0.9523075,0.15438461,0.42697334,0.418642,Mechanism / Background Knowledge,True,0.003361197,0.0034955468,0.0037484686,0.0015181827,0.00101667,0.0052321088,0.0014139896,0.0025214988,0.0065603037,0.009412251,0.96171975
Q050,Dosing / Administration,0.9290329,Safety / Contraindication,0.028950522,0.9000824,0.23898493,0.3060625,0.45495266,Dosing / Administration,True,0.0017207923,0.9290329,0.028950522,0.0039640944,0.004264655,0.0003087001,0.002007983,0.00048359288,0.0061528217,0.022316057,0.0007978815
Q051,Treatment Change / Escalation,0.99019414,Dosing / Administration,0.0041230964,0.98607105,0.063120574,0.26901764,0.6678618,Treatment Change / Escalation,True,0.00062880805,0.0041230964,0.0015642243,0.00033722428,0.0002891673,0.00042371365,7.109106e-05,0.0011110898,0.99019414,0.0010504981,0.0002068942
Q052,Guideline / Evidence Lookup,0.7298272,Management / Treatment Selection,0.24125436,0.48857287,0.13691023,0.1882803,0.67480946,Guideline / Evidence Lookup,True,0.24125436,0.0010232405,0.0040316246,0.0040122066,0.0023789092,0.009159516,0.0015533479,0.7298272,0.0023313756,0.0023016743,0.0021265105
Q053,Mechanism / Background Knowledge,0.9610921,Prophylaxis / Maintenance,0.008824999,0.9522671,0.14974128,0.42445752,0.42580116,Mechanism / Background Knowledge,True,0.0034623244,0.0033220772,0.0039274776,0.0016313721,0.0010819362,0.006173529,0.0014241693,0.002710104,0.0063499655,0.008824999,0.9610921
Q054,Safety / Contraindication,0.88405836,Dosing / Administration,0.041609846,0.84244853,0.09786671,0.26063073,0.64150256,Safety / Contraindication,True,0.005092098,0.041609846,0.88405836,0.017500758,0.005848484,0.0029168404,0.021762542,0.0037000377,0.0027002732,0.0122628715,0.002547817
Q055,Safety / Contraindication,0.41915825,Dosing / Administration,0.3823942,0.036764055,0.075281054,0.3383302,0.5863887,Safety / Contraindication,True,0.0031189218,0.3823942,0.41915825,0.032759763,0.022015397,0.0047938107,0.009152789,0.0030827266,0.0646372,0.05715932,0.0017276556
Q056,Dosing / Administration,0.9398804,Prophylaxis / Maintenance,0.02592304,0.91395736,0.18925025,0.35632086,0.45442888,Dosing / Administration,True,0.0011036793,0.9398804,0.018906377,0.002655495,0.0034362427,0.00028292774,0.0011172052,0.0003816462,0.0056452653,0.02592304,0.00066782115
Q057,Comparative Treatment Choice,0.9871715,Safety / Contraindication,0.0046370034,0.98253447,0.021237668,0.8594299,0.119332485,Comparative Treatment Choice,True,0.0006632035,0.0024613484,0.0046370034,0.00046102202,0.9871715,0.00064344006,0.00023193938,0.00030956455,0.0008884729,0.0023991433,0.00013340388
Q058,Mechanism / Background Knowledge,0.9630916,Prophylaxis / Maintenance,0.009283573,0.953808,0.16779414,0.41705677,0.4151491,Mechanism / Background Knowledge,True,0.0033464015,0.0031130675,0.003581385,0.0014153247,0.0009389338,0.0054953704,0.0012939762,0.0026520707,0.0057883062,0.009283573,0.9630916
Q059,Treatment Change / Escalation,0.99218833,Dosing / Administration,0.0035329384,0.9886554,0.049029365,0.3188914,0.63207924,Treatment Change / Escalation,True,0.00037003463,0.0035329384,0.0013499956,0.00018100263,0.00024305518,0.00041107825,4.3860993e-05,0.0007197344,0.99218833,0.0007478613,0.00021198983
Q060,Management / Treatment Selection,0.9850181,Guideline / Evidence Lookup,0.011684702,0.97333336,0.03942622,0.09368171,0.8668921,Management / Treatment Selection,True,0.9850181,0.0001834958,0.00033074006,0.0011936594,0.00021662781,0.0003648834,0.00017645913,0.011684702,0.00021237729,0.0003052155,0.00031369313
Q061,Guideline / Evidence Lookup,0.7298272,Management / Treatment Selection,0.24125436,0.48857287,0.13691023,0.1882803,0.67480946,Guideline / Evidence Lookup,True,0.24125436,0.0010232405,0.0040316246,0.0040122066,0.0023789092,0.009159516,0.0015533479,0.7298272,0.0023313756,0.0023016743,0.0021265105
Q062,Guideline / Evidence Lookup,0.9292537,Management / Treatment Selection,0.039107595,0.8901461,0.15030879,0.26743743,0.5822538,Guideline / Evidence Lookup,True,0.039107595,0.001570275,0.0030206968,0.0035865626,0.0017287816,0.010383553,0.0026917749,0.9292537,0.0049484246,0.0030384222,0.0006702495
Q063,Dosing / Administration,0.9359979,Prophylaxis / Maintenance,0.026671981,0.9093259,0.099171415,0.40157285,0.4992557,Dosing / Administration,True,0.00067632255,0.9359979,0.023463823,0.0025786082,0.0030644035,0.00025468788,0.0009340544,0.00024960394,0.005522859,0.026671981,0.0005856395
Q064,Monitoring / Response / Risk Assessment,0.9854785,Safety / Contraindication,0.006436455,0.97904205,0.06933048,0.14198625,0.7886833,Monitoring / Response / Risk Assessment,True,0.00040784042,7.76619e-05,0.006436455,0.00038513963,0.0009845658,0.9854785,0.0002085844,0.0031146058,0.000685258,0.00088724867,0.0013339646
Q065,Efficacy / Outcomes,0.985386,Safety / Contraindication,0.007339046,0.97804695,0.25569043,0.34933466,0.39497498,Efficacy / Outcomes,True,0.00062200014,0.0010590008,0.007339046,0.0004650272,0.00034547818,0.0006852665,0.985386,0.0015773235,0.00031874055,0.0015134864,0.0006884901
Q066,Monitoring / Response / Risk Assessment,0.9854785,Safety / Contraindication,0.006436455,0.97904205,0.06933048,0.14198625,0.7886833,Monitoring / Response / Risk Assessment,True,0.00040784042,7.76619e-05,0.006436455,0.00038513963,0.0009845658,0.9854785,0.0002085844,0.0031146058,0.000685258,0.00088724867,0.0013339646
Q067,Guideline / Evidence Lookup,0.94005793,Management / Treatment Selection,0.028276995,0.91178095,0.15640968,0.30461428,0.538976,Guideline / Evidence Lookup,True,0.028276995,0.0020387277,0.0033353174,0.004003721,0.0016539891,0.009187229,0.0010953395,0.94005793,0.006091839,0.0038448789,0.00041400708
Q068,Interaction / Combination,0.40348408,Treatment Change / Escalation,0.21723941,0.18624467,0.06778472,0.18726723,0.744948,Treatment Change / Escalation,True,0.015831979,0.17889424,0.14233454,0.40348408,0.00658848,0.004918532,0.0022792676,0.00972685,0.21723941,0.016995147,0.001707502
Q069,Dosing / Administration,0.91047275,Safety / Contraindication,0.041970864,0.8685019,0.11794164,0.30305544,0.5790029,Dosing / Administration,True,0.0007902704,0.91047275,0.041970864,0.004909365,0.0052201394,0.00039273326,0.0006085273,0.00031913552,0.011753359,0.023253744,0.0003091108
Q070,Efficacy / Outcomes,0.9887477,Safety / Contraindication,0.0054166606,0.9833311,0.32741308,0.2560794,0.4165075,Efficacy / Outcomes,True,0.0004406123,0.0009160599,0.0054166606,0.00031277363,0.00017508688,0.000457426,0.9887477,0.0012014321,0.00025081233,0.0015783312,0.00050305855
Q071,Comparative Treatment Choice,0.98690945,Safety / Contraindication,0.004778459,0.982131,0.021289317,0.85115695,0.12755372,Comparative Treatment Choice,True,0.00065552985,0.0025432212,0.004778459,0.00046613917,0.98690945,0.000643919,0.00023063968,0.00030668004,0.00091201585,0.0024213537,0.00013267493
Q072,Prophylaxis / Maintenance,0.98110205,Dosing / Administration,0.0068763373,0.9742257,0.0927259,0.65266055,0.2546135,Prophylaxis / Maintenance,True,0.00047711443,0.0068763373,0.004561182,0.0002038534,0.0012674354,0.0014874511,0.0005453847,0.0005784802,0.00091132114,0.98110205,0.0019893555
Q073,Safety / Contraindication,0.899799,Efficacy / Outcomes,0.022199323,0.87759966,0.072014146,0.2641947,0.6637912,Safety / Contraindication,True,0.0061315796,0.02187402,0.899799,0.018168176,0.005511088,0.0047542993,0.022199323,0.005825767,0.0025902535,0.0100873085,0.003059201
Q074,Mechanism / Background Knowledge,0.9630916,Prophylaxis / Maintenance,0.009283573,0.953808,0.16779414,0.41705677,0.4151491,Mechanism / Background Knowledge,True,0.0033464015,0.0031130675,0.003581385,0.0014153247,0.0009389338,0.0054953704,0.0012939762,0.0026520707,0.0057883062,0.009283573,0.9630916
Q075,Guideline / Evidence Lookup,0.9088194,Management / Treatment Selection,0.041700598,0.8671188,0.2930321,0.31573683,0.3912311,Guideline / Evidence Lookup,True,0.041700598,0.0018905976,0.0038126272,0.003369961,0.0018632438,0.02223475,0.0033048084,0.9088194,0.0069526467,0.0047746846,0.0012766604
Q076,Dosing / Administration,0.93447703,Safety / Contraindication,0.026299171,0.90817785,0.12735051,0.38163197,0.49101758,Dosing / Administration,True,0.0008006031,0.93447703,0.026299171,0.0026559276,0.003138339,0.00023807125,0.001242675,0.00025766695,0.005222585,0.025038477,0.0006294292
Q077,Management / Treatment Selection,0.984469,Guideline / Evidence Lookup,0.008368756,0.97610027,0.0488273,0.14333789,0.8078348,Management / Treatment Selection,True,0.984469,0.00045869395,0.00084554404,0.001505146,0.00046605823,0.0009946771,0.00046399934,0.008368756,0.00047666932,0.0008606629,0.0010907843
Q078,Safety / Contraindication,0.6465199,Interaction / Combination,0.25957885,0.38694105,0.08284629,0.21724896,0.6999048,Safety / Contraindication,True,0.008513435,0.03398736,0.6465199,0.25957885,0.005307743,0.0061648595,0.012961158,0.008405445,0.0046764677,0.0107797915,0.003105055
Q079,Mechanism / Background Knowledge,0.9610921,Prophylaxis / Maintenance,0.008824999,0.9522671,0.14974128,0.42445752,0.42580116,Mechanism / Background Knowledge,True,0.0034623244,0.0033220772,0.0039274776,0.0016313721,0.0010819362,0.006173529,0.0014241693,0.002710104,0.0063499655,0.008824999,0.9610921
Q080,Management / Treatment Selection,0.992386,Guideline / Evidence Lookup,0.004362032,0.98802394,0.024404591,0.09008714,0.8855083,Management / Treatment Selection,True,0.992386,0.0001951212,0.00034671393,0.0011245313,0.00018862227,0.0003029963,0.00018241667,0.004362032,0.00018595599,0.00031046817,0.00041515328
Q081,Management / Treatment Selection,0.9922327,Guideline / Evidence Lookup,0.0044799307,0.98775274,0.028421257,0.08971623,0.8818625,Management / Treatment Selection,True,0.9922327,0.00019757361,0.00035066527,0.0011328555,0.00019221543,0.00030874854,0.00018424932,0.0044799307,0.00018843457,0.0003149065,0.00041775586
Q082,Treatment Change / Escalation,0.99019414,Dosing / Administration,0.0041230964,0.98607105,0.063120574,0.26901764,0.6678618,Treatment Change / Escalation,True,0.00062880805,0.0041230964,0.0015642243,0.00033722428,0.0002891673,0.00042371365,7.109106e-05,0.0011110898,0.99019414,0.0010504981,0.0002068942
Q083,Guideline / Evidence Lookup,0.9292537,Management / Treatment Selection,0.039107595,0.8901461,0.15030879,0.26743743,0.5822538,Guideline / Evidence Lookup,True,0.039107595,0.001570275,0.0030206968,0.0035865626,0.0017287816,0.010383553,0.0026917749,0.9292537,0.0049484246,0.0030384222,0.0006702495
Q084,Management / Treatment Selection,0.984469,Guideline / Evidence Lookup,0.008368756,0.97610027,0.0488273,0.14333789,0.8078348,Management / Treatment Selection,True,0.984469,0.00045869395,0.00084554404,0.001505146,0.00046605823,0.0009946771,0.00046399934,0.008368756,0.00047666932,0.0008606629,0.0010907843
Q085,Comparative Treatment Choice,0.9547989,Safety / Contraindication,0.02149563,0.93330324,0.04129908,0.8265778,0.13212314,Comparative Treatment Choice,True,0.0012964542,0.0047185915,0.02149563,0.00095794443,0.9547989,0.0025487514,0.0042997077,0.0010125812,0.0017056195,0.0064960876,0.0006698806
Q086,Treatment Change / Escalation,0.99029225,Dosing / Administration,0.0043945983,0.98589766,0.046095613,0.3221867,0.63171774,Treatment Change / Escalation,True,0.00045609317,0.0043945983,0.0016847509,0.00035322265,0.00026988643,0.00047705002,6.0274444e-05,0.00081861607,0.99029225,0.0009352023,0.00025818992
Q087,Management / Treatment Selection,0.9917514,Guideline / Evidence Lookup,0.003734738,0.9880166,0.029837033,0.09045421,0.87970877,Management / Treatment Selection,True,0.9917514,0.00040520096,0.00052399037,0.0017249559,0.0002646951,0.00027200417,0.0002272717,0.003734738,0.00022353596,0.00039372224,0.0004785071
Q088,Dosing / Administration,0.9370421,Safety / Contraindication,0.02476116,0.912281,0.11514645,0.30007026,0.58478326,Dosing / Administration,True,0.0008336398,0.9370421,0.02476116,0.004608833,0.0041895746,0.00026082367,0.0004221735,0.00028491154,0.010789378,0.016507117,0.00030031818
Q089,Safety / Contraindication,0.41025126,Dosing / Administration,0.38823476,0.022016495,0.08477539,0.33485648,0.5803681,Monitoring / Response / Risk Assessment,True,0.0029758022,0.38823476,0.41025126,0.030308373,0.021144183,0.00517788,0.009237082,0.0031443597,0.06732616,0.060526393,0.00167369
Q090,Management / Treatment Selection,0.984469,Guideline / Evidence Lookup,0.008368756,0.97610027,0.0488273,0.14333789,0.8078348,Management / Treatment Selection,True,0.984469,0.00045869395,0.00084554404,0.001505146,0.00046605823,0.0009946771,0.00046399934,0.008368756,0.00047666932,0.0008606629,0.0010907843
Q091,Dosing / Administration,0.92477244,Safety / Contraindication,0.034303326,0.89046913,0.09765041,0.3836799,0.51866966,Dosing / Administration,True,0.00052305625,0.92477244,0.034303326,0.0033727584,0.0031130316,0.00027727074,0.0007957046,0.00021741739,0.008122877,0.02414709,0.00035511696
