query_id,prototype_top_intent,prototype_top_score,prototype_second_intent,prototype_second_score,ambiguity_margin,margin_is_calibrated_confidence,similarity_management_treatment,similarity_diagnosis_differential_diagnosis,similarity_work_up_test_selection,similarity_test_clinical_data_interpretation,similarity_pharmacotherapy,similarity_evidence_guideline_lookup,similarity_procedures_techniques,similarity_epidemiology_prognosis,similarity_patient_communication_education,similarity_other_ambiguous,query_text,liang_final_intent,matched_candidate_intents,n_anchor_matches,liang_top_probability,liang_probability_margin,review_priority,margin_interpretation
Q031,Pharmacotherapy,0.49910206,Epidemiology / Prognosis,0.49503168,0.0040703714,False,0.414928,0.405403,0.18851,0.352944,0.499102,0.404142,0.329019,0.495032,0.438269,0.01451,Ibuprofen side effect pada pasien Psoriatic Arthritis apa saja,Safety / Contraindication,Safety / Contraindication,1,0.41915825,0.036764055,high,ranking aid only; not calibrated confidence
Q055,Pharmacotherapy,0.49910206,Epidemiology / Prognosis,0.49503168,0.0040703714,False,0.414928,0.405403,0.18851,0.352944,0.499102,0.404142,0.329019,0.495032,0.438269,0.01451,Methimazole side effect pada pasien Hyperthyroidism apa saja,Safety / Contraindication,Safety / Contraindication,1,0.41915825,0.036764055,high,ranking aid only; not calibrated confidence
Q232,Pharmacotherapy,0.49910206,Epidemiology / Prognosis,0.49503168,0.0040703714,False,0.414928,0.405403,0.18851,0.352944,0.499102,0.404142,0.329019,0.495032,0.438269,0.01451,Prednisolone side effect pada pasien Rheumatoid Arthritis apa saja,Safety / Contraindication,Safety / Contraindication,1,0.41915825,0.036764055,high,ranking aid only; not calibrated confidence
Q253,Pharmacotherapy,0.49910206,Epidemiology / Prognosis,0.49503168,0.0040703714,False,0.414928,0.405403,0.18851,0.352944,0.499102,0.404142,0.329019,0.495032,0.438269,0.01451,Imatinib side effect pada pasien Chronic Myeloid Leukaemia apa saja,Safety / Contraindication,Safety / Contraindication,1,0.41915825,0.036764055,high,ranking aid only; not calibrated confidence
Q267,Pharmacotherapy,0.49910206,Epidemiology / Prognosis,0.49503168,0.0040703714,False,0.414928,0.405403,0.18851,0.352944,0.499102,0.404142,0.329019,0.495032,0.438269,0.01451,Adalimumab side effect pada pasien Gout apa saja,Safety / Contraindication,Safety / Contraindication,1,0.41915825,0.036764055,high,ranking aid only; not calibrated confidence
Q330,Pharmacotherapy,0.49910206,Epidemiology / Prognosis,0.49503168,0.0040703714,False,0.414928,0.405403,0.18851,0.352944,0.499102,0.404142,0.329019,0.495032,0.438269,0.01451,Lithium side effect pada pasien Bipolar Disorder apa saja,Safety / Contraindication,Safety / Contraindication,1,0.41915825,0.036764055,high,ranking aid only; not calibrated confidence
Q348,Pharmacotherapy,0.49910206,Epidemiology / Prognosis,0.49503168,0.0040703714,False,0.414928,0.405403,0.18851,0.352944,0.499102,0.404142,0.329019,0.495032,0.438269,0.01451,Ramipril side effect pada pasien Hypertension apa saja,Safety / Contraindication,Safety / Contraindication,1,0.41915825,0.036764055,high,ranking aid only; not calibrated confidence
Q386,Pharmacotherapy,0.49910206,Epidemiology / Prognosis,0.49503168,0.0040703714,False,0.414928,0.405403,0.18851,0.352944,0.499102,0.404142,0.329019,0.495032,0.438269,0.01451,Zinc side effect pada pasien Stunting / Malnutrition apa saja,Safety / Contraindication,Safety / Contraindication,1,0.41915825,0.036764055,high,ranking aid only; not calibrated confidence
Q467,Pharmacotherapy,0.49910206,Epidemiology / Prognosis,0.49503168,0.0040703714,False,0.414928,0.405403,0.18851,0.352944,0.499102,0.404142,0.329019,0.495032,0.438269,0.01451,Artemether-lumefantrine side effect pada pasien Typhoid Fever apa saja,Safety / Contraindication,Safety / Contraindication,1,0.41915825,0.036764055,high,ranking aid only; not calibrated confidence
Q496,Pharmacotherapy,0.49910206,Epidemiology / Prognosis,0.49503168,0.0040703714,False,0.414928,0.405403,0.18851,0.352944,0.499102,0.404142,0.329019,0.495032,0.438269,0.01451,Insulin degludec side effect pada pasien Type 1 Diabetes Mellitus apa saja,Safety / Contraindication,Safety / Contraindication,1,0.41915825,0.036764055,high,ranking aid only; not calibrated confidence
Q021,Epidemiology / Prognosis,0.39480203,Pharmacotherapy,0.3898939,0.0049081445,False,0.349012,0.325368,0.193371,0.275941,0.389894,0.343839,0.283977,0.394802,0.315215,-0.001069,dosis titrasi Tenofovir disoproxil Malaria toleransi pasien,Dosing / Administration,Dosing / Administration,1,0.91047275,0.8685019,high,ranking aid only; not calibrated confidence
Q069,Epidemiology / Prognosis,0.39480203,Pharmacotherapy,0.3898939,0.0049081445,False,0.349012,0.325368,0.193371,0.275941,0.389894,0.343839,0.283977,0.394802,0.315215,-0.001069,dosis titrasi Alendronate Osteoporosis toleransi pasien,Dosing / Administration,Dosing / Administration,1,0.91047275,0.8685019,high,ranking aid only; not calibrated confidence
Q110,Epidemiology / Prognosis,0.39480203,Pharmacotherapy,0.3898939,0.0049081445,False,0.349012,0.325368,0.193371,0.275941,0.389894,0.343839,0.283977,0.394802,0.315215,-0.001069,dosis titrasi Topiramate Epilepsy toleransi pasien,Dosing / Administration,Dosing / Administration,1,0.91047275,0.8685019,high,ranking aid only; not calibrated confidence
Q139,Epidemiology / Prognosis,0.39480203,Pharmacotherapy,0.3898939,0.0049081445,False,0.349012,0.325368,0.193371,0.275941,0.389894,0.343839,0.283977,0.394802,0.315215,-0.001069,dosis titrasi Artemether-lumefantrine Typhoid Fever toleransi pasien,Dosing / Administration,Dosing / Administration,1,0.91047275,0.8685019,high,ranking aid only; not calibrated confidence
Q186,Epidemiology / Prognosis,0.39480203,Pharmacotherapy,0.3898939,0.0049081445,False,0.349012,0.325368,0.193371,0.275941,0.389894,0.343839,0.283977,0.394802,0.315215,-0.001069,dosis titrasi Rivaroxaban Deep Vein Thrombosis toleransi pasien,Dosing / Administration,Dosing / Administration,1,0.91047275,0.8685019,high,ranking aid only; not calibrated confidence
Q220,Epidemiology / Prognosis,0.39480203,Pharmacotherapy,0.3898939,0.0049081445,False,0.349012,0.325368,0.193371,0.275941,0.389894,0.343839,0.283977,0.394802,0.315215,-0.001069,dosis titrasi Nivolumab Colorectal Cancer toleransi pasien,Dosing / Administration,Dosing / Administration,1,0.91047275,0.8685019,high,ranking aid only; not calibrated confidence
Q294,Epidemiology / Prognosis,0.39480203,Pharmacotherapy,0.3898939,0.0049081445,False,0.349012,0.325368,0.193371,0.275941,0.389894,0.343839,0.283977,0.394802,0.315215,-0.001069,dosis titrasi Levothyroxine Hyperthyroidism toleransi pasien,Dosing / Administration,Dosing / Administration,1,0.91047275,0.8685019,high,ranking aid only; not calibrated confidence
Q302,Epidemiology / Prognosis,0.39480203,Pharmacotherapy,0.3898939,0.0049081445,False,0.349012,0.325368,0.193371,0.275941,0.389894,0.343839,0.283977,0.394802,0.315215,-0.001069,dosis titrasi Topiramate Migraine toleransi pasien,Dosing / Administration,Dosing / Administration,1,0.91047275,0.8685019,high,ranking aid only; not calibrated confidence
Q319,Epidemiology / Prognosis,0.39480203,Pharmacotherapy,0.3898939,0.0049081445,False,0.349012,0.325368,0.193371,0.275941,0.389894,0.343839,0.283977,0.394802,0.315215,-0.001069,dosis titrasi Adalimumab Gout toleransi pasien,Dosing / Administration,Dosing / Administration,1,0.91047275,0.8685019,high,ranking aid only; not calibrated confidence
Q342,Epidemiology / Prognosis,0.39480203,Pharmacotherapy,0.3898939,0.0049081445,False,0.349012,0.325368,0.193371,0.275941,0.389894,0.343839,0.283977,0.394802,0.315215,-0.001069,dosis titrasi Vancomycin Sepsis toleransi pasien,Dosing / Administration,Dosing / Administration,1,0.91047275,0.8685019,high,ranking aid only; not calibrated confidence
Q255,Diagnosis / Differential Diagnosis,0.4225659,Epidemiology / Prognosis,0.41732895,0.0052369535,False,0.363511,0.422566,0.277925,0.384255,0.399742,0.350616,0.261287,0.417329,0.325819,0.055936,kontraindikasi Salmeterol pada Asthma dengan immunocompromised,Safety / Contraindication,Safety / Contraindication,1,0.8615675,0.82925475,high,ranking aid only; not calibrated confidence
Q478,Diagnosis / Differential Diagnosis,0.4225659,Epidemiology / Prognosis,0.41732895,0.0052369535,False,0.363511,0.422566,0.277925,0.384255,0.399742,0.350616,0.261287,0.417329,0.325819,0.055936,kontraindikasi Bedaquiline pada Tuberculosis dengan immunocompromised,Safety / Contraindication,Safety / Contraindication,1,0.8615675,0.82925475,high,ranking aid only; not calibrated confidence
Q252,Management / Treatment,0.53104615,Evidence / Guideline Lookup,0.5255281,0.005518079,False,0.531046,0.429106,0.374715,0.418631,0.38231,0.525528,0.389322,0.502853,0.411516,0.157247,latest guideline Major Depressive Disorder management 2022,Guideline / Evidence Lookup,Guideline / Evidence Lookup,1,0.9247701,0.8836601,high,ranking aid only; not calibrated confidence
Q379,Diagnosis / Differential Diagnosis,0.36600733,Epidemiology / Prognosis,0.360366,0.005641341,False,0.312601,0.366007,0.211924,0.343709,0.351974,0.349604,0.281316,0.360366,0.331933,0.049867,kontraindikasi Prednisolone pada COPD dengan renal impairment,Safety / Contraindication,Safety / Contraindication,1,0.83051604,0.76495826,high,ranking aid only; not calibrated confidence
