impression_id,session_id,doctor_id,query_id,content_id,timestamp_served
IMP0075,SE0748,D010,Q296,C325,2025-01-01 08:52:31
IMP0076,SE0748,D010,Q296,C003,2025-01-01 08:52:31
IMP0077,SE0748,D010,Q296,C063,2025-01-01 08:52:32
IMP0078,SE0748,D010,Q296,C305,2025-01-01 08:52:35
IMP0079,SE0748,D010,Q296,C336,2025-01-01 08:52:37
IMP0080,SE0748,D010,Q296,C242,2025-01-01 08:52:39
IMP0081,SE0397,D029,Q213,C226,2025-01-01 09:48:00
IMP0082,SE0397,D029,Q213,C217,2025-01-01 09:48:07
IMP0083,SE0397,D029,Q213,C133,2025-01-01 09:48:09
IMP0084,SE0397,D029,Q213,C031,2025-01-01 09:48:09
IMP0085,SE0397,D029,Q213,C037,2025-01-01 09:48:09
IMP0086,SE0397,D029,Q213,C259,2025-01-01 09:48:14
IMP0087,SE0397,D029,Q213,C152,2025-01-01 09:48:15
IMP0088,SE0664,D058,Q004,C341,2025-01-01 10:03:21
IMP0089,SE0664,D058,Q004,C095,2025-01-01 10:03:21
IMP0090,SE0664,D058,Q004,C142,2025-01-01 10:03:21
IMP0091,SE0664,D058,Q004,C227,2025-01-01 10:03:21
IMP0092,SE0664,D058,Q004,C126,2025-01-01 10:03:21
IMP0093,SE0664,D058,Q004,C120,2025-01-01 10:03:21
IMP0094,SE0664,D058,Q004,C244,2025-01-01 10:03:22
IMP0095,SE0664,D058,Q004,C198,2025-01-01 10:03:25
IMP0096,SE0664,D058,Q004,C140,2025-01-01 10:03:26
IMP0097,SE0664,D058,Q004,C224,2025-01-01 10:03:35
IMP0098,SE0472,D087,Q012,C196,2025-01-01 10:23:38
IMP0099,SE0472,D087,Q012,C174,2025-01-01 10:23:46
IMP0100,SE0472,D087,Q012,C178,2025-01-01 10:23:47
IMP0101,SE0472,D087,Q012,C092,2025-01-01 10:23:49
IMP0102,SE0472,D087,Q012,C003,2025-01-01 10:23:50
IMP0103,SE0472,D087,Q012,C103,2025-01-01 10:23:52
IMP0104,SE0472,D087,Q012,C343,2025-01-01 10:23:55
IMP0105,SE0472,D087,Q012,C183,2025-01-01 10:23:56
IMP0106,SE0172,D091,Q202,C086,2025-01-01 13:15:53
IMP0107,SE0172,D091,Q202,C182,2025-01-01 13:15:59
IMP0108,SE0172,D091,Q202,C266,2025-01-01 13:16:02
IMP0109,SE0172,D091,Q202,C231,2025-01-01 13:16:08
IMP0110,SE0172,D091,Q202,C095,2025-01-01 13:16:11
IMP0111,SE0172,D091,Q202,C107,2025-01-01 13:16:11
IMP0112,SE0172,D091,Q202,C235,2025-01-01 13:16:14
IMP0113,SE0172,D091,Q202,C137,2025-01-01 13:16:14
IMP0114,SE0172,D091,Q202,C149,2025-01-01 13:16:17
IMP0115,SE0172,D091,Q202,C217,2025-01-01 13:16:20
IMP0116,SE0172,D091,Q202,C244,2025-01-01 13:16:23
IMP0117,SE0529,D008,Q154,C322,2025-01-01 13:18:48
IMP0118,SE0529,D008,Q154,C303,2025-01-01 13:18:50
IMP0119,SE0529,D008,Q154,C052,2025-01-01 13:18:53
IMP0120,SE0529,D008,Q154,C242,2025-01-01 13:18:56
IMP0121,SE0529,D008,Q154,C100,2025-01-01 13:18:56
IMP0122,SE0529,D008,Q154,C203,2025-01-01 13:18:59
IMP0123,SE0529,D008,Q154,C296,2025-01-01 13:19:00
IMP0124,SE0529,D008,Q154,C152,2025-01-01 13:19:01
IMP0125,SE0529,D008,Q154,C205,2025-01-01 13:19:04
IMP0126,SE0529,D008,Q154,C089,2025-01-01 13:19:06
IMP0127,SE0529,D008,Q154,C136,2025-01-01 13:19:08
IMP0128,SE0140,D109,Q472,C087,2025-01-01 14:02:53
IMP0129,SE0140,D109,Q472,C330,2025-01-01 14:02:55
IMP0130,SE0140,D109,Q472,C169,2025-01-01 14:02:56
IMP0131,SE0140,D109,Q472,C265,2025-01-01 14:02:59
IMP0132,SE0140,D109,Q472,C192,2025-01-01 14:02:59
IMP0133,SE0140,D109,Q472,C211,2025-01-01 14:03:03
IMP0134,SE0140,D109,Q472,C039,2025-01-01 14:03:05
IMP0135,SE0806,D099,Q483,C190,2025-01-01 14:11:58
IMP0136,SE0806,D099,Q483,C104,2025-01-01 14:11:58
IMP0137,SE0806,D099,Q483,C238,2025-01-01 14:11:58
IMP0138,SE0806,D099,Q483,C265,2025-01-01 14:11:58
IMP0139,SE0806,D099,Q483,C191,2025-01-01 14:11:58
IMP0140,SE0806,D099,Q483,C084,2025-01-01 14:12:00
IMP0141,SE0806,D099,Q483,C291,2025-01-01 14:12:06
IMP0142,SE0238,D079,Q453,C326,2025-01-01 14:23:22
IMP0143,SE0238,D079,Q453,C312,2025-01-01 14:23:28
IMP0144,SE0238,D079,Q453,C273,2025-01-01 14:23:34
IMP0145,SE0238,D079,Q453,C299,2025-01-01 14:23:35
IMP0146,SE0238,D079,Q453,C141,2025-01-01 14:23:35
IMP0147,SE0238,D079,Q453,C007,2025-01-01 14:23:37
IMP0148,SE0238,D079,Q453,C338,2025-01-01 14:23:40
IMP0149,SE0238,D079,Q453,C164,2025-01-01 14:23:40
IMP0150,SE0238,D079,Q453,C212,2025-01-01 14:23:41
IMP0151,SE0238,D079,Q453,C134,2025-01-01 14:23:43
IMP0152,SE0144,D010,Q180,C251,2025-01-01 14:44:44
IMP0153,SE0144,D010,Q180,C089,2025-01-01 14:44:51
IMP0154,SE0144,D010,Q180,C226,2025-01-01 14:44:53
IMP0155,SE0144,D010,Q180,C143,2025-01-01 14:44:53
IMP0156,SE0144,D010,Q180,C141,2025-01-01 14:44:56
IMP0157,SE0144,D010,Q180,C046,2025-01-01 14:44:58
IMP0158,SE0144,D010,Q180,C283,2025-01-01 14:44:59
IMP0159,SE0226,D098,Q482,C029,2025-01-01 14:50:39
IMP0160,SE0226,D098,Q482,C017,2025-01-01 14:50:43
IMP0161,SE0226,D098,Q482,C196,2025-01-01 14:50:45
IMP0162,SE0226,D098,Q482,C333,2025-01-01 14:50:49
IMP0163,SE0226,D098,Q482,C046,2025-01-01 14:50:52
IMP0164,SE0226,D098,Q482,C087,2025-01-01 14:50:53
IMP0165,SE0226,D098,Q482,C264,2025-01-01 14:50:54
IMP0166,SE0226,D098,Q482,C120,2025-01-01 14:50:57
IMP0167,SE0226,D098,Q482,C183,2025-01-01 14:50:59
IMP0168,SE0226,D098,Q482,C313,2025-01-01 14:51:00
IMP0169,SE0226,D098,Q482,C316,2025-01-01 14:51:01
IMP0170,SE0226,D098,Q482,C314,2025-01-01 14:51:03
IMP0171,SE0269,D030,Q383,C310,2025-01-01 15:05:47
IMP0172,SE0269,D030,Q383,C083,2025-01-01 15:05:53
IMP0173,SE0269,D030,Q383,C124,2025-01-01 15:05:59
IMP0174,SE0269,D030,Q383,C086,2025-01-01 15:06:01
IMP0175,SE0269,D030,Q383,C042,2025-01-01 15:06:04
IMP0176,SE0269,D030,Q383,C193,2025-01-01 15:06:07
IMP0177,SE0269,D030,Q383,C229,2025-01-01 15:06:08
IMP0178,SE0269,D030,Q383,C131,2025-01-01 15:06:10
IMP0179,SE0269,D030,Q383,C162,2025-01-01 15:06:11
IMP0180,SE0456,D012,Q440,C085,2025-01-01 17:09:01
IMP0181,SE0456,D012,Q440,C164,2025-01-01 17:09:03
IMP0182,SE0456,D012,Q440,C034,2025-01-01 17:09:03
IMP0183,SE0456,D012,Q440,C312,2025-01-01 17:09:05
IMP0184,SE0456,D012,Q440,C341,2025-01-01 17:09:09
IMP0185,SE0456,D012,Q440,C173,2025-01-01 17:09:12
IMP0186,SE0456,D012,Q440,C169,2025-01-01 17:09:14
IMP0187,SE0456,D012,Q440,C018,2025-01-01 17:09:15
IMP0188,SE0585,D072,Q121,C270,2025-01-01 17:28:53
IMP0189,SE0585,D072,Q121,C210,2025-01-01 17:29:02
IMP0190,SE0585,D072,Q121,C078,2025-01-01 17:29:04
IMP0191,SE0585,D072,Q121,C110,2025-01-01 17:29:05
IMP0192,SE0585,D072,Q121,C028,2025-01-01 17:29:06
IMP0193,SE0585,D072,Q121,C125,2025-01-01 17:29:08
IMP0194,SE0339,D038,Q240,C154,2025-01-01 19:17:20
IMP0195,SE0339,D038,Q240,C288,2025-01-01 19:17:24
IMP0196,SE0339,D038,Q240,C032,2025-01-01 19:17:26
IMP0197,SE0339,D038,Q240,C094,2025-01-01 19:17:27
IMP0198,SE0339,D038,Q240,C131,2025-01-01 19:17:27
IMP0199,SE0339,D038,Q240,C298,2025-01-01 19:17:30
IMP0200,SE0060,D097,Q359,C255,2025-01-01 19:22:21
IMP0201,SE0060,D097,Q359,C140,2025-01-01 19:22:23
IMP0202,SE0060,D097,Q359,C082,2025-01-01 19:22:27
IMP0203,SE0060,D097,Q359,C260,2025-01-01 19:22:32
IMP0204,SE0060,D097,Q359,C290,2025-01-01 19:22:33
IMP0205,SE0060,D097,Q359,C327,2025-01-01 19:22:34
IMP0206,SE0060,D097,Q359,C297,2025-01-01 19:22:37
IMP0207,SE0060,D097,Q359,C120,2025-01-01 19:22:37
IMP0208,SE0060,D097,Q359,C250,2025-01-01 19:22:39
IMP0209,SE0784,D089,Q410,C032,2025-01-01 20:09:57
IMP0210,SE0784,D089,Q410,C302,2025-01-01 20:09:57
IMP0211,SE0784,D089,Q410,C239,2025-01-01 20:09:57
IMP0212,SE0784,D089,Q410,C095,2025-01-01 20:09:57
IMP0213,SE0784,D089,Q410,C085,2025-01-01 20:09:59
IMP0214,SE0208,D015,Q020,C216,2025-01-01 20:51:50
IMP0215,SE0208,D015,Q020,C124,2025-01-01 20:51:52
IMP0216,SE0208,D015,Q020,C038,2025-01-01 20:52:04
IMP0217,SE0208,D015,Q020,C269,2025-01-01 20:52:04
IMP0218,SE0208,D015,Q020,C117,2025-01-01 20:52:05
IMP0219,SE0208,D015,Q020,C203,2025-01-01 20:52:07
IMP0220,SE0208,D015,Q020,C288,2025-01-01 20:52:08
IMP0221,SE0208,D015,Q020,C166,2025-01-01 20:52:10
IMP0222,SE0208,D015,Q020,C129,2025-01-01 20:52:10
IMP0223,SE0208,D015,Q020,C301,2025-01-01 20:52:11
IMP0224,SE0208,D015,Q020,C290,2025-01-01 20:52:13
IMP0225,SE0208,D015,Q020,C172,2025-01-01 20:52:14
IMP0226,SE0312,D093,Q083,C187,2025-01-01 21:41:34
IMP0227,SE0312,D093,Q083,C059,2025-01-01 21:41:43
IMP0228,SE0312,D093,Q083,C177,2025-01-01 21:41:49
IMP0229,SE0312,D093,Q083,C082,2025-01-01 21:41:50
IMP0230,SE0312,D093,Q083,C255,2025-01-01 21:41:51
IMP0231,SE0312,D093,Q083,C200,2025-01-01 21:41:53
IMP0232,SE0312,D093,Q083,C073,2025-01-01 21:41:54
IMP0233,SE0312,D093,Q083,C157,2025-01-01 21:41:55
IMP0234,SE0215,D033,Q494,C038,2025-01-02 01:31:32
IMP0235,SE0215,D033,Q494,C127,2025-01-02 01:31:32
IMP0236,SE0215,D033,Q494,C012,2025-01-02 01:31:32
IMP0237,SE0215,D033,Q494,C277,2025-01-02 01:31:33
IMP0238,SE0215,D033,Q494,C080,2025-01-02 01:31:34
IMP0239,SE0215,D033,Q494,C015,2025-01-02 01:31:36
IMP0240,SE0215,D033,Q494,C057,2025-01-02 01:31:38
IMP0241,SE0706,D037,Q137,C034,2025-01-02 03:25:38
IMP0242,SE0706,D037,Q137,C262,2025-01-02 03:25:38
IMP0243,SE0706,D037,Q137,C233,2025-01-02 03:25:38
IMP0244,SE0706,D037,Q137,C322,2025-01-02 03:25:38
IMP0245,SE0706,D037,Q137,C328,2025-01-02 03:25:39
IMP0246,SE0706,D037,Q137,C056,2025-01-02 03:25:44
IMP0247,SE0706,D037,Q137,C263,2025-01-02 03:25:44
IMP0248,SE0706,D037,Q137,C084,2025-01-02 03:25:45
IMP0249,SE0197,D089,Q043,C242,2025-01-02 05:38:46
IMP0250,SE0197,D089,Q043,C010,2025-01-02 05:38:49
IMP0251,SE0197,D089,Q043,C246,2025-01-02 05:38:53
IMP0252,SE0197,D089,Q043,C143,2025-01-02 05:38:54
IMP0253,SE0197,D089,Q043,C255,2025-01-02 05:38:56
IMP0254,SE0197,D089,Q043,C219,2025-01-02 05:38:58
IMP0255,SE0740,D085,Q274,C066,2025-01-02 10:07:54
IMP0256,SE0740,D085,Q274,C257,2025-01-02 10:07:54
IMP0257,SE0740,D085,Q274,C022,2025-01-02 10:07:57
IMP0258,SE0740,D085,Q274,C232,2025-01-02 10:07:58
IMP0259,SE0740,D085,Q274,C296,2025-01-02 10:07:58
IMP0260,SE0101,D023,Q231,C053,2025-01-02 10:30:09
IMP0261,SE0101,D023,Q231,C159,2025-01-02 10:30:21
IMP0262,SE0101,D023,Q231,C140,2025-01-02 10:30:24
IMP0263,SE0101,D023,Q231,C315,2025-01-02 10:30:26
IMP0264,SE0101,D023,Q231,C324,2025-01-02 10:30:27
IMP0265,SE0101,D023,Q231,C295,2025-01-02 10:30:32
IMP0266,SE0101,D023,Q231,C126,2025-01-02 10:30:33
IMP0267,SE0101,D023,Q231,C289,2025-01-02 10:30:34
IMP0268,SE0101,D023,Q231,C323,2025-01-02 10:30:36
IMP0269,SE0101,D023,Q231,C117,2025-01-02 10:30:36
IMP0270,SE0101,D023,Q231,C109,2025-01-02 10:30:40
IMP0271,SE0101,D023,Q231,C228,2025-01-02 10:30:42
IMP0272,SE0458,D009,Q040,C055,2025-01-02 12:57:45
IMP0273,SE0458,D009,Q040,C275,2025-01-02 12:57:50
IMP0274,SE0458,D009,Q040,C148,2025-01-02 12:57:54
IMP0275,SE0458,D009,Q040,C108,2025-01-02 12:57:54
IMP0276,SE0458,D009,Q040,C205,2025-01-02 12:57:56
IMP0277,SE0458,D009,Q040,C075,2025-01-02 12:58:00
IMP0278,SE0458,D009,Q040,C035,2025-01-02 12:58:03
IMP0279,SE0458,D009,Q040,C304,2025-01-02 12:58:03
IMP0280,SE0458,D009,Q040,C145,2025-01-02 12:58:06
IMP0281,SE0797,D063,Q455,C012,2025-01-02 14:14:13
IMP0282,SE0797,D063,Q455,C294,2025-01-02 14:14:13
IMP0283,SE0797,D063,Q455,C316,2025-01-02 14:14:14
IMP0284,SE0797,D063,Q455,C341,2025-01-02 14:14:15
IMP0285,SE0797,D063,Q455,C031,2025-01-02 14:14:18
IMP0286,SE0797,D063,Q455,C283,2025-01-02 14:14:19
IMP0287,SE0797,D063,Q455,C146,2025-01-02 14:14:20
IMP0288,SE0797,D063,Q455,C079,2025-01-02 14:14:25
IMP0289,SE0463,D088,Q270,C106,2025-01-02 15:02:02
IMP0290,SE0463,D088,Q270,C056,2025-01-02 15:02:11
IMP0291,SE0463,D088,Q270,C343,2025-01-02 15:02:12
IMP0292,SE0463,D088,Q270,C113,2025-01-02 15:02:17
IMP0293,SE0463,D088,Q270,C007,2025-01-02 15:02:18
IMP0294,SE0463,D088,Q270,C329,2025-01-02 15:02:20
IMP0295,SE0463,D088,Q270,C015,2025-01-02 15:02:22
IMP0296,SE0463,D088,Q270,C222,2025-01-02 15:02:23
IMP0297,SE0463,D088,Q270,C148,2025-01-02 15:02:24
IMP0298,SE0463,D088,Q270,C095,2025-01-02 15:02:26
IMP0299,SE0677,D034,Q047,C151,2025-01-02 15:10:02
IMP0300,SE0677,D034,Q047,C159,2025-01-02 15:10:02
IMP0301,SE0677,D034,Q047,C186,2025-01-02 15:10:04
IMP0302,SE0677,D034,Q047,C321,2025-01-02 15:10:04
IMP0303,SE0677,D034,Q047,C245,2025-01-02 15:10:05
IMP0304,SE0677,D034,Q047,C277,2025-01-02 15:10:10
IMP0305,SE0677,D034,Q047,C074,2025-01-02 15:10:12
IMP0306,SE0148,D018,Q281,C036,2025-01-02 17:11:18
IMP0307,SE0148,D018,Q281,C312,2025-01-02 17:11:22
IMP0308,SE0148,D018,Q281,C129,2025-01-02 17:11:26
IMP0309,SE0148,D018,Q281,C018,2025-01-02 17:11:28
IMP0310,SE0148,D018,Q281,C131,2025-01-02 17:11:28
IMP0311,SE0148,D018,Q281,C203,2025-01-02 17:11:30
IMP0312,SE0148,D018,Q281,C245,2025-01-02 17:11:33
IMP0313,SE0148,D018,Q281,C341,2025-01-02 17:11:33
IMP0314,SE0148,D018,Q281,C117,2025-01-02 17:11:36
IMP0315,SE0290,D029,Q244,C029,2025-01-02 20:07:39
IMP0316,SE0290,D029,Q244,C310,2025-01-02 20:07:48
IMP0317,SE0290,D029,Q244,C266,2025-01-02 20:07:51
IMP0318,SE0290,D029,Q244,C183,2025-01-02 20:07:54
IMP0319,SE0290,D029,Q244,C118,2025-01-02 20:08:00
IMP0320,SE0290,D029,Q244,C316,2025-01-02 20:08:02
IMP0321,SE0290,D029,Q244,C038,2025-01-02 20:08:02
IMP0322,SE0290,D029,Q244,C330,2025-01-02 20:08:06
IMP0323,SE0290,D029,Q244,C286,2025-01-02 20:08:09
IMP0324,SE0290,D029,Q244,C224,2025-01-02 20:08:10
IMP0325,SE0290,D029,Q244,C076,2025-01-02 20:08:10
IMP0326,SE0290,D029,Q244,C295,2025-01-02 20:08:12
IMP0327,SE0591,D099,Q477,C076,2025-01-02 20:51:28
IMP0328,SE0591,D099,Q477,C159,2025-01-02 20:51:42
IMP0329,SE0591,D099,Q477,C133,2025-01-02 20:51:45
IMP0330,SE0591,D099,Q477,C268,2025-01-02 20:51:46
IMP0331,SE0591,D099,Q477,C089,2025-01-02 20:51:48
IMP0332,SE0591,D099,Q477,C330,2025-01-02 20:51:48
IMP0333,SE0591,D099,Q477,C286,2025-01-02 20:51:49
IMP0334,SE0591,D099,Q477,C098,2025-01-02 20:51:50
IMP0335,SE0591,D099,Q477,C046,2025-01-02 20:51:52
IMP0336,SE0593,D042,Q070,C180,2025-01-02 21:43:20
IMP0337,SE0593,D042,Q070,C005,2025-01-02 21:43:27
IMP0338,SE0593,D042,Q070,C068,2025-01-02 21:43:29
IMP0339,SE0593,D042,Q070,C168,2025-01-02 21:43:29
IMP0340,SE0593,D042,Q070,C024,2025-01-02 21:43:30
IMP0341,SE0593,D042,Q070,C285,2025-01-02 21:43:32
IMP0342,SE0224,D023,Q362,C312,2025-01-02 21:53:57
IMP0343,SE0224,D023,Q362,C178,2025-01-02 21:54:03
IMP0344,SE0224,D023,Q362,C305,2025-01-02 21:54:05
IMP0345,SE0224,D023,Q362,C080,2025-01-02 21:54:06
IMP0346,SE0224,D023,Q362,C043,2025-01-02 21:54:07
IMP0347,SE0224,D023,Q362,C009,2025-01-02 21:54:08
IMP0348,SE0224,D023,Q362,C067,2025-01-02 21:54:11
IMP0349,SE0224,D023,Q362,C225,2025-01-02 21:54:13
IMP0350,SE0224,D023,Q362,C024,2025-01-02 21:54:15
IMP0351,SE0229,D113,Q168,C102,2025-01-02 21:56:46
IMP0352,SE0229,D113,Q168,C326,2025-01-02 21:56:48
IMP0353,SE0229,D113,Q168,C081,2025-01-02 21:56:50
IMP0354,SE0229,D113,Q168,C021,2025-01-02 21:56:51
IMP0355,SE0229,D113,Q168,C327,2025-01-02 21:56:52
IMP0356,SE0229,D113,Q168,C090,2025-01-02 21:56:54
IMP0357,SE0229,D113,Q168,C322,2025-01-02 21:56:58
IMP0358,SE0229,D113,Q168,C048,2025-01-02 21:57:00
IMP0359,SE0480,D003,Q450,C304,2025-01-02 21:59:42
IMP0360,SE0480,D003,Q450,C189,2025-01-02 21:59:43
IMP0361,SE0480,D003,Q450,C310,2025-01-02 21:59:54
IMP0362,SE0480,D003,Q450,C200,2025-01-02 21:59:54
IMP0363,SE0480,D003,Q450,C161,2025-01-02 21:59:55
IMP0364,SE0480,D003,Q450,C064,2025-01-02 21:59:55
IMP0365,SE0480,D003,Q450,C122,2025-01-02 21:59:57
IMP0366,SE0480,D003,Q450,C342,2025-01-02 21:59:57
IMP0367,SE0480,D003,Q450,C314,2025-01-02 21:59:58
IMP0368,SE0480,D003,Q450,C149,2025-01-02 22:00:02
IMP0369,SE0480,D003,Q450,C142,2025-01-02 22:00:03
IMP0370,SE0530,D068,Q281,C299,2025-01-02 23:58:11
IMP0371,SE0530,D068,Q281,C197,2025-01-02 23:58:13
IMP0372,SE0530,D068,Q281,C016,2025-01-02 23:58:14
IMP0373,SE0530,D068,Q281,C048,2025-01-02 23:58:15
IMP0374,SE0530,D068,Q281,C177,2025-01-02 23:58:23
IMP0375,SE0530,D068,Q281,C252,2025-01-02 23:58:25
IMP0376,SE0530,D068,Q281,C245,2025-01-02 23:58:25
IMP0377,SE0530,D068,Q281,C117,2025-01-02 23:58:26
IMP0378,SE0530,D068,Q281,C335,2025-01-02 23:58:28
IMP0379,SE0530,D068,Q281,C034,2025-01-02 23:58:29
IMP0380,SE0065,D062,Q005,C009,2025-01-03 01:00:02
IMP0381,SE0065,D062,Q005,C234,2025-01-03 01:00:05
IMP0382,SE0065,D062,Q005,C180,2025-01-03 01:00:08
IMP0383,SE0065,D062,Q005,C084,2025-01-03 01:00:11
IMP0384,SE0065,D062,Q005,C106,2025-01-03 01:00:13
IMP0385,SE0065,D062,Q005,C334,2025-01-03 01:00:15
IMP0386,SE0065,D062,Q005,C259,2025-01-03 01:00:17
IMP0387,SE0592,D057,Q473,C313,2025-01-03 01:24:20
IMP0388,SE0592,D057,Q473,C155,2025-01-03 01:24:22
IMP0389,SE0592,D057,Q473,C258,2025-01-03 01:24:24
IMP0390,SE0592,D057,Q473,C017,2025-01-03 01:24:26
IMP0391,SE0592,D057,Q473,C322,2025-01-03 01:24:28
IMP0392,SE0592,D057,Q473,C029,2025-01-03 01:24:30
IMP0393,SE0592,D057,Q473,C011,2025-01-03 01:24:31
IMP0394,SE0592,D057,Q473,C293,2025-01-03 01:24:34
IMP0395,SE0592,D057,Q473,C128,2025-01-03 01:24:37
IMP0396,SE0592,D057,Q473,C202,2025-01-03 01:24:39
IMP0397,SE0592,D057,Q473,C191,2025-01-03 01:24:40
IMP0398,SE0160,D019,Q021,C237,2025-01-03 01:43:45
IMP0399,SE0160,D019,Q021,C158,2025-01-03 01:43:54
IMP0400,SE0160,D019,Q021,C249,2025-01-03 01:43:57
IMP0401,SE0160,D019,Q021,C089,2025-01-03 01:44:06
IMP0402,SE0160,D019,Q021,C136,2025-01-03 01:44:08
IMP0403,SE0160,D019,Q021,C314,2025-01-03 01:44:09
IMP0404,SE0160,D019,Q021,C001,2025-01-03 01:44:12
IMP0405,SE0160,D019,Q021,C289,2025-01-03 01:44:13
IMP0406,SE0160,D019,Q021,C131,2025-01-03 01:44:14
IMP0407,SE0160,D019,Q021,C016,2025-01-03 01:44:15
IMP0408,SE0160,D019,Q021,C092,2025-01-03 01:44:16
IMP0409,SE0160,D019,Q021,C103,2025-01-03 01:44:18
IMP0410,SE0343,D054,Q033,C282,2025-01-03 02:36:02
