signal_id,session_id,doctor_id,query_id,content_id,event_type,event_timestamp,dwell_seconds
SIG0139,SE0005,D015,Q054,C219,click,2025-01-04 11:03:25,10
SIG0140,SE0005,D015,Q054,C203,click,2025-01-04 11:04:07,1
SIG0141,SE0460,D080,Q005,C257,scroll_deep,2025-01-04 11:10:09,232
SIG0142,SE0005,D015,Q054,C037,scroll_deep,2025-01-04 11:10:34,66
SIG0143,SE0005,D015,Q054,C094,click,2025-01-04 11:14:19,36
SIG0144,SE0005,D015,Q054,C051,click,2025-01-04 11:15:32,4
SIG0145,SE0005,D015,Q054,C059,scroll_deep,2025-01-04 11:29:41,179
SIG0146,SE0373,D022,Q342,C058,click,2025-01-04 12:20:08,13
SIG0147,SE0294,D064,Q424,C028,click,2025-01-04 12:34:22,2
SIG0148,SE0111,D079,Q039,C303,click,2025-01-04 14:10:32,3
SIG0149,SE0111,D079,Q039,C072,scroll_deep,2025-01-04 14:14:11,206
SIG0150,SE0111,D079,Q039,C255,click,2025-01-04 14:15:21,2
SIG0151,SE0111,D079,Q039,C201,scroll_deep,2025-01-04 14:17:40,89
SIG0152,SE0097,D013,Q101,C242,click,2025-01-04 21:55:31,6
SIG0153,SE0097,D013,Q101,C117,click,2025-01-04 21:56:39,12
SIG0154,SE0097,D013,Q101,C027,click,2025-01-04 21:59:14,15
SIG0155,SE0097,D013,Q101,C103,click,2025-01-04 22:08:07,6
SIG0156,SE0142,D010,Q450,C214,click,2025-01-05 01:23:51,16
SIG0157,SE0142,D010,Q450,C343,scroll_deep,2025-01-05 01:25:40,63
SIG0158,SE0142,D010,Q450,C072,click,2025-01-05 01:25:57,1
SIG0159,SE0142,D010,Q450,C028,scroll_deep,2025-01-05 01:31:27,203
SIG0160,SE0345,D019,Q488,C211,click,2025-01-05 01:39:16,1
SIG0161,SE0159,D002,Q449,C255,click,2025-01-05 01:54:46,13
SIG0162,SE0159,D002,Q449,C249,click,2025-01-05 01:55:49,4
SIG0163,SE0159,D002,Q449,C313,scroll_deep,2025-01-05 02:03:20,130
SIG0164,SE0159,D002,Q449,C204,click,2025-01-05 02:04:43,5
SIG0165,SE0105,D014,Q086,C084,click,2025-01-05 02:40:55,13
SIG0166,SE0105,D014,Q086,C257,click,2025-01-05 02:44:01,11
SIG0167,SE0105,D014,Q086,C278,scroll_deep,2025-01-05 02:44:39,87
SIG0168,SE0105,D014,Q086,C103,click,2025-01-05 02:47:03,9
SIG0169,SE0335,D030,Q006,C143,click,2025-01-05 03:54:15,7
SIG0170,SE0335,D030,Q006,C250,scroll_deep,2025-01-05 03:56:12,215
SIG0171,SE0150,D109,Q467,C117,click,2025-01-05 04:38:47,21
SIG0172,SE0150,D109,Q467,C162,click,2025-01-05 04:41:46,2
SIG0173,SE0150,D109,Q467,C335,scroll_deep,2025-01-05 04:43:55,216
SIG0174,SE0150,D109,Q467,C237,click,2025-01-05 04:52:53,10
SIG0175,SE0653,D039,Q323,C088,click,2025-01-05 05:07:36,18
SIG0176,SE0030,D014,Q212,C052,click,2025-01-05 06:40:43,7
SIG0177,SE0030,D014,Q212,C068,click,2025-01-05 06:44:38,28
SIG0178,SE0030,D014,Q212,C235,click,2025-01-05 06:46:59,5
SIG0179,SE0030,D014,Q212,C075,click,2025-01-05 06:50:43,2
SIG0180,SE0030,D014,Q212,C079,scroll_deep,2025-01-05 06:52:58,162
SIG0181,SE0030,D014,Q212,C342,click,2025-01-05 07:00:07,12
SIG0182,SE0030,D014,Q212,C331,scroll_deep,2025-01-05 07:01:31,185
SIG0183,SE0030,D014,Q212,C341,click,2025-01-05 07:04:58,41
SIG0184,SE0533,D001,Q337,C290,scroll_deep,2025-01-05 08:57:15,196
SIG0185,SE0192,D091,Q289,C251,click,2025-01-05 09:18:51,24
SIG0186,SE0192,D091,Q289,C019,scroll_deep,2025-01-05 09:21:07,133
SIG0187,SE0192,D091,Q289,C135,click,2025-01-05 09:21:10,15
SIG0188,SE0192,D091,Q289,C094,scroll_deep,2025-01-05 09:23:21,159
SIG0189,SE0192,D091,Q289,C257,scroll_deep,2025-01-05 09:33:27,75
SIG0190,SE0656,D019,Q145,C151,scroll_deep,2025-01-05 11:53:29,148
SIG0191,SE0232,D051,Q411,C315,click,2025-01-05 12:17:46,2
SIG0192,SE0232,D051,Q411,C344,click,2025-01-05 12:21:40,0
SIG0193,SE0624,D101,Q193,C211,save_bookmark,2025-01-05 12:29:59,110
SIG0194,SE0341,D111,Q196,C084,click,2025-01-05 12:34:27,0
SIG0195,SE0464,D033,Q231,C031,scroll_deep,2025-01-05 13:28:18,87
SIG0196,SE0134,D057,Q489,C133,click,2025-01-05 14:53:49,2
SIG0197,SE0134,D057,Q489,C005,scroll_deep,2025-01-05 14:54:57,86
SIG0198,SE0134,D057,Q489,C259,click,2025-01-05 14:56:14,48
SIG0199,SE0134,D057,Q489,C162,scroll_deep,2025-01-05 14:58:22,134
SIG0200,SE0525,D030,Q056,C047,return_visit,2025-01-05 15:06:25,92
SIG0201,SE0134,D057,Q489,C282,scroll_deep,2025-01-05 15:12:05,75
SIG0202,SE0491,D074,Q342,C008,click,2025-01-05 16:08:48,14
SIG0203,SE0057,D004,Q298,C247,click,2025-01-05 16:38:31,1
SIG0204,SE0057,D004,Q298,C266,scroll_deep,2025-01-05 16:42:08,176
SIG0205,SE0057,D004,Q298,C215,click,2025-01-05 16:48:11,20
SIG0206,SE0178,D107,Q040,C300,click,2025-01-05 16:59:52,24
SIG0207,SE0178,D107,Q040,C103,scroll_deep,2025-01-05 17:01:03,239
SIG0208,SE0178,D107,Q040,C158,scroll_deep,2025-01-05 17:06:06,123
SIG0209,SE0502,D009,Q454,C052,save_bookmark,2025-01-05 17:09:07,85
SIG0210,SE0039,D069,Q228,C173,click,2025-01-05 19:26:24,12
SIG0211,SE0039,D069,Q228,C219,click,2025-01-05 19:29:20,14
SIG0212,SE0039,D069,Q228,C310,scroll_deep,2025-01-05 19:29:46,135
SIG0213,SE0039,D069,Q228,C212,click,2025-01-05 19:31:04,6
SIG0214,SE0039,D069,Q228,C162,click,2025-01-05 19:35:14,21
SIG0215,SE0039,D069,Q228,C199,scroll_deep,2025-01-05 19:39:21,104
SIG0216,SE0039,D069,Q228,C241,click,2025-01-05 19:47:03,1
SIG0217,SE0039,D069,Q228,C184,save_bookmark,2025-01-05 19:56:24,32
SIG0218,SE0557,D027,Q314,C199,click,2025-01-05 20:02:48,1
SIG0219,SE0002,D064,Q384,C331,click,2025-01-05 21:07:17,0
SIG0220,SE0002,D064,Q384,C226,click,2025-01-05 21:10:08,3
SIG0221,SE0002,D064,Q384,C089,click,2025-01-05 21:10:21,52
SIG0222,SE0002,D064,Q384,C232,scroll_deep,2025-01-05 21:10:25,209
SIG0223,SE0002,D064,Q384,C184,click,2025-01-05 21:13:33,3
SIG0224,SE0002,D064,Q384,C299,scroll_deep,2025-01-05 21:24:47,114
SIG0225,SE0002,D064,Q384,C341,scroll_deep,2025-01-05 21:30:42,93
SIG0226,SE0002,D064,Q384,C310,click,2025-01-05 21:31:05,11
SIG0227,SE0176,D096,Q076,C124,click,2025-01-05 21:58:26,14
SIG0228,SE0176,D096,Q076,C274,click,2025-01-05 22:01:11,3
SIG0229,SE0176,D096,Q076,C263,click,2025-01-05 22:03:28,0
SIG0230,SE0454,D001,Q100,C019,click,2025-01-05 23:09:26,8
SIG0231,SE0031,D003,Q130,C219,click,2025-01-05 23:46:33,14
SIG0232,SE0031,D003,Q130,C225,click,2025-01-05 23:48:21,69
SIG0233,SE0031,D003,Q130,C199,scroll_deep,2025-01-05 23:48:49,85
SIG0234,SE0031,D003,Q130,C174,save_bookmark,2025-01-06 00:00:39,107
SIG0235,SE0426,D033,Q095,C050,click,2025-01-06 00:00:52,13
SIG0236,SE0031,D003,Q130,C010,scroll_deep,2025-01-06 00:02:48,193
SIG0237,SE0031,D003,Q130,C034,scroll_deep,2025-01-06 00:03:49,217
SIG0238,SE0031,D003,Q130,C189,click,2025-01-06 00:12:03,17
SIG0239,SE0258,D002,Q441,C080,click,2025-01-06 00:38:56,33
SIG0240,SE0251,D061,Q226,C068,click,2025-01-06 03:52:27,24
SIG0241,SE0251,D061,Q226,C278,click,2025-01-06 03:56:26,3
SIG0242,SE0023,D003,Q290,C167,click,2025-01-06 05:47:04,34
SIG0243,SE0023,D003,Q290,C045,click,2025-01-06 05:50:12,15
SIG0244,SE0023,D003,Q290,C151,scroll_deep,2025-01-06 05:50:18,222
SIG0245,SE0023,D003,Q290,C095,scroll_deep,2025-01-06 05:55:52,221
SIG0246,SE0023,D003,Q290,C226,scroll_deep,2025-01-06 05:56:52,121
SIG0247,SE0023,D003,Q290,C274,save_bookmark,2025-01-06 05:59:04,82
SIG0248,SE0023,D003,Q290,C127,scroll_deep,2025-01-06 06:03:24,219
SIG0249,SE0023,D003,Q290,C052,click,2025-01-06 06:06:32,22
SIG0250,SE0023,D003,Q290,C042,click,2025-01-06 06:07:54,19
SIG0251,SE0548,D042,Q090,C009,click,2025-01-06 09:38:53,12
SIG0252,SE0655,D084,Q324,C268,click,2025-01-06 10:45:32,9
SIG0253,SE0598,D043,Q301,C027,scroll_deep,2025-01-06 11:51:16,143
SIG0254,SE0641,D049,Q340,C203,scroll_deep,2025-01-06 12:37:45,75
SIG0255,SE0222,D005,Q470,C295,click,2025-01-06 12:50:03,8
SIG0256,SE0222,D005,Q470,C184,scroll_deep,2025-01-06 12:52:47,229
SIG0257,SE0303,D106,Q356,C344,click,2025-01-06 13:32:41,5
SIG0258,SE0281,D010,Q160,C282,click,2025-01-06 13:39:38,53
SIG0259,SE0116,D107,Q490,C019,click,2025-01-06 14:05:02,14
SIG0260,SE0116,D107,Q490,C322,click,2025-01-06 14:06:56,6
SIG0261,SE0116,D107,Q490,C167,click,2025-01-06 14:08:44,2
SIG0262,SE0116,D107,Q490,C034,scroll_deep,2025-01-06 14:13:18,171
SIG0263,SE0116,D107,Q490,C124,scroll_deep,2025-01-06 14:18:20,202
SIG0264,SE0374,D034,Q392,C143,click,2025-01-06 16:19:31,66
SIG0265,SE0636,D100,Q012,C300,click,2025-01-06 17:23:36,4
SIG0266,SE0388,D055,Q450,C037,scroll_deep,2025-01-06 19:40:06,155
SIG0267,SE0396,D039,Q209,C079,click,2025-01-06 20:14:20,1
SIG0268,SE0528,D023,Q472,C028,click,2025-01-06 20:26:23,24
SIG0269,SE0137,D031,Q254,C317,click,2025-01-06 23:29:18,12
SIG0270,SE0216,D060,Q379,C015,click,2025-01-06 23:29:38,8
SIG0271,SE0137,D031,Q254,C226,click,2025-01-06 23:31:44,22
SIG0272,SE0137,D031,Q254,C051,save_bookmark,2025-01-06 23:32:29,39
SIG0273,SE0299,D008,Q124,C111,click,2025-01-06 23:34:45,1
SIG0274,SE0081,D005,Q012,C129,click,2025-01-07 04:22:12,39
SIG0275,SE0081,D005,Q012,C019,save_bookmark,2025-01-07 04:26:39,103
SIG0276,SE0081,D005,Q012,C149,click,2025-01-07 04:29:28,58
SIG0277,SE0081,D005,Q012,C175,click,2025-01-07 04:29:33,9
SIG0278,SE0081,D005,Q012,C140,scroll_deep,2025-01-07 04:30:26,106
SIG0279,SE0492,D022,Q473,C252,click,2025-01-07 07:11:52,3
SIG0280,SE0537,D005,Q469,C096,click,2025-01-07 07:53:53,5
SIG0281,SE0610,D058,Q234,C043,click,2025-01-07 09:17:28,9
SIG0282,SE0193,D021,Q319,C322,click,2025-01-07 10:09:25,4
SIG0283,SE0193,D021,Q319,C145,scroll_deep,2025-01-07 10:11:49,190
SIG0284,SE0193,D021,Q319,C059,scroll_deep,2025-01-07 10:15:37,149
SIG0285,SE0193,D021,Q319,C008,click,2025-01-07 10:20:31,1
SIG0286,SE0234,D032,Q417,C226,click,2025-01-07 10:23:13,1
SIG0287,SE0262,D006,Q382,C182,click,2025-01-07 10:34:25,30
SIG0288,SE0660,D010,Q409,C005,scroll_deep,2025-01-07 10:37:36,85
SIG0289,SE0262,D006,Q382,C033,scroll_deep,2025-01-07 10:37:40,99
SIG0290,SE0260,D054,Q266,C052,click,2025-01-07 11:23:22,11
SIG0291,SE0260,D054,Q266,C325,scroll_deep,2025-01-07 11:28:14,191
SIG0292,SE0315,D050,Q474,C318,click,2025-01-07 11:58:58,30
SIG0293,SE0315,D050,Q474,C317,click,2025-01-07 12:02:34,12
SIG0294,SE0332,D021,Q405,C022,click,2025-01-07 12:57:53,3
SIG0295,SE0644,D025,Q419,C158,scroll_deep,2025-01-07 14:09:53,237
SIG0296,SE0169,D118,Q388,C287,click,2025-01-07 14:58:39,43
SIG0297,SE0169,D118,Q388,C176,save_bookmark,2025-01-07 15:01:51,35
SIG0298,SE0169,D118,Q388,C129,scroll_deep,2025-01-07 15:04:36,226
SIG0299,SE0169,D118,Q388,C079,scroll_deep,2025-01-07 15:05:43,187
SIG0300,SE0566,D020,Q427,C010,return_visit,2025-01-07 15:55:13,180
SIG0301,SE0570,D108,Q337,C318,click,2025-01-07 17:27:12,4
SIG0302,SE0093,D003,Q263,C163,click,2025-01-07 19:03:48,8
SIG0303,SE0093,D003,Q263,C295,scroll_deep,2025-01-07 19:04:48,155
SIG0304,SE0093,D003,Q263,C268,click,2025-01-07 19:06:04,4
SIG0305,SE0311,D003,Q277,C137,click,2025-01-07 19:06:49,16
SIG0306,SE0311,D003,Q277,C010,scroll_deep,2025-01-07 19:07:58,139
SIG0307,SE0171,D014,Q191,C124,click,2025-01-07 19:51:41,38
SIG0308,SE0171,D014,Q191,C029,scroll_deep,2025-01-07 19:54:11,229
SIG0309,SE0171,D014,Q191,C310,click,2025-01-07 19:54:54,53
SIG0310,SE0171,D014,Q191,C304,scroll_deep,2025-01-07 20:01:44,145
SIG0311,SE0053,D063,Q440,C331,click,2025-01-07 20:08:03,1
SIG0312,SE0053,D063,Q440,C149,save_bookmark,2025-01-07 20:11:45,177
SIG0313,SE0053,D063,Q440,C190,save_bookmark,2025-01-07 20:12:07,42
SIG0314,SE0551,D084,Q473,C344,scroll_deep,2025-01-07 20:40:54,149
SIG0315,SE0136,D071,Q077,C334,click,2025-01-07 22:26:09,3
SIG0316,SE0136,D071,Q077,C051,scroll_deep,2025-01-07 22:29:43,96
SIG0317,SE0136,D071,Q077,C007,scroll_deep,2025-01-07 22:30:24,221
SIG0318,SE0136,D071,Q077,C052,click,2025-01-07 22:31:33,0
SIG0319,SE0136,D071,Q077,C285,scroll_deep,2025-01-07 22:38:57,94
SIG0320,SE0659,D085,Q421,C214,scroll_deep,2025-01-07 22:57:02,78
SIG0321,SE0418,D095,Q234,C237,scroll_deep,2025-01-08 00:45:37,216
SIG0322,SE0573,D080,Q397,C202,save_bookmark,2025-01-08 01:06:53,98
SIG0323,SE0265,D034,Q031,C330,click,2025-01-08 01:19:04,12
SIG0324,SE0265,D034,Q031,C288,click,2025-01-08 01:20:56,19
SIG0325,SE0618,D037,Q005,C242,click,2025-01-08 01:22:24,3
SIG0326,SE0575,D002,Q100,C111,click,2025-01-08 01:32:46,19
SIG0327,SE0459,D010,Q264,C142,return_visit,2025-01-08 02:12:16,353
SIG0328,SE0129,D093,Q133,C203,click,2025-01-08 02:23:09,10
SIG0329,SE0129,D093,Q133,C138,click,2025-01-08 02:24:51,13
SIG0330,SE0129,D093,Q133,C047,scroll_deep,2025-01-08 02:31:13,131
SIG0331,SE0183,D009,Q213,C290,click,2025-01-08 04:17:26,44
SIG0332,SE0183,D009,Q213,C341,scroll_deep,2025-01-08 04:18:30,201
SIG0333,SE0183,D009,Q213,C174,click,2025-01-08 04:25:12,1
SIG0334,SE0617,D017,Q319,C050,click,2025-01-08 04:43:51,21
SIG0335,SE0096,D003,Q096,C012,click,2025-01-08 05:28:41,11
SIG0336,SE0096,D003,Q096,C257,scroll_deep,2025-01-08 05:31:01,194
SIG0337,SE0096,D003,Q096,C033,scroll_deep,2025-01-08 05:32:12,165
SIG0338,SE0096,D003,Q096,C335,click,2025-01-08 05:38:21,2
SIG0339,SE0096,D003,Q096,C075,save_bookmark,2025-01-08 05:41:56,94
SIG0340,SE0227,D008,Q026,C103,click,2025-01-08 05:45:57,0
SIG0341,SE0227,D008,Q026,C037,scroll_deep,2025-01-08 05:47:18,177
SIG0342,SE0086,D006,Q426,C069,click,2025-01-08 05:51:04,4
SIG0343,SE0086,D006,Q426,C215,scroll_deep,2025-01-08 05:54:01,81
SIG0344,SE0086,D006,Q426,C295,scroll_deep,2025-01-08 05:55:36,91
SIG0345,SE0649,D038,Q264,C049,click,2025-01-08 05:57:10,19
SIG0346,SE0086,D006,Q426,C012,scroll_deep,2025-01-08 05:57:10,75
SIG0347,SE0406,D085,Q131,C199,click,2025-01-08 06:14:10,22
SIG0348,SE0340,D073,Q406,C079,click,2025-01-08 06:15:05,25
SIG0349,SE0340,D073,Q406,C117,scroll_deep,2025-01-08 06:15:54,189
