query_id,query_text,language,disease_entity,icd10_code,molecule_entity,atc_code,drug_class_entity,atc_class,therapeutic_area,age_group,pregnancy_status,year,recency_flag,dose_context_flag,route,renal_function_group,hepatic_impairment_flag,comparison_flag,negation_flag,prior_treatment_failure_flag
Q012,Artemether-lumefantrine pada pasien elderly Typhoid Fever apa perlu adjustment,MIXED,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,elderly,,,False,True,,,False,False,False,False
Q013,kontraindikasi Bedaquiline pada Tuberculosis dengan anaemia,MIXED,Tuberculosis,A15,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology,,,,False,False,,,False,False,False,False
Q014,Malaria pediatric dosing Tenofovir disoproxil,EN,Malaria,B50,Tenofovir disoproxil,J05AF07,NRTIs,J05AF,Infectious Disease,pediatric,,,False,True,,,False,False,False,False
Q015,Peptic Ulcer Disease prophylaxis Lansoprazole indication,EN,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology,,,,False,False,,,False,False,False,False
Q016,is Bortezomib safe in Rheumatoid Arthritis with renal impairment,EN,Rheumatoid Arthritis,M05,Bortezomib,L01XG01,Proteasome inhibitors,L01XG,Rheumatology,,,,False,False,,renal_impairment,False,False,False,False
Q017,PD-1 inhibitors mechanism untuk Colorectal Cancer bagaimana cara kerjanya,MIXED,Colorectal Cancer,C18,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology,,,,False,False,,,False,False,False,False
Q018,interaksi obat Losartan dan Empagliflozin pada Chronic Kidney Disease,ID,Chronic Kidney Disease,N18,Losartan; Empagliflozin,C09CA01; A10BK03,ARBs; SGLT2 inhibitors,C09CA; A10BK,Nephrology,,,,False,False,,,False,False,False,False
Q019,Rheumatoid Arthritis dengan renal impairment penyesuaian dosis Bortezomib,MIXED,Rheumatoid Arthritis,M05,Bortezomib,L01XG01,Proteasome inhibitors,L01XG,Rheumatology,,,,False,True,,renal_impairment,False,False,False,False
Q020,latest Malaria management guidelines 2025,EN,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease,,,2025,True,False,,,False,False,False,False
Q021,dosis titrasi Tenofovir disoproxil Malaria toleransi pasien,MIXED,Malaria,B50,Tenofovir disoproxil,J05AF07,NRTIs,J05AF,Infectious Disease,,,,False,True,,,False,False,False,False
Q022,resistensi Methyldopa pada Hypertension in Pregnancy alternatif Methyldopa,ID,Hypertension in Pregnancy,O10,Methyldopa; Methyldopa,C02AB01; C02AB01,Centrally acting antihypertensives; Centrally acting antihypertensives,C02AB; C02AB,Obstetrics,,pregnant,,False,False,,,False,False,False,True
Q023,indikasi Sitagliptin pada Type 2 Diabetes Mellitus guideline terbaru,MIXED,Type 2 Diabetes Mellitus,E11,Sitagliptin,A10BH01,DPP-4 inhibitors,A10BH,Endocrinology,,,,True,False,,,False,False,False,False
Q024,Gout dengan renal impairment penyesuaian dosis Adalimumab,MIXED,Gout,M10,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology,,,,False,True,,renal_impairment,False,False,False,False
Q025,Acute Coronary Syndrome guideline update 2023 summary,EN,Acute Coronary Syndrome,I24,Atorvastatin,C10AA05,Statins,C10AA,Cardiology,,,2023,True,False,,,False,False,False,False
Q026,kontraindikasi Labetalol pada Hypertension in Pregnancy dengan atrial fibrillation,MIXED,Hypertension in Pregnancy,O10,Labetalol,C07AG01,Beta blockers non-selective,C07AG,Obstetrics,,pregnant,,False,False,,,False,False,False,False
Q027,Vitamin A adverse effects monitoring in Stunting / Malnutrition,EN,Stunting / Malnutrition,E43,Vitamin A,A11CA01,Vitamin A,A11CA,Pediatrics,,,,False,False,,,False,False,False,False
Q028,ACE inhibitors adverse effects monitoring in Hypertension,EN,Hypertension,I10,Ramipril,C09AA05,ACE inhibitors,C09AA,Cardiology,,,,False,False,,,False,False,False,False
Q029,Empagliflozin efficacy pada Type 2 Diabetes Mellitus clinical outcome data,MIXED,Type 2 Diabetes Mellitus,E11,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Endocrinology,,,,False,False,,,False,False,False,False
Q030,is Losartan safe in Hypertension with liver disease,EN,Hypertension,I10,Losartan,C09CA01,ARBs,C09CA,Cardiology,,,,False,False,,,True,False,False,False
Q031,Ibuprofen side effect pada pasien Psoriatic Arthritis apa saja,MIXED,Psoriatic Arthritis,M07,Ibuprofen,M01AE01,NSAIDs,M01AE,Rheumatology,,,,False,False,,,False,False,False,False
Q032,interaksi obat Ramipril dan Spironolactone pada Heart Failure,ID,Heart Failure,I50,Ramipril; Spironolactone,C09AA05; C03DA01,ACE inhibitors; Aldosterone antagonists,C09AA; C03DA,Cardiology,,,,False,False,,,False,False,False,False
Q033,dosis Semaglutide pada Obesity pasien hypertension aman tidak,MIXED,Obesity,E66,Semaglutide,A10BJ06,GLP-1 receptor agonists,A10BJ,Endocrinology,,,,False,True,,,False,False,True,False
Q034,Typhoid Fever treatment algorithm Antimalarials first line,EN,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,,,,False,False,,,False,False,False,False
Q035,algoritma terapi HIV/AIDS step up,ID,HIV/AIDS,B20,Levofloxacin,J01MA12,Fluoroquinolones,J01MA,Infectious Disease,,,,False,False,,,False,False,False,False
Q036,Atrial Fibrillation pediatric dosing Empagliflozin,EN,Atrial Fibrillation,I48,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Cardiology,pediatric,,,False,True,,,False,False,False,False
Q037,SSRIs in pregnancy and ADHD,EN,ADHD,F90,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry,,pregnant,,False,False,,,False,False,False,False
Q038,Integrase inhibitors terbaru untuk Malaria terbaru,MIXED,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease,,,,True,False,,,False,False,False,False
Q039,algoritma terapi Chronic Kidney Disease step up,ID,Chronic Kidney Disease,N18,Dapagliflozin,A10BK01,SGLT2 inhibitors,A10BK,Nephrology,,,,False,False,,,False,False,False,False
Q040,resistensi Desmopressin pada Diabetes Insipidus alternatif Desmopressin,ID,Diabetes Insipidus,E23.2,Desmopressin; Desmopressin,H01BA02; H01BA02,Vasopressin analogues; Vasopressin analogues,H01BA; H01BA,Endocrinology,,,,False,False,,,False,False,False,True
Q041,SGLT2 inhibitors mechanism of action in Chronic Kidney Disease,EN,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology,,,,False,False,,,False,False,False,False
Q042,switch from Piperacillin-tazobactam to Norepinephrine in Sepsis,EN,Sepsis,A41,Piperacillin-tazobactam; Norepinephrine,J01CR05; C01CA03,Beta-lactam combinations; Adrenergic agonists,J01CR; C01CA,Critical Care,,,,False,False,,,False,False,False,False
Q043,Thyroid hormones kontraindikasi pada Hyperthyroidism dengan hepatic impairment,ID,Hyperthyroidism,E05,Levothyroxine,H03AA01,Thyroid hormones,H03AA,Endocrinology,,,,False,False,,,True,False,False,False
Q044,Malaria with pregnancy first line drug,EN,Malaria,B50,Tenofovir disoproxil,J05AF07,NRTIs,J05AF,Infectious Disease,,pregnant,,False,False,,,False,False,False,False
Q045,switch from Diazepam to Diazepam in Febrile Seizure,EN,Febrile Seizure,R56.0,Diazepam; Diazepam,N05BA01; N05BA01,Benzodiazepines; Benzodiazepines,N05BA; N05BA,Pediatrics,,,,False,False,,,False,False,False,False
Q046,kapan mulai terapi Adalimumab pada Gout,ID,Gout,M10,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology,,,,False,False,,,False,False,False,False
Q047,Tiotropium long term outcomes COPD,EN,COPD,J44,Tiotropium,R03BB04,Long-acting antimuscarinics,R03BB,Pulmonology,,,,False,False,,,False,False,False,False
Q048,Ibuprofen long term outcomes Systemic Lupus Erythematosus,EN,Systemic Lupus Erythematosus,M32,Ibuprofen,M01AE01,NSAIDs,M01AE,Rheumatology,,,,False,False,,,False,False,False,False
Q049,Calcium channel blockers mechanism untuk Atrial Fibrillation bagaimana cara kerjanya,MIXED,Atrial Fibrillation,I48,Amlodipine,C08CA01,Calcium channel blockers,C08CA,Cardiology,,,,False,False,,,False,False,False,False
Q050,Levofloxacin hepatic impairment dose in HIV/AIDS,EN,HIV/AIDS,B20,Levofloxacin,J01MA12,Fluoroquinolones,J01MA,Infectious Disease,,,,False,True,,,True,False,False,False
Q051,add on therapy Malaria after Dolutegravir failure,EN,Malaria,B50,Dolutegravir,J05AJ03,Integrase inhibitors,J05AJ,Infectious Disease,,,,False,False,,,False,False,False,True
Q052,HIV/AIDS first line Penicillins evidence based,MIXED,HIV/AIDS,B20,Amoxicillin,J01CA04,Penicillins,J01CA,Infectious Disease,,,,False,False,,,False,False,False,False
Q053,Atypical antipsychotics mechanism of action in Schizophrenia,EN,Schizophrenia,F20,Clozapine,N05AH02,Atypical antipsychotics,N05AH,Psychiatry,,,,False,False,,,False,False,False,False
Q054,is Empagliflozin safe in Chronic Kidney Disease with renal impairment,EN,Chronic Kidney Disease,N18,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Nephrology,,,,False,False,,renal_impairment,False,False,False,False
Q055,Methimazole side effect pada pasien Hyperthyroidism apa saja,MIXED,Hyperthyroidism,E05,Methimazole,H03BB02,Antithyroid agents,H03BB,Endocrinology,,,,False,False,,,False,False,False,False
Q056,Sepsis emergency Piperacillin-tazobactam loading dose berapa,MIXED,Sepsis,A41,Piperacillin-tazobactam,J01CR05,Beta-lactam combinations,J01CR,Critical Care,,,,False,True,,,False,False,False,False
Q057,Dapagliflozin vs Dapagliflozin untuk pasien Chronic Kidney Disease mana lebih efektif,MIXED,Chronic Kidney Disease,N18,Dapagliflozin; Dapagliflozin,A10BK01; A10BK01,SGLT2 inhibitors; SGLT2 inhibitors,A10BK; A10BK,Nephrology,,,,False,False,,,False,True,False,False
Q058,Thrombolytics role in Ischaemic Stroke pathophysiology,EN,Ischaemic Stroke,I63,Alteplase,B01AD02,Thrombolytics,B01AD,Neurology,,,,False,False,,,False,False,False,False
Q059,switch dari Dupilumab ke Cyclosporine Psoriasis progresif,MIXED,Psoriasis,L40,Dupilumab; Cyclosporine,D11AH05; L04AD01,IL-4/IL-13 inhibitors; Calcineurin inhibitors,D11AH; L04AD,Dermatology,,,,False,False,,,False,False,False,False
Q060,Migraine with liver disease first line drug,EN,Migraine,G43,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology,,,,False,False,,,True,False,False,False
Q061,Epilepsy first line Antiepileptics other evidence based,MIXED,Epilepsy,G40,Levetiracetam,N03AX14,Antiepileptics other,N03AX,Neurology,,,,False,False,,,False,False,False,False
Q062,latest COPD management guidelines terbaru,EN,COPD,J44,Prednisolone,H02AB06,Corticosteroids,H02AB,Pulmonology,,,,True,False,,,False,False,False,False
Q063,Malaria pada anak dosis Tenofovir disoproxil,ID,Malaria,B50,Tenofovir disoproxil,J05AF07,NRTIs,J05AF,Infectious Disease,pediatric,,,False,True,,,False,False,False,False
Q064,monitoring parameters Methyldopa in Hypertension in Pregnancy,EN,Hypertension in Pregnancy,O10,Methyldopa,C02AB01,Centrally acting antihypertensives,C02AB,Obstetrics,,pregnant,,False,False,,,False,False,False,False
Q065,Semaglutide efficacy pada Type 2 Diabetes Mellitus clinical outcome data,MIXED,Type 2 Diabetes Mellitus,E11,Semaglutide,A10BJ06,GLP-1 receptor agonists,A10BJ,Endocrinology,,,,False,False,,,False,False,False,False
Q066,monitoring parameters Rosuvastatin in Acute Coronary Syndrome,EN,Acute Coronary Syndrome,I24,Rosuvastatin,C10AA07,Statins,C10AA,Cardiology,,,,False,False,,,False,False,False,False
Q067,kapan start Atorvastatin di Acute Coronary Syndrome evidence terbaru 2025,MIXED,Acute Coronary Syndrome,I24,Atorvastatin,C10AA05,Statins,C10AA,Cardiology,,,2025,True,False,,,False,False,False,False
Q068,Labetalol resistance in Hypertension in Pregnancy alternative therapy,EN,Hypertension in Pregnancy,O10,Labetalol,C07AG01,Beta blockers non-selective,C07AG,Obstetrics,,pregnant,,False,False,,,False,False,False,True
Q069,dosis titrasi Alendronate Osteoporosis toleransi pasien,MIXED,Osteoporosis,M81,Alendronate,M05BA04,Bisphosphonates,M05BA,Rheumatology,,,,False,True,,,False,False,False,False
Q070,Furosemide long term outcomes Nephrotic Syndrome,EN,Nephrotic Syndrome,N04,Furosemide,C03CA01,Loop diuretics,C03CA,Nephrology,,,,False,False,,,False,False,False,False
Q071,Vancomycin vs Piperacillin-tazobactam in Sepsis patients,EN,Sepsis,A41,Vancomycin; Piperacillin-tazobactam,J01XA01; J01CR05,Glycopeptides; Beta-lactam combinations,J01XA; J01CR,Critical Care,,,,False,False,,,False,True,False,False
Q072,prophylaxis Typhoid Fever Artemether-lumefantrine kapan bisa dihentikan,MIXED,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,,,,False,False,,,False,False,False,False
Q073,is Valproate safe in Epilepsy with hypertension,EN,Epilepsy,G40,Valproate,N03AG01,Fatty acid derivatives,N03AG,Neurology,,,,False,False,,,False,False,False,False
Q074,Zinc supplements role in Stunting / Malnutrition pathophysiology,EN,Stunting / Malnutrition,E43,Zinc,A12CB01,Zinc supplements,A12CB,Pediatrics,,,,False,False,,,False,False,False,False
Q075,Psoriasis guideline update terbaru summary,EN,Psoriasis,L40,Tacrolimus topical,D11AH01,Topical calcineurin inhibitors,D11AH,Dermatology,,,,True,False,,,False,False,False,False
Q076,Acute Coronary Syndrome dengan renal impairment penyesuaian dosis Ezetimibe,MIXED,Acute Coronary Syndrome,I24,Ezetimibe,C10AX09,Cholesterol absorption inhibitors,C10AX,Cardiology,,,,False,True,,renal_impairment,False,False,False,False
Q077,algoritma terapi Iron Deficiency Anaemia step up,ID,Iron Deficiency Anaemia,D50,Erythropoietin,B03XA01,Erythropoiesis stimulating agents,B03XA,Haematology,,,,False,False,,,False,False,False,False
Q078,apakah Risperidone aman untuk Schizophrenia dengan anaemia,ID,Schizophrenia,F20,Risperidone,N05AX08,Atypical antipsychotics,N05AX,Psychiatry,,,,False,False,,,False,False,False,False
Q079,Benzodiazepines mechanism of action in Febrile Seizure,EN,Febrile Seizure,R56.0,Diazepam,N05BA01,Benzodiazepines,N05BA,Pediatrics,,,,False,False,,,False,False,False,False
Q080,Urinary Tract Infection dengan obesity pilihan drug terbaik,MIXED,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease,,,,False,False,,,False,False,False,False
Q081,Stable Angina dengan hypertension pilihan drug terbaik,MIXED,Stable Angina,I20,Atorvastatin,C10AA05,Statins,C10AA,Cardiology,,,,False,False,,,False,False,False,False
Q082,add on therapy Tuberculosis after Isoniazid failure,EN,Tuberculosis,A15,Isoniazid,J04AC01,Antituberculotics,J04AC,Pulmonology,,,,False,False,,,False,False,False,True
Q083,latest Pulmonary Embolism management guidelines terbaru,EN,Pulmonary Embolism,I26,Metronidazole,J01XD01,Nitroimidazoles,J01XD,Pulmonology,,,,True,False,,,False,False,False,False
Q084,algoritma terapi COPD step up,ID,COPD,J44,Salmeterol,R03AC12,Long-acting beta2-agonists,R03AC,Pulmonology,,,,False,False,,,False,False,False,False
Q085,Methylphenidate vs Methylphenidate efficacy in Breast Cancer HER2-positive,EN,Breast Cancer HER2-positive,C50,Methylphenidate; Methylphenidate,N06BA04; N06BA04,CNS stimulants; CNS stimulants,N06BA; N06BA,Oncology,,,,False,False,,,False,True,False,False
Q086,add on Norepinephrine setelah Piperacillin-tazobactam gagal Sepsis,MIXED,Sepsis,A41,Norepinephrine; Piperacillin-tazobactam,C01CA03; J01CR05,Adrenergic agonists; Beta-lactam combinations,C01CA; J01CR,Critical Care,,,,False,False,,,False,False,False,True
Q087,Rheumatoid Arthritis dengan renal impairment pilihan drug terbaik,MIXED,Rheumatoid Arthritis,M05,Hydroxychloroquine,P01BA02,Antimalarials,P01BA,Rheumatology,,,,False,False,,renal_impairment,False,False,False,False
Q088,renal dose adjustment Diazepam in Febrile Seizure,EN,Febrile Seizure,R56.0,Diazepam,N05BA01,Benzodiazepines,N05BA,Pediatrics,,,,False,True,,renal_impairment,False,False,False,False
Q089,biomarkers Community-acquired Pneumonia treatment response Rivaroxaban,EN,Community-acquired Pneumonia,J18,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Pulmonology,,,,False,False,,,False,False,False,False
Q090,algoritma terapi Community-acquired Pneumonia step up,ID,Community-acquired Pneumonia,J18,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Pulmonology,,,,False,False,,,False,False,False,False
Q091,Liraglutide pada pasien elderly Obesity apa perlu adjustment,MIXED,Obesity,E66,Liraglutide,A10BJ02,GLP-1 receptor agonists,A10BJ,Endocrinology,elderly,,,False,True,,,False,False,False,False
Q092,switch dari Levothyroxine ke Levothyroxine Hyperthyroidism progresif,MIXED,Hyperthyroidism,E05,Levothyroxine; Levothyroxine,H03AA01; H03AA01,Thyroid hormones; Thyroid hormones,H03AA; H03AA,Endocrinology,,,,False,False,,,False,False,False,False
Q093,penggantian Ezetimibe ke Amlodipine pada Acute Coronary Syndrome,ID,Acute Coronary Syndrome,I24,Ezetimibe; Amlodipine,C10AX09; C08CA01,Cholesterol absorption inhibitors; Calcium channel blockers,C10AX; C08CA,Cardiology,,,,False,False,,,False,False,False,False
Q094,kapan start Azithromycin di Asthma evidence terbaru 2022,MIXED,Asthma,J45,Azithromycin,J01FA10,Macrolides,J01FA,Pulmonology,,,2022,True,False,,,False,False,False,False
Q095,monitoring parameters Empagliflozin in Atrial Fibrillation,EN,Atrial Fibrillation,I48,Empagliflozin,A10BK03,SGLT2 inhibitors,A10BK,Cardiology,,,,False,False,,,False,False,False,False
Q096,Epilepsy risk stratification approach,EN,Epilepsy,G40,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology,,,,False,False,,,False,False,False,False
Q097,Iron Deficiency Anaemia pada anak dosis Ferrous sulphate,ID,Iron Deficiency Anaemia,D50,Ferrous sulphate,B03AA07,Iron preparations,B03AA,Haematology,pediatric,,,False,True,,,False,False,False,False
Q098,ARBs terbaru untuk Hypertension 2022,MIXED,Hypertension,I10,Losartan,C09CA01,ARBs,C09CA,Cardiology,,,2022,True,False,,,False,False,False,False
Q099,Atrial Fibrillation emergency Apixaban loading dose berapa,MIXED,Atrial Fibrillation,I48,Apixaban,B01AF02,Factor Xa inhibitors,B01AF,Cardiology,,,,False,True,,,False,False,False,False
Q100,prophylaxis Ischaemic Stroke Alteplase kapan bisa dihentikan,MIXED,Ischaemic Stroke,I63,Alteplase,B01AD02,Thrombolytics,B01AD,Neurology,,,,False,False,,,False,False,False,False
Q101,Dolutegravir drug interaction with Tenofovir disoproxil in Malaria,EN,Malaria,B50,Dolutegravir; Tenofovir disoproxil,J05AJ03; J05AF07,Integrase inhibitors; NRTIs,J05AJ; J05AF,Infectious Disease,,,,False,False,,,False,False,False,False
Q102,Antimalarials kontraindikasi pada Typhoid Fever dengan obesity,ID,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,,,,False,False,,,False,False,False,False
Q103,biomarkers Ischaemic Stroke treatment response Alteplase,EN,Ischaemic Stroke,I63,Alteplase,B01AD02,Thrombolytics,B01AD,Neurology,,,,False,False,,,False,False,False,False
Q104,Erythropoietin loading dose Iron Deficiency Anaemia emergency,EN,Iron Deficiency Anaemia,D50,Erythropoietin,B03XA01,Erythropoiesis stimulating agents,B03XA,Haematology,,,,False,True,,,False,False,False,False
Q105,tatalaksana Breast Cancer HER2-positive panduan terbaru 2025,ID,Breast Cancer HER2-positive,C50,Methylphenidate,N06BA04,CNS stimulants,N06BA,Oncology,,,2025,True,False,,,False,False,False,False
Q106,titration protocol Metoprolol in Heart Failure,EN,Heart Failure,I50,Metoprolol,C07AB02,Beta blockers selective,C07AB,Cardiology,,,,False,False,,,False,False,False,False
Q107,algoritma terapi Asthma step up,ID,Asthma,J45,Salmeterol,R03AC12,Long-acting beta2-agonists,R03AC,Pulmonology,,,,False,False,,,False,False,False,False
Q108,Antituberculotics adverse effects monitoring in Tuberculosis,EN,Tuberculosis,A15,Rifampicin,J04AB02,Antituberculotics,J04AB,Pulmonology,,,,False,False,,,False,False,False,False
Q109,kapan start Levetiracetam di Epilepsy evidence terbaru terbaru,MIXED,Epilepsy,G40,Levetiracetam,N03AX14,Antiepileptics other,N03AX,Neurology,,,,True,False,,,False,False,False,False
Q110,dosis titrasi Topiramate Epilepsy toleransi pasien,MIXED,Epilepsy,G40,Topiramate,N03AX11,Antiepileptics other,N03AX,Neurology,,,,False,True,,,False,False,False,False
Q111,Erythropoietin contraindication in Iron Deficiency Anaemia with anaemia,EN,Iron Deficiency Anaemia,D50,Erythropoietin,B03XA01,Erythropoiesis stimulating agents,B03XA,Haematology,,,,False,False,,,False,False,False,False
Q112,Alteplase vs Aspirin in Ischaemic Stroke patients,EN,Ischaemic Stroke,I63,Alteplase; Aspirin,B01AD02; B01AC06,Thrombolytics; Platelet aggregation inhibitors,B01AD; B01AC,Neurology,,,,False,False,,,False,True,False,False
Q113,latest Obesity management guidelines 2025,EN,Obesity,E66,Liraglutide,A10BJ02,GLP-1 receptor agonists,A10BJ,Endocrinology,,,2025,True,False,,,False,False,False,False
Q114,Colchicine vs Colchicine in Psoriatic Arthritis patients,EN,Psoriatic Arthritis,M07,Colchicine; Colchicine,M04AC01; M04AC01,Gout preparations; Gout preparations,M04AC; M04AC,Rheumatology,,,,False,False,,,False,True,False,False
Q115,dosis Artemether-lumefantrine untuk pasien Typhoid Fever,ID,Typhoid Fever,A01.0,Artemether-lumefantrine,P01BF01,Antimalarials,P01BF,Infectious Disease,,,,False,True,,,False,False,False,False
Q116,Osteoporosis dengan elderly patients pilihan drug terbaik,MIXED,Osteoporosis,M81,Alendronate,M05BA04,Bisphosphonates,M05BA,Rheumatology,elderly,,,False,False,,,False,False,False,False
Q117,switch dari Artemether-lumefantrine ke Artemether-lumefantrine Typhoid Fever progresif,MIXED,Typhoid Fever,A01.0,Artemether-lumefantrine; Artemether-lumefantrine,P01BF01; P01BF01,Antimalarials; Antimalarials,P01BF; P01BF,Infectious Disease,,,,False,False,,,False,False,False,False
Q118,Chronic Lymphocytic Leukaemia emergency Ibrutinib loading dose berapa,MIXED,Chronic Lymphocytic Leukaemia,C91.1,Ibrutinib,L01EL01,BTK inhibitors,L01EL,Oncology,,,,False,True,,,False,False,False,False
Q119,Gout first line TNF inhibitors evidence based,MIXED,Gout,M10,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology,,,,False,False,,,False,False,False,False
Q120,latest Hypertension management guidelines terbaru,EN,Hypertension,I10,Amlodipine,C08CA01,Calcium channel blockers,C08CA,Cardiology,,,,True,False,,,False,False,False,False
Q121,when to start Venlafaxine in Major Depressive Disorder,EN,Major Depressive Disorder,F32,Venlafaxine,N06AX16,SNRIs,N06AX,Psychiatry,,,,False,False,,,False,False,False,False
Q122,Tenofovir+Lamivudine pada pasien elderly Urinary Tract Infection apa perlu adjustment,MIXED,Urinary Tract Infection,N39.0,Tenofovir+Lamivudine,J05AF,NRTIs combination,J05AF,Infectious Disease,elderly,,,False,True,,,False,False,False,False
Q123,kapan mulai terapi Rivaroxaban pada Deep Vein Thrombosis,ID,Deep Vein Thrombosis,I82,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Haematology,,,,False,False,,,False,False,False,False
Q124,add on Tenofovir disoproxil setelah Tenofovir disoproxil gagal Malaria,MIXED,Malaria,B50,Tenofovir disoproxil; Tenofovir disoproxil,J05AF07; J05AF07,NRTIs; NRTIs,J05AF; J05AF,Infectious Disease,,,,False,False,,,False,False,False,True
Q125,kontraindikasi Secukinumab pada Gout dengan heart failure,MIXED,Gout,M10,Secukinumab,L04AC10,IL-17 inhibitors,L04AC,Rheumatology,,,,False,False,,,False,False,False,False
Q126,add on therapy HIV/AIDS after Levofloxacin failure,EN,HIV/AIDS,B20,Levofloxacin,J01MA12,Fluoroquinolones,J01MA,Infectious Disease,,,,False,False,,,False,False,False,True
Q127,Tuberculosis with CKD first line drug,EN,Tuberculosis,A15,Isoniazid,J04AC01,Antituberculotics,J04AC,Pulmonology,,,,False,False,,,False,False,False,False
Q128,kapan start Alendronate di Osteoporosis evidence terbaru 2022,MIXED,Osteoporosis,M81,Alendronate,M05BA04,Bisphosphonates,M05BA,Rheumatology,,,2022,True,False,,,False,False,False,False
Q129,Imatinib pada ibu hamil dengan Chronic Myeloid Leukaemia,ID,Chronic Myeloid Leukaemia,C92.1,Imatinib,L01EA01,BCR-ABL inhibitors,L01EA,Oncology,,pregnant,,False,False,,,False,False,False,False
Q130,Bisoprolol dosing in Heart Failure with hypertension,EN,Heart Failure,I50,Bisoprolol,C07AB07,Beta blockers selective,C07AB,Cardiology,,,,False,True,,,False,False,False,False
